heuristic,eta_pooled,eta_speed_stratified
ego speed,0.7873982389547349,0.28529419054894706
empty-frame indicator,0.5599770218760464,0.11632978616028376
n cheap detections (few first),0.6390085213165458,0.13024708295752926
max confidence (low first),0.6314131931770671,0.12836474338973303
speed x empty,0.7316929610845623,0.563191717088386
speed + empty (rank sum),0.6809695710998952,0.5623377161605393
criticality,0.020832505692494604,0.12833864755553473
uncertainty,0.024153154001849492,0.0335153668403071
PERCEPTION-GAIN ORACLE,0.155092544589673,0.21272008239172938
