config,task,n_features,best_single_metric_eta20,linear_spearman,linear_eta@10,linear_eta@20,linear_eta@30,linear_eta@50,gbm_spearman,gbm_eta@10,gbm_eta@20,gbm_eta@30,gbm_eta@50
KITTI 320->640,longitudinal,24,0.2737974881634721,0.14110803285068993,0.17782951009262993,0.633708437530013,0.6805719627822238,0.7878429719528856,0.17745292875353047,0.4815392730042684,0.6995179109185727,0.7701704233401347,0.7726971220777148
KITTI 320->640,lateral,24,-0.24997393361420384,0.1067760700948798,-0.10859707428117556,-0.17891394069538036,-0.23608901762667864,-0.4131425563113921,0.11167718492481822,-0.13875306494268094,-0.2678153303678098,-0.3399801203733116,-0.6170281755005032
KITTI 512->640,longitudinal,24,0.22128795055527456,-0.006075781254805496,0.12320113552892774,0.1266065076252049,0.16424482635296186,0.16066341086607125,0.05082446549379607,0.16970414009211124,0.16733131233220877,0.18825545424410342,0.23399734159735827
KITTI 512->640,lateral,24,0.010420005502647193,-0.007907634861550288,-0.07380515889820197,-0.11179622282104307,-0.14423327934419541,-0.09189117529439732,-0.015247427683459575,-0.06264128467067795,-0.050651150809288635,-0.13139325565624185,-0.22447241154101402
nuScenes 320->640,longitudinal,24,0.1646490591780407,-0.024577518540987803,0.08669658449892752,0.09282944813851804,0.1197936795207785,0.11927632667187096,0.00468379078966793,0.1191387472326077,0.15110765672153223,0.2608564365257982,0.3416593707074586
nuScenes 320->640,lateral,24,0.02318629488308758,-0.029746345084565286,-0.2949057577462403,-0.32567998820504673,-0.4554855978415554,-0.34439159284256204,0.03150353910620527,0.039744041257049466,0.11148218034956033,-0.013571284541904639,0.014941583928375203
