config,task,n,act_diff,improved_same_action,corr_dE_dJ,corr_crit_dJ,eta_E@20,eta_crit@20,eta_unc@20,eta_speed@20,eta_E@20_nonempty,eta_E@20_speedstrat,oracle_gap@20
nuScenes mini,longitudinal,3376,0.08856635071090048,0.8778726198292843,0.0010446027778174623,0.043117970098407656,0.04723266773504287,0.17728780160484559,0.19781977011073765,0.05598262973175203,0.0438844241947569,0.017815875611627705,0.9527673322649571
nuScenes mini,lateral,3376,0.01688388625592417,0.9783322390019698,-0.027481663907343957,-0.006667024147705255,-0.07257260624715331,0.05753979625227314,0.10154936446972673,-0.12672000259281832,-0.10156814122602305,-0.06306831675705778,1.0725726062471532
nuScenes mini oracle range,longitudinal,3376,0.052428909952606635,0.9238345370978333,0.04625267866603725,0.03331860531570408,0.14707907743087376,0.16347685963890135,-0.06139402703520307,0.2415787759171464,0.1208794623925031,0.09678020999970857,0.8529209225691262
nuScenes mini oracle range,lateral,3376,0.00740521327014218,0.990151017728168,-0.005805267090804784,-0.007248993431813367,0.10864830297674809,-0.05392525542842579,0.4450721481769879,0.05701096069163527,0.1168873162111884,0.03488067114087443,0.8913516970232519
