task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,893.7719554813254,804.763904792168,670.0624763471841,0.2502981635999828,0.099586980933211,295,152,143,177,3376
lateral,154.23856096825187,150.06957610438104,140.6824798644839,0.08789034997907127,0.02702945902567755,42,25,17,25,3376
