task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.1,0.37033357425484525,0.1523931979426712,0.5622558609859323,0.09269381355540565
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.2,0.4408608397368274,0.2612008830151876,0.6149361452135672,0.11034665858927423
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.3,0.49115411872930365,0.2967122511251584,0.6367571603049019,0.12293497396251264
longitudinal,oracle,multimetric_dE_oracle [scene-z],0.5,0.48277756675091127,0.28664751254787185,0.6387962298664284,0.12083833838502121
longitudinal,oracle,PKL_gain [scene-z],0.1,0.15552694617009916,-0.08269930001135324,0.3311395677706311,0.0389281090166892
longitudinal,oracle,PKL_gain [scene-z],0.2,0.3000298338340928,0.013813800622066186,0.4799232440164016,0.07509691643388143
longitudinal,oracle,PKL_gain [scene-z],0.3,0.3043441173083526,-0.0012914173677601236,0.529423399293833,0.07617677366473839
longitudinal,oracle,PKL_gain [scene-z],0.5,0.344337982322228,0.024636434229548622,0.6166914773545156,0.08618716463297701
longitudinal,oracle,TIP_gain [scene-z],0.1,0.11713698396312094,-0.08910398420491392,0.30706767964292864,0.02931917197560981
longitudinal,oracle,TIP_gain [scene-z],0.2,0.2585651086975603,-0.029834210113864754,0.44434990065230945,0.06471837187802928
longitudinal,oracle,TIP_gain [scene-z],0.3,0.3194509131800585,0.0669010909088195,0.5140812486029832,0.07995797692930619
longitudinal,oracle,TIP_gain [scene-z],0.5,0.36270130666320244,0.0837478211796759,0.5590022993614915,0.09078347099311379
lateral,oracle,random,0.1,0.044192968082191676,-0.24390041389687725,0.24351837350417257,0.0038841354313577524
lateral,oracle,random,0.2,0.0842465443690191,-0.3807169534257214,0.3278168624151055,0.007404458269120446
lateral,oracle,random,0.3,0.09336676450846541,-0.46568186469955486,0.44063031277863335,0.008206037609062555
lateral,oracle,random,0.5,0.12108230871877736,-0.617129922360359,0.5286025190413238,0.010641966489567294
lateral,oracle,uncertainty,0.1,0.30113319975075503,0.0066116355907847695,0.7167587356085446,0.02646670231641144
lateral,oracle,uncertainty,0.2,0.4450721481769879,-0.31913701200877026,0.7929588561763772,0.03911754686921254
lateral,oracle,uncertainty,0.3,0.29913005497369055,-0.4566668005692306,0.721098371117018,0.026290645220896493
