epoch,train_mse,val_ade,val_fde
0,21.958849571871035,2.4774632453918457,5.879534721374512
1,5.88308772354415,2.1886749267578125,5.10319185256958
2,5.663425626628326,2.189706802368164,5.054630756378174
3,5.507917742386009,2.0634772777557373,4.920763969421387
4,5.2350794605233455,2.253006935119629,5.126165866851807
5,4.967854096582442,2.291015625,5.257857799530029
6,4.76114722905737,2.276369094848633,5.086112022399902
7,4.565022317749081,2.1404192447662354,4.926126480102539
8,4.285650379504219,2.0608527660369873,4.7778401374816895
9,4.10437548205708,2.2437775135040283,5.005050182342529
10,3.9660589092157106,2.093928337097168,4.762703895568848
11,3.7903990515253763,2.1295995712280273,4.798821926116943
12,3.610799625515938,2.2593281269073486,5.071235656738281
13,3.3802658034996553,2.136113166809082,4.931715965270996
14,3.16319342476852,2.350736141204834,5.234890937805176
15,3.025942454509663,2.5080480575561523,5.5138092041015625
16,2.7612109550020913,2.4798665046691895,5.499048709869385
