mode,risk,miss_rate,n_fp,n_det,n_gt,lat_ms,lat_p95_ms,gpu_mw
cheap_320,400.54532140928245,0.5318855567045846,1525,5673,8703,10.14485050109215,12.500821399407869,2409.6565042304396
cheap_384,321.3509496804419,0.4527174537515799,2146,7202,8703,12.334775501585682,14.70467550025205,1938.1188443815365
cheap_512,248.6577450711686,0.3476961967137769,2690,9030,8703,14.57123100044555,16.843142548532338,2287.0310912951168
full_640,206.40934806691385,0.28323566586234633,2690,9952,8703,16.02436949906405,18.35896894899633,2436.053305131595
full_960,158.3684555810515,0.20487188325864644,3461,12808,8703,20.06417099983082,21.99121199773799,4780.765269412164
