cheap,full,n_frames,risk_cheap,risk_full,risk_reduction_rel,frac_value_gt0,frac_value_zero,gain_top20,lat_gap_ms,lat_ratio
cheap_320,cheap_384,1453,400.54532140928245,321.3509496804419,0.19771638188208623,0.3379215416379904,0.5794907088781831,1.2266814711302931,2.189925000493531,1.2158656749311163
cheap_320,cheap_512,1453,400.54532140928245,248.6577450711686,0.37920197345886286,0.49827942188575364,0.4439091534755678,0.885870535297309,4.4263804993533995,1.4363179623866191
cheap_320,full_640,1453,400.54532140928245,206.40934806691385,0.4846791685378292,0.5519614590502409,0.40192704748795594,0.8080922653795728,5.8795189979719,1.579556987787936
cheap_320,full_960,1453,400.54532140928245,158.3684555810515,0.6046178868752077,0.6070199587061252,0.35650378527185134,0.7589276351955712,9.91932049873867,1.9777690166721333
cheap_384,cheap_512,1453,321.3509496804419,248.6577450711686,0.22621126429394697,0.34480385409497594,0.5870612525808672,1.2764500890208863,2.2364554988598684,1.1813130282405515
cheap_384,full_640,1453,321.3509496804419,206.40934806691385,0.3576824706067564,0.434273916035788,0.5120440467997247,1.0077621962992582,3.6895939974783687,1.2991212930469678
cheap_384,full_960,1453,321.3509496804419,158.3684555810515,0.5071791269372758,0.5175498967653132,0.43977976600137647,0.8779854400105369,7.72939549824514,1.6266344691276706
cheap_512,full_640,1453,248.6577450711686,206.40934806691385,0.16990581569121344,0.2477632484514797,0.6641431520991053,1.441211961174688,1.4531384986185003,1.0997265432532137
cheap_512,full_960,1453,248.6577450711686,158.3684555810515,0.36310668491051934,0.37577426015141085,0.5629731589814178,1.095319704660634,5.492939999385271,1.376971581825675
full_640,full_960,1453,206.40934806691385,158.3684555810515,0.23274572075237823,0.27253957329662765,0.6682725395732966,1.2953589217200034,4.039801500766771,1.2521036163702246
