epoch,train_mse,val_ade,val_fde
0,22.51096800150293,2.4081180095672607,5.776012420654297
1,6.073653204874559,2.1333327293395996,5.025538921356201
2,5.7299240452773645,2.2011866569519043,5.054666042327881
3,5.5582580891522495,2.212735891342163,5.078346252441406
4,5.464488127917955,2.0248966217041016,4.759666442871094
5,5.195581874612606,2.012253522872925,4.776242733001709
6,5.07179226658561,1.9844028949737549,4.666415214538574
7,4.878242895910234,2.3140766620635986,5.096453666687012
8,4.722358404686957,2.037395477294922,4.677670478820801
9,4.5495172662265375,2.009557008743286,4.648566722869873
10,4.436151665042747,2.042423963546753,4.674811363220215
11,4.252649429621118,2.0719683170318604,4.7857666015625
12,4.102457807822661,2.2254788875579834,4.922191143035889
13,3.8128943389112298,2.1784579753875732,4.924088001251221
14,3.5550013292919505,2.3827853202819824,5.224490642547607
