track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997081326852151,0.1,96,-0.1227021251745514,-0.7315287404180377,0.12570171192480772,-0.19141556242773364,-0.648086243419365,0.0471396989876359,0.9284994964753273,0.020833333333333332,0.125,7,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997081326852151,0.2,191,-0.12431530564856962,-0.8151370517870088,0.1488900545931323,-0.24101450976511413,-0.6436377298773823,-0.015387674787704112,0.9848942598187311,0.005235602094240838,0.09424083769633508,7,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997081326852151,0.3,286,-0.2337987020310561,-1.4928770712489923,0.23095757713925777,-0.37223126079486185,-1.09929621138222,-0.016341254312158823,0.9798590130916415,0.0034965034965034965,0.0944055944055944,7,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997081326852151,0.5,478,-0.19933921644494024,-1.790708273084067,0.3501448740465505,-0.4517162299658389,-1.1918875168068506,-0.08115293999438229,0.9949647532729103,0.0020920502092050207,0.08158995815899582,7,24,955
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997272715088288,0.1,75,0.07788934436748517,-0.03603854685761655,0.21508114064717826,0.0752710341739311,-0.04465917742324457,0.21869870751453865,0.12612612612612611,0.013333333333333334,0.44,1,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997272715088288,0.2,150,-0.020021842493004757,-0.21231133996356297,0.18637734435413122,-0.009821038533204715,-0.18540719133363676,0.17300672230532138,0.5635635635635635,0.006666666666666667,0.5,1,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997272715088288,0.3,226,-0.05169433644422862,-0.28386065759553125,0.1649689356830628,-0.059237331327784894,-0.21588211078558386,0.1365934581045301,0.7627627627627628,0.004424778761061947,0.46017699115044247,1,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997272715088288,0.5,376,0.06741098952530465,-0.1390019140793015,0.22269110120775,0.02242159564232916,-0.1407317388073616,0.2832388625140216,0.45145145145145144,0.0026595744680851063,0.4521276595744681,1,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996457137574002,0.1,75,0.05178817685437303,-0.05096702468545972,0.16636931711317396,0.02763140193086668,-0.0872951430783402,0.17000980867124077,0.35935935935935936,0.013333333333333334,0.28,1,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996457137574002,0.2,150,0.11391964499758868,-0.02222837381033304,0.4868614208263517,0.1355939455751648,-0.10876670503715219,0.4592344806690355,0.1981981981981982,0.006666666666666667,0.24,1,24,752
