dataset,detector,cheap_mode,full_mode,geometry,n_frames,n_seqs,JB_all_cheap,JB_all_full,JB_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJB_nonzero,frames_dJB_pos,frames_dJB_neg,plan_change_rate,collision_rate_cheap,collision_rate_full
KITTI,YOLOv8s,cheap_320,full_640,mono,8008,21,1868.888603690128,1813.735211921031,1708.54090670891,0.0857984240818907,0.029511331847278967,513,326,187,0.041583416583416584,0.0027472527472527475,0.0024975024975024975
KITTI,YOLOv8s,cheap_320,full_640,oracle,8008,21,1506.8599791768029,1507.2055975186536,1503.5773894670886,0.0021784304813162584,-0.00022936327636726174,71,40,31,0.005244755244755245,0.0,0.0
KITTI,YOLOv8s,cheap_384,full_640,mono,8008,21,1891.6434361946003,1813.735211921031,1710.5385584213802,0.09573943709896349,0.04118547014880172,514,342,172,0.04195804195804196,0.002997002997002997,0.0024975024975024975
KITTI,YOLOv8s,cheap_512,full_640,mono,8008,21,1866.9631557007158,1813.735211921031,1726.8280566376716,0.0750604523903677,0.02851044147130326,409,251,158,0.032217782217782216,0.002872127872127872,0.0024975024975024975
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,mono,8008,21,1952.3902336234346,1804.682412370842,1754.298324109854,0.10146122742375246,0.07565486587098016,667,477,190,0.05619380619380619,0.0033716283716283715,0.0023726273726273725
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,mono,8008,21,1791.6094281340675,1804.682412370842,1673.3039080284789,0.06603309753108516,-0.007296782452406425,461,272,189,0.03708791208791209,0.002247752247752248,0.0023726273726273725
