config,task,n,act_diff,improved_same_action,corr_dE_dJ,corr_crit_dJ,eta_E@20,eta_crit@20,eta_unc@20,eta_speed@20,eta_E@20_nonempty,eta_E@20_speedstrat,oracle_gap@20
nuScenes mini,longitudinal,404,0.11138613861386139,0.8552631578947368,-0.04602112110262569,0.03222811330942676,0.058278508240641735,0.07607781231034015,0.08005863608569719,0.2096428699328474,0.08579472869535268,-0.018673575474240707,0.9417214917593583
nuScenes mini,lateral,404,0.0297029702970297,0.9780701754385965,0.019923422893927057,0.10428215533110179,-0.18073331607480086,0.24448384830257175,0.041158867718418764,-0.3363168967418784,-0.18073331607480467,0.0,1.1807333160748008
nuScenes mini oracle range,longitudinal,404,0.06683168316831684,0.8991228070175439,0.002879893305132614,-0.07115841347174669,0.2705943278611892,0.16198097488075955,0.23325032172645016,0.41011796794560784,0.3976460701022089,0.2620140526655902,0.7294056721388108
nuScenes mini oracle range,lateral,404,0.027227722772277228,0.9692982456140351,-0.03189151887015921,0.09204920246983325,-0.2772656279628991,0.30005300272737356,-0.004939188031817806,-0.10984462264276433,-0.277265627962898,-0.027726562796288334,1.277265627962899
