quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,seq
0.2,random,pooled,45.36315848394845,0.9072266592666904,46.19290028682937,41.09931959660605,37.20579697120785,0.8297418028809176,0.09232583333482414,0.16289951084382231,31,190.5,0000
0.2,unc_x_crit_obj,pooled,45.029826527463115,0.0,46.19290028682937,41.09931959660605,37.20579697120785,1.163073759366256,0.12941586610499778,0.22834108853888851,31,183.0,0000
0.2,M3_fail_x_crit,pooled,44.04260312885454,0.0,46.19290028682937,41.09931959660605,37.20579697120785,2.1502971579748333,0.23926476445832714,0.4221582593365292,31,180.0,0000
0.2,M4_gain_x_crit,pooled,43.492417370024725,0.0,46.19290028682937,41.09931959660605,37.20579697120785,2.7004829168046456,0.30048424080210867,0.5301737777489194,31,179.0,0000
0.2,M5_fail_x_recover_x_crit,pooled,44.35339475860489,0.0,46.19290028682937,41.09931959660605,37.20579697120785,1.8395055282244783,0.20468280641961936,0.36114192355001806,31,182.0,0000
0.2,recover_only,pooled,45.50712921987438,0.0,46.19290028682937,41.09931959660605,37.20579697120785,0.6857710669549917,0.07630612922441585,0.13463437779070997,31,184.0,0000
0.2,M5_gain_direct_x_crit,pooled,43.492417370024725,0.0,46.19290028682937,41.09931959660605,37.20579697120785,2.7004829168046456,0.30048424080210867,0.5301737777489194,31,179.0,0000
0.2,M0_uncertainty,pooled,45.18341699719177,0.0,46.19290028682937,41.09931959660605,37.20579697120785,1.0094832896376005,0.11232576884733277,0.19818735601366144,31,185.0,0000
0.2,M1_criticality,pooled,45.54419735739302,0.0,46.19290028682937,41.09931959660605,37.20579697120785,0.6487029294363538,0.07218153688171901,0.1273569555266852,31,184.0,0000
0.2,M2_monolithic,pooled,45.2306243518239,0.0,46.19290028682937,41.09931959660605,37.20579697120785,0.9622759350054721,0.1070729801595615,0.18891934643392932,31,184.0,0000
0.2,unc_x_crit_frame,pooled,44.00008004967228,0.0,46.19290028682937,41.09931959660605,37.20579697120785,2.1928202371570933,0.24399633120334782,0.43050662599024275,31,185.0,0000
0.2,oracle,pooled,37.20579697120785,0.0,46.19290028682937,41.09931959660605,37.20579697120785,8.987103315621518,1.0,1.7643979475718274,31,161.0,0000
0.2,random,pooled,95.16400217229918,1.5834246973191102,109.93449520773193,38.865287520298715,64.35546316472511,14.77049303543275,0.3240633329267681,0.2078325271388179,89,1032.75,0001
0.2,unc_x_crit_obj,pooled,86.10496329797593,0.0,109.93449520773193,38.865287520298715,64.35546316472511,23.829531909756,0.5228178581605522,0.3353003738913167,89,980.0,0001
0.2,M3_fail_x_crit,pooled,82.17288061539882,0.0,109.93449520773193,38.865287520298715,64.35546316472511,27.761614592333103,0.6090874103280252,0.3906278892882893,89,956.0,0001
0.2,M4_gain_x_crit,pooled,81.50171159826684,0.0,109.93449520773193,38.865287520298715,64.35546316472511,28.43278360946509,0.6238128002068338,0.40007176855712584,89,953.0,0001
0.2,M5_fail_x_recover_x_crit,pooled,82.32027597633072,0.0,109.93449520773193,38.865287520298715,64.35546316472511,27.614219231401208,0.6058535689249691,0.388553919903684,89,955.0,0001
0.2,recover_only,pooled,89.86866487178355,0.0,109.93449520773193,38.865287520298715,64.35546316472511,20.065830335948377,0.4402425728790147,0.2823421139602279,89,931.0,0001
0.2,M5_gain_direct_x_crit,pooled,81.50171159826684,0.0,109.93449520773193,38.865287520298715,64.35546316472511,28.43278360946509,0.6238128002068338,0.40007176855712584,89,953.0,0001
0.2,M0_uncertainty,pooled,92.55933943520645,0.0,109.93449520773193,38.865287520298715,64.35546316472511,17.375155772525474,0.3812094069073444,0.24448219331419152,89,976.0,0001
0.2,M1_criticality,pooled,83.58562051982165,0.0,109.93449520773193,38.865287520298715,64.35546316472511,26.348874687910282,0.5780920196604523,0.37074952071780887,89,979.0,0001
0.2,M2_monolithic,pooled,87.27532369361819,0.0,109.93449520773193,38.865287520298715,64.35546316472511,22.659171514113737,0.49714025284111596,0.31883247684102767,89,970.0,0001
0.2,unc_x_crit_frame,pooled,92.23930373232218,0.0,109.93449520773193,38.865287520298715,64.35546316472511,17.695191475409743,0.3882309624020353,0.24898534894654084,89,1032.0,0001
0.2,oracle,pooled,64.35546316472511,0.0,109.93449520773193,38.865287520298715,64.35546316472511,45.57903204300682,1.0,0.6413330544427374,89,914.0,0001
0.2,random,pooled,26.502331659252512,0.5984691326278793,28.76779149445572,16.211888985150242,17.344254058172126,2.2654598352032096,0.19831508828496724,0.18042986822526083,47,983.875,0002
0.2,unc_x_crit_obj,pooled,23.55520576323827,0.0,28.76779149445572,16.211888985150242,17.344254058172126,5.212585731217452,0.45630224090316945,0.41515022335943436,47,925.0,0002
0.2,M3_fail_x_crit,pooled,22.37696186461763,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.390829629838091,0.5594440133350858,0.5089900646410479,47,915.0,0002
0.2,M4_gain_x_crit,pooled,22.220213913153305,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.547577581302416,0.5731655030521379,0.5214740697811129,47,911.0,0002
0.2,M5_fail_x_recover_x_crit,pooled,22.33287635931119,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.434915135144532,0.5633031949198036,0.5125012025519841,47,911.0,0002
0.2,recover_only,pooled,20.692431053423796,0.0,28.76779149445572,16.211888985150242,17.344254058172126,8.075360441031926,0.7069054122747351,0.643152528067742,47,879.0,0002
0.2,M5_gain_direct_x_crit,pooled,22.220213913153305,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.547577581302416,0.5731655030521379,0.5214740697811129,47,911.0,0002
0.2,M0_uncertainty,pooled,22.24802879868426,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.519762695771462,0.5707306280682639,0.5192587861318221,47,928.0,0002
0.2,M1_criticality,pooled,20.31339284476879,0.0,28.76779149445572,16.211888985150242,17.344254058172126,8.454398649686933,0.7400858706720702,0.6733405777419167,47,900.0,0002
0.2,M2_monolithic,pooled,22.053417967418028,0.0,28.76779149445572,16.211888985150242,17.344254058172126,6.714373527037694,0.5877665797033595,0.5347583355367335,47,912.0,0002
0.2,unc_x_crit_frame,pooled,25.871016509098524,0.0,28.76779149445572,16.211888985150242,17.344254058172126,2.8967749853571974,0.2535795064807527,0.23071021642692177,47,949.0,0002
0.2,oracle,pooled,17.344254058172126,0.0,28.76779149445572,16.211888985150242,17.344254058172126,11.423537436283596,1.0,0.9098141235022603,47,886.0,0002
0.2,random,pooled,6.194354855375327,0.48408082640505473,7.661401425484204,1.6560995690023135,2.6672907842799036,1.4670465701088773,0.2937553201174389,0.24429189492371708,29,163.375,0003
0.2,unc_x_crit_obj,pooled,5.9382298395691056,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,1.7231715859150984,0.3450407309157183,0.28694171035801863,29,165.0,0003
0.2,M3_fail_x_crit,pooled,4.712418757305637,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.9489826681785667,0.590492057554303,0.49106318693964546,29,154.0,0003
0.2,M4_gain_x_crit,pooled,4.712418757305637,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.9489826681785667,0.590492057554303,0.49106318693964546,29,155.0,0003
0.2,M5_fail_x_recover_x_crit,pooled,4.712418757305637,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.9489826681785667,0.590492057554303,0.49106318693964546,29,155.0,0003
0.2,recover_only,pooled,5.241574615719879,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.4198268097643254,0.48453608332169396,0.4029484058578101,29,155.0,0003
0.2,M5_gain_direct_x_crit,pooled,4.712418757305637,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.9489826681785667,0.590492057554303,0.49106318693964546,29,155.0,0003
0.2,M0_uncertainty,pooled,5.924342825098028,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,1.7370586003861757,0.34782140909222914,0.2892541693822204,29,156.0,0003
0.2,M1_criticality,pooled,4.645287628404658,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,3.016113797079546,0.6039341163559461,0.5022418304958425,29,157.0,0003
0.2,M2_monolithic,pooled,4.821974517712437,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,2.8394269077717667,0.5685550665107122,0.47282001398597456,29,156.0,0003
0.2,unc_x_crit_frame,pooled,7.661401425484204,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,0.0,0.0,0.0,29,182.0,0003
0.2,oracle,pooled,2.6672907842799036,0.0,7.661401425484204,1.6560995690023135,2.6672907842799036,4.9941106412043,1.0,0.8316169212732996,29,120.0,0003
