quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,mean_energy_mj,extra_energy_j,risk_per_extra_joule,total_frames
0.1,random,pooled,2188.366078677836,7.016423739275461,2289.8879460751723,1265.6403492848162,1673.303732333824,101.52186739733634,0.16465207044681796,0.09911848240159056,801,23288.53125,10.732899999999999,4709.079000000001,0.021558752231027833,21.55875223102783,25.909,11.68659,8.687039367115329,8010.0
0.1,unc_x_crit_obj,pooled,1999.1002724274663,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,290.787673647706,0.4716106367421351,0.2839036914110766,801,22716.0,10.732899999999999,4709.079000000001,0.06175043435196266,61.75043435196266,25.909,11.68659,24.882166110705175,8010.0
0.1,M3_fail_x_crit,pooled,1968.8640271636764,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,321.0239189114959,0.5206489426052069,0.3134241368175779,801,22574.0,10.732899999999999,4709.079000000001,0.06817127487381203,68.17127487381202,25.909,11.68659,27.469425975540847,8010.0
0.1,M4_gain_x_crit,pooled,1978.1194663869355,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,311.76847968823677,0.5056381151837612,0.30438780687913086,801,22556.0,10.732899999999999,4709.079000000001,0.06620582914158729,66.20582914158729,25.909,11.68659,26.67745507357037,8010.0
0.1,M5_fail_x_recover_x_crit,pooled,1976.0169101365436,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,313.87103593862867,0.50904812180335,0.3064405881177499,801,22569.0,10.732899999999999,4709.079000000001,0.06665231904978206,66.65231904978205,25.909,11.68659,26.857366942677775,8010.0
0.1,recover_only,pooled,2011.0629389743053,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,278.82500710086697,0.4522091238907904,0.27222422388357054,801,21985.0,10.732899999999999,4709.079000000001,0.059210093332659516,59.21009333265952,25.909,11.68659,23.85854274864327,8010.0
0.1,M5_gain_direct_x_crit,pooled,1978.1194663869355,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,311.76847968823677,0.5056381151837612,0.30438780687913086,801,22556.0,10.732899999999999,4709.079000000001,0.06620582914158729,66.20582914158729,25.909,11.68659,26.67745507357037,8010.0
0.1,M0_uncertainty,pooled,2058.9704835859193,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,230.917462489253,0.37451082486863807,0.2254508218646252,801,22181.0,10.732899999999999,4709.079000000001,0.04903665079503932,49.03665079503932,25.909,11.68659,19.75918231830269,8010.0
0.1,M1_criticality,pooled,2013.7794880205042,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,276.10845805466806,0.4478033201325085,0.269571985250342,801,22889.0,10.732899999999999,4709.079000000001,0.05863321852418871,58.633218524188706,25.909,11.68659,23.626092645901675,8010.0
0.1,M2_monolithic,pooled,2011.9900971897055,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,277.89784888546683,0.45070542302603056,0.2713190148127311,801,22841.0,10.732899999999999,4709.079000000001,0.05901320595502152,59.01320595502152,25.909,11.68659,23.779207526358572,8010.0
0.1,unc_x_crit_frame,pooled,2092.0677226375324,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,197.82022343763992,0.320832449208023,0.19313711260591804,801,22872.0,10.732899999999999,4709.079000000001,0.04200826179336552,42.00826179336552,25.909,11.68659,16.927112479999717,8010.0
0.1,oracle,pooled,1673.303732333824,0.0,2289.8879460751723,1265.6403492848162,1673.303732333824,616.5842137413483,1.0,0.6019874644309772,801,21772.0,10.732899999999999,4709.079000000001,0.1309352027734825,130.9352027734825,25.909,11.68659,52.759976497964615,8010.0
0.2,random,pooled,2085.1162505356715,9.933234908103373,2289.8879460751723,1265.6403492848162,1413.93881024764,204.7716955395008,0.23377121703082404,0.1999240185490166,1602,22164.875,11.3208,9418.158000000001,0.02174222343047343,21.74222343047343,27.368,23.37318,8.76096857763902,8010.0
0.2,unc_x_crit_obj,pooled,1823.5721253625518,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,466.3158207126205,0.532354906968519,0.455276460666245,1602,21386.0,11.3208,9418.158000000001,0.04951242278082619,49.51242278082619,27.368,23.37318,19.950893319292476,8010.0
0.2,M3_fail_x_crit,pooled,1796.8558548288825,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,493.03209124628984,0.562854703635856,0.4813602617094586,1602,21113.0,11.3208,9418.158000000001,0.052349099605919734,52.34909960591973,27.368,23.37318,21.093924371706795,8010.0
0.2,M4_gain_x_crit,pooled,1790.4426117541477,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,499.4453343210246,0.5701761824893924,0.487621680427776,1602,21089.0,11.3208,9418.158000000001,0.05303004412550995,53.030044125509946,27.368,23.37318,21.36830907565956,8010.0
0.2,M5_fail_x_recover_x_crit,pooled,1798.2884995542017,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,491.59944652097056,0.5612191694858442,0.4799615327987844,1602,21152.0,11.3208,9418.158000000001,0.05219698443378955,52.196984433789545,27.368,23.37318,21.03262998534947,8010.0
0.2,recover_only,pooled,1856.368807625336,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,433.5191384498362,0.4949135979685387,0.4232561929443016,1602,20258.0,11.3208,9418.158000000001,0.046030140761052864,46.03014076105286,27.368,23.37318,18.547717445800536,8010.0
0.2,M5_gain_direct_x_crit,pooled,1790.4426117541477,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,499.4453343210246,0.5701761824893924,0.487621680427776,1602,21089.0,11.3208,9418.158000000001,0.05303004412550995,53.030044125509946,27.368,23.37318,21.36830907565956,8010.0
0.2,M0_uncertainty,pooled,1908.9544864240152,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,380.93345965115714,0.43488079851951594,0.37191540487365865,1602,20604.0,11.3208,9418.158000000001,0.04044670514671309,40.44670514671309,27.368,23.37318,16.29788756391544,8010.0
0.2,M1_criticality,pooled,1833.0025021233785,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,456.88544395179383,0.5215890115813199,0.4460693345862051,1602,21492.0,11.3208,9418.158000000001,0.04851112541877019,48.511125418770185,27.368,23.37318,19.547423326727206,8010.0
0.2,M2_monolithic,pooled,1819.173774966855,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,470.71417110831726,0.5373761464626838,0.4595706864076377,1602,21380.0,11.3208,9418.158000000001,0.04997943027801373,49.97943027801373,27.368,23.37318,20.139072693930274,8010.0
