spec,t_cheap,t_full,file,seconds
nusc_oracle,0.1,0.1,nusc_oracle__c0.100000__f0.100000.npz,34.77003788948059
nusc_oracle,0.15,0.15,nusc_oracle__c0.150000__f0.150000.npz,32.77624011039734
nusc_oracle,0.2,0.2,nusc_oracle__c0.200000__f0.200000.npz,32.24288463592529
nusc_oracle,0.25,0.25,nusc_oracle__c0.250000__f0.250000.npz,32.019659757614136
nusc_oracle,0.3,0.3,nusc_oracle__c0.300000__f0.300000.npz,31.233840465545654
nusc_oracle,0.34,0.34,nusc_oracle__c0.340000__f0.340000.npz,30.950576305389404
nusc_oracle,0.35,0.35,nusc_oracle__c0.350000__f0.350000.npz,31.80090594291687
nusc_oracle,0.4,0.4,nusc_oracle__c0.400000__f0.400000.npz,31.37462091445923
nusc_oracle,0.45,0.45,nusc_oracle__c0.450000__f0.450000.npz,30.859147787094116
nusc_oracle,0.498046875,0.498046875,nusc_oracle__c0.498047__f0.498047.npz,30.10011100769043
nusc_oracle,0.5,0.5,nusc_oracle__c0.500000__f0.500000.npz,30.016319751739502
nusc_oracle,0.55,0.55,nusc_oracle__c0.550000__f0.550000.npz,29.316684246063232
nusc_oracle,0.6,0.6,nusc_oracle__c0.600000__f0.600000.npz,28.804827451705933
nusc_oracle,0.65,0.65,nusc_oracle__c0.650000__f0.650000.npz,28.150667428970337
nusc_oracle,0.7,0.7,nusc_oracle__c0.700000__f0.700000.npz,27.108264684677124
nusc_mono,0.1,0.1,nusc_mono__c0.100000__f0.100000.npz,31.38836169242859
nusc_mono,0.15,0.15,nusc_mono__c0.150000__f0.150000.npz,30.77608561515808
nusc_mono,0.2,0.2,nusc_mono__c0.200000__f0.200000.npz,30.135237216949463
nusc_mono,0.25,0.25,nusc_mono__c0.250000__f0.250000.npz,29.558409452438354
nusc_mono,0.3,0.3,nusc_mono__c0.300000__f0.300000.npz,29.43209719657898
nusc_mono,0.34,0.34,nusc_mono__c0.340000__f0.340000.npz,29.362816095352173
nusc_mono,0.35,0.35,nusc_mono__c0.350000__f0.350000.npz,28.822677612304688
nusc_mono,0.4,0.4,nusc_mono__c0.400000__f0.400000.npz,28.61092472076416
nusc_mono,0.45,0.45,nusc_mono__c0.450000__f0.450000.npz,28.109376668930054
nusc_mono,0.498046875,0.498046875,nusc_mono__c0.498047__f0.498047.npz,27.53242564201355
nusc_mono,0.5,0.5,nusc_mono__c0.500000__f0.500000.npz,27.562655448913574
nusc_mono,0.55,0.55,nusc_mono__c0.550000__f0.550000.npz,26.936843156814575
nusc_mono,0.6,0.6,nusc_mono__c0.600000__f0.600000.npz,26.39321208000183
nusc_mono,0.65,0.65,nusc_mono__c0.650000__f0.650000.npz,25.794753789901733
nusc_mono,0.7,0.7,nusc_mono__c0.700000__f0.700000.npz,25.214587450027466
nusc_mono,0.15,0.45,nusc_mono__c0.150000__f0.450000.npz,29.984164476394653
nusc_mono,0.45,0.15,nusc_mono__c0.450000__f0.150000.npz,29.12951946258545
kitti_y8_320_mono,0.1,0.1,kitti_y8_320_mono__c0.100000__f0.100000.npz,166.12844276428223
kitti_y8_320_mono,0.15,0.15,kitti_y8_320_mono__c0.150000__f0.150000.npz,159.53167414665222
kitti_y8_320_mono,0.2,0.2,kitti_y8_320_mono__c0.200000__f0.200000.npz,161.36085772514343
kitti_y8_320_mono,0.25,0.25,kitti_y8_320_mono__c0.250000__f0.250000.npz,156.48290586471558
kitti_y8_320_mono,0.3,0.3,kitti_y8_320_mono__c0.300000__f0.300000.npz,157.36468315124512
kitti_y8_320_mono,0.35,0.35,kitti_y8_320_mono__c0.350000__f0.350000.npz,155.82061004638672
kitti_y8_320_mono,0.4,0.4,kitti_y8_320_mono__c0.400000__f0.400000.npz,150.8124074935913
kitti_y8_320_mono,0.45,0.45,kitti_y8_320_mono__c0.450000__f0.450000.npz,152.715660572052
kitti_y8_320_mono,0.5,0.5,kitti_y8_320_mono__c0.500000__f0.500000.npz,151.39349269866943
kitti_y8_320_mono,0.55,0.55,kitti_y8_320_mono__c0.550000__f0.550000.npz,148.26608991622925
kitti_y8_320_mono,0.56396484375,0.56396484375,kitti_y8_320_mono__c0.563965__f0.563965.npz,150.4618067741394
kitti_y8_320_mono,0.6,0.6,kitti_y8_320_mono__c0.600000__f0.600000.npz,149.28593611717224
kitti_y8_320_mono,0.65,0.65,kitti_y8_320_mono__c0.650000__f0.650000.npz,144.9255919456482
kitti_y8_320_mono,0.7,0.7,kitti_y8_320_mono__c0.700000__f0.700000.npz,144.85124826431274
kitti_y8_320_oracle,0.1,0.1,kitti_y8_320_oracle__c0.100000__f0.100000.npz,174.0211536884308
kitti_y8_320_oracle,0.15,0.15,kitti_y8_320_oracle__c0.150000__f0.150000.npz,168.4141948223114
kitti_y8_320_oracle,0.2,0.2,kitti_y8_320_oracle__c0.200000__f0.200000.npz,168.98185992240906
kitti_y8_320_oracle,0.25,0.25,kitti_y8_320_oracle__c0.250000__f0.250000.npz,167.70951914787292
kitti_y8_320_oracle,0.3,0.3,kitti_y8_320_oracle__c0.300000__f0.300000.npz,164.23820114135742
kitti_y8_320_oracle,0.35,0.35,kitti_y8_320_oracle__c0.350000__f0.350000.npz,165.56946349143982
kitti_y8_320_oracle,0.4,0.4,kitti_y8_320_oracle__c0.400000__f0.400000.npz,164.50222158432007
kitti_y8_320_oracle,0.45,0.45,kitti_y8_320_oracle__c0.450000__f0.450000.npz,161.60507225990295
kitti_y8_320_oracle,0.5,0.5,kitti_y8_320_oracle__c0.500000__f0.500000.npz,162.8591251373291
kitti_y8_320_oracle,0.55,0.55,kitti_y8_320_oracle__c0.550000__f0.550000.npz,163.55093216896057
kitti_y8_320_oracle,0.56396484375,0.56396484375,kitti_y8_320_oracle__c0.563965__f0.563965.npz,158.08049249649048
kitti_y8_320_oracle,0.6,0.6,kitti_y8_320_oracle__c0.600000__f0.600000.npz,158.68455529212952
kitti_y8_320_oracle,0.65,0.65,kitti_y8_320_oracle__c0.650000__f0.650000.npz,158.48499703407288
kitti_y8_320_oracle,0.7,0.7,kitti_y8_320_oracle__c0.700000__f0.700000.npz,151.68691158294678
kitti_y8_384_mono,0.1,0.1,kitti_y8_384_mono__c0.100000__f0.100000.npz,160.37434482574463
kitti_y8_384_mono,0.15,0.15,kitti_y8_384_mono__c0.150000__f0.150000.npz,160.0870008468628
kitti_y8_384_mono,0.2,0.2,kitti_y8_384_mono__c0.200000__f0.200000.npz,153.68973302841187
