task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,1475.966585063351,1284.1725003749325,1063.083285819334,0.2797375654858036,0.12994473359312966,486,265,221,299,3376
lateral,255.2137916796172,263.10074490814975,234.17066160572094,0.08245295027124855,-0.030903319043327562,98,46,52,57,3376
