dataset,detector,cheap_mode,full_mode,geometry,n_frames,n_seqs,JB_all_cheap,JB_all_full,JB_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJB_nonzero,frames_dJB_pos,frames_dJB_neg,plan_change_rate,collision_rate_cheap,collision_rate_full
KITTI,YOLOv8s,cheap_320,full_640,mono,8008,21,4191.236053192606,3547.0603586965703,2804.4565222106276,0.33087602639932956,0.15369587546980212,1972,1083,889,0.15821678321678323,0.018231768231768232,0.013611388611388612
KITTI,YOLOv8s,cheap_320,full_640,oracle,8008,21,2079.712602135315,1823.7243720088009,1794.7110075001683,0.1370389323710043,0.1230882718427931,388,226,162,0.03071928071928072,0.0027472527472527475,0.0006243756243756244
KITTI,YOLOv8s,cheap_384,full_640,mono,8008,21,3917.2673909733976,3547.0603586965703,2792.0154380805516,0.28725431291358267,0.09450644935035565,1934,1089,845,0.1572177822177822,0.015984015984015984,0.013611388611388612
KITTI,YOLOv8s,cheap_512,full_640,mono,8008,21,3639.788143410795,3547.0603586965703,2728.178794178131,0.2504567060813621,0.025476148902262925,1782,976,806,0.14235764235764237,0.013611388611388612,0.013611388611388612
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,mono,8008,21,4016.980330168752,3299.47473557364,2590.3717912744623,0.35514451693477883,0.17861814985909327,2510,1650,860,0.21453546453546454,0.014235764235764236,0.010864135864135864
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,mono,8008,21,3627.0592836737214,3299.47473557364,2648.851795663012,0.26969713244386706,0.09031684416480852,2174,1384,790,0.18194305694305693,0.012112887112887112,0.010864135864135864
