track,geometry,system,target,setting,quota,arch,eta,official,ok
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_reg,0.029904190953025135,0.0299041909530251,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_clf,-0.0360352545037818,-0.0360352545037818,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_reg,0.0,0.0,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_clf,0.0,0.0,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm_batched,-0.01373996668999565,-0.0137399666899956,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_ridge,0.05588855650660879,0.0558885565066087,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_ridge,-0.013077775202718649,-0.0130777752027186,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_ridge,0.0011076805142467782,0.0011076805142467,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_ridge,0.20485184769345785,0.2048518476934578,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_gbm,-0.17027269474420517,-0.1702726947442051,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_gbm,-0.21301692640251485,-0.2130169264025148,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_gbm,-0.160377899918356,-0.160377899918356,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_gbm,-0.12221890696199544,-0.1222189069619954,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_reg,0.08628802436548957,0.0862880243654895,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_reg,0.10705249163704837,0.1070524916370483,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_reg,0.18713002707693946,0.1871300270769394,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_reg,0.17117351668820138,0.1711735166882013,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_clf,0.20489331026795266,0.2048933102679526,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_clf,0.18186591110092737,0.1818659111009273,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_clf,0.12983224588112652,0.1298322458811265,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_clf,0.18183942136706,0.18183942136706,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_reg,0.07029598374748897,0.0702959837474889,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_reg,-0.04939200307473224,-0.0493920030747322,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_reg,-0.012000292672340393,-0.0120002926723403,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_reg,0.30937688898056454,0.3093768889805645,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_clf,0.10610863041813762,0.1061086304181376,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_clf,0.20232613820483877,0.2023261382048387,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_clf,0.21417120970247444,0.2141712097024744,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_clf,0.1750484299121583,0.1750484299121583,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_ridge,0.0,0.0,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm,0.0,0.0,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_reg,0.1268303708950266,0.1268303708950266,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_clf,0.225947652862839,0.225947652862839,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_reg,0.0,0.0,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_clf,0.0,0.0,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm_batched,-0.0049979250192191535,-0.0049979250192191,True
nuScenes,mono,brake,J,quota,0.1,gate_ridge,0.15732510139205744,0.1573251013920574,True
nuScenes,mono,brake,J,quota,0.2,gate_ridge,0.2513530972218521,0.2513530972218521,True
nuScenes,mono,brake,J,quota,0.3,gate_ridge,0.23948254677996553,0.2394825467799655,True
nuScenes,mono,brake,J,quota,0.5,gate_ridge,0.15631452117857803,0.156314521178578,True
nuScenes,mono,brake,J,quota,0.1,gate_gbm,0.1303837362881611,0.1303837362881611,True
nuScenes,mono,brake,J,quota,0.2,gate_gbm,0.2744455725425959,0.2744455725425959,True
nuScenes,mono,brake,J,quota,0.3,gate_gbm,0.31109539885594134,0.3110953988559413,True
nuScenes,mono,brake,J,quota,0.5,gate_gbm,0.3528633747439552,0.3528633747439552,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_reg,0.07690773201605963,0.0769077320160596,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_reg,0.0805396730425995,0.0805396730425995,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_reg,0.08377385968897796,0.0837738596889779,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_reg,0.0971872468251705,0.0971872468251705,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_clf,0.12328813771792305,0.123288137717923,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_clf,0.25747500455152644,0.2574750045515264,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_clf,0.15606424933378105,0.156064249333781,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_clf,0.14115878072894997,0.1411587807289499,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_reg,0.04267501050260609,0.042675010502606,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_reg,0.2705794578062933,0.2705794578062933,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_reg,0.2720147430549996,0.2720147430549996,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_reg,0.564675540699516,0.564675540699516,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_clf,0.18877854698861965,0.1887785469886196,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_clf,0.25256421635077797,0.2525642163507779,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_clf,0.25475872194972804,0.254758721949728,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_clf,0.4968983187920999,0.4968983187920999,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_ridge,0.0,0.0,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm,0.0,0.0,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_reg,0.06775258228737188,0.0677525822873718,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_clf,0.17409036187831178,0.1740903618783117,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_reg,0.0,0.0,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_clf,0.0,0.0,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm_batched,0.1438317120935062,0.1438317120935062,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_ridge,-0.023937206381151366,-0.0239372063811513,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_ridge,0.021792383987890244,0.0217923839878902,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_ridge,0.07666779505986933,0.0766677950598693,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_ridge,0.16109867027592156,0.1610986702759215,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_gbm,0.004950310532173366,0.0049503105321733,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_gbm,0.08862901548960772,0.0886290154896077,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_gbm,0.153166509506939,0.153166509506939,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_gbm,0.1400666162009699,0.1400666162009699,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_reg,0.11212069398636333,0.1121206939863633,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_reg,0.13636997476716792,0.1363699747671679,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_reg,0.25074640975862733,0.2507464097586273,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_mlp_reg,0.2656973273251882,0.2656973273251882,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_clf,0.06929418670451297,0.0692941867045129,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_clf,0.13504024890663607,0.135040248906636,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_clf,0.24476089374606724,0.2447608937460672,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_mlp_clf,0.3988177829968545,0.3988177829968545,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_gbm_reg,0.08423705336585757,0.0842370533658575,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_gbm_reg,0.1370489784501209,0.1370489784501209,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_gbm_reg,0.15023421686952032,0.1502342168695203,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_gbm_reg,0.24078911221148797,0.2407891122114879,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_gbm_clf,0.019688130925161147,0.0196881309251611,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_gbm_clf,0.12064650888375544,0.1206465088837554,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_gbm_clf,0.15180509741794138,0.1518050974179413,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_gbm_clf,0.2779365018496663,0.2779365018496663,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_ridge,0.0,0.0,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm,0.0,0.0,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_reg,0.13550099479798583,0.1355009947979858,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_clf,0.1336884783607576,0.1336884783607576,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_reg,0.0,0.0,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_clf,0.0,0.0,True
nuScenes,mono,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm_batched,0.004059405587631136,0.0040594055876311,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,gate_ridge,-0.024753373341244014,-0.024753373341244,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,gate_ridge,-0.06447427028240947,-0.0644742702824094,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,gate_ridge,-0.05364060263786844,-0.0536406026378684,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,gate_ridge,0.15591130559298666,0.1559113055929866,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,gate_gbm,-0.07906025729083098,-0.0790602572908309,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,gate_gbm,-0.03966268572963357,-0.0396626857296335,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,gate_gbm,0.09268219616651728,0.0926821961665172,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,gate_gbm,0.30250513960542574,0.3025051396054257,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_mlp_reg,0.17042584555989113,0.1704258455598911,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_mlp_reg,0.16550149368443937,0.1655014936844393,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_mlp_reg,0.12340656035265463,0.1234065603526546,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_mlp_reg,0.12761068210123974,0.1276106821012397,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_mlp_clf,0.06726314362487643,0.0672631436248764,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_mlp_clf,0.11421619310145305,0.114216193101453,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_mlp_clf,0.1968122349700922,0.1968122349700922,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_mlp_clf,0.11732055754765137,0.1173205575476513,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_gbm_reg,0.03516177235982171,0.0351617723598217,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_gbm_reg,0.034216223502314944,0.0342162235023149,True
nuScenes,mono,plan_fde,JC_fde,quota,0.3,R1_gbm_reg,0.014935849873105712,0.0149358498731057,True
nuScenes,mono,plan_fde,JC_fde,quota,0.5,R1_gbm_reg,0.10072282219214125,0.1007228221921412,True
nuScenes,mono,plan_fde,JC_fde,quota,0.1,R1_gbm_clf,0.015040682357135899,0.0150406823571358,True
nuScenes,mono,plan_fde,JC_fde,quota,0.2,R1_gbm_clf,0.017543014222165716,0.0175430142221657,True
