dataset,detector,cheap_mode,full_mode,task,geometry,perception_metric,best_perception_metric,n_sequences,n_frames,action_change_rate,improved_same_action_rate,harmful_full_rate,corr_deltaE_deltaJ,eta_random_20,eta_uncertainty_20,eta_criticality_20,eta_perception_oracle_20,eta_best_perception_metric_20,eta_multimetric_perception_oracle_20,eta_decision_oracle_20,top20_cross_task_overlap,best_trivial_heuristic,best_trivial_eta20,eta_perception_oracle_10,eta_perception_oracle_30,eta_perception_oracle_50
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.272977022977023,0.66996699669967,0.15384615384615385,0.04116641398007735,0.17008121951921104,0.024153154001849492,0.020832505692494604,0.155092544589673,0.2737974881634721,0.6995179109185727,1.0,0.28214731585518105,ego speed,0.7873982389547349,0.03906143772602492,0.3315206471154514,0.42043220849369145
KITTI,YOLOv8s,cheap_320,full_640,lateral,mono,E1_fn_only,E3_class_aware,21,8008,0.09552947052947053,0.8813714704803813,0.07617382617382618,-0.034026157580016786,-0.42977170239494394,-0.1428134167740966,-0.20883006244574884,-0.2567998003336294,-0.24997393361420384,-0.2678153303678098,1.0,0.28214731585518105,uncertainty,-0.1428134167740966,-0.009756550253614792,-0.7576838329765633,-1.0531813956703244
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,oracle,E1_fn_only,E6_risk_weighted,21,8008,0.1717032967032967,0.7799779977997799,0.07867132867132867,0.14066368863586826,0.19475653077244595,0.016257256443351745,0.020494076058021424,0.19796790236129846,0.3305345880471484,0.8322815747840613,1.0,0.5031210986267166,ego speed,0.8642133312258609,0.06554429049218043,0.396341112533797,0.5116019924629701
KITTI,YOLOv8s,cheap_320,full_640,lateral,oracle,E1_fn_only,E5_fp_heavy,21,8008,0.0501998001998002,0.935093509350935,0.03821178821178821,-0.03962627165416571,-0.3214033802467506,0.05992080251050255,0.09124419776852477,-0.24311418438032995,-0.17538756558947338,-0.11170642804779823,1.0,0.5031210986267166,speed + detections,0.23576665492108612,0.0107903168507585,-0.46153266794076114,-0.7221336886195195
KITTI,YOLOv8s,cheap_384,full_640,longitudinal,mono,E1_fn_only,E4_localization,21,8008,0.22627372627372627,0.7159199237368923,0.14735264735264736,0.03196780570207961,0.08541657046293426,0.059367390087529406,0.03599688322535845,0.1598532557078223,0.19916157825591863,0.37199970225840895,1.0,0.32147315855181025,ego speed,0.5076465204605207,0.07792899264352975,0.3302612465662003,0.45606965261508575
KITTI,YOLOv8s,cheap_384,full_640,lateral,mono,E1_fn_only,E3_class_aware,21,8008,0.056693306693306696,0.9294566253574833,0.04020979020979021,-0.028373567780061858,-0.14988185273095236,0.013416594586959214,-0.13858287450557252,-0.08836947990377705,-0.08510891915757808,-0.06992899931583253,1.0,0.32147315855181025,n detections,0.013616463989216562,-0.057260537389684,-0.2579830607994058,-0.48839372680712073
KITTI,YOLOv8s,cheap_512,full_640,longitudinal,mono,E1_fn_only,E3_class_aware,21,8008,0.19068431568431568,0.753721820501914,0.13274225774225773,0.0394466554330195,0.05812442742239395,0.06667705295799309,0.03826249426484943,0.21329548506148446,0.22128795055527456,0.16733131233220877,1.0,0.3882646691635456,ego speed,0.21380444734962872,0.018290080992192544,0.2153857415510729,0.25270774673177304
KITTI,YOLOv8s,cheap_512,full_640,lateral,mono,E1_fn_only,E2_fn_fp,21,8008,0.032092907092907096,0.9608677158655891,0.024350649350649352,-0.01469787237310294,-0.018679953757645636,0.15521791472886282,-0.014350443621663479,-0.12963456097642934,0.010420005502647193,-0.050651150809288635,1.0,0.3882646691635456,uncertainty,0.15521791472886282,0.010444452166205851,-0.21874206961627696,-0.0940252966686839
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,longitudinal,mono,E1_fn_only,E5_combined,21,8008,0.30182317682317683,0.6637819125919515,0.20292207792207792,0.0031609766987067993,0.057705807587367285,0.036583948459022145,0.035454567066406366,0.04616762709900507,0.11490339088693598,0.17774140206385317,1.0,0.22908863920099876,speed x empty,0.23320360503187007,0.0038496611000930075,0.12176686815290631,0.2698227064193466
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,lateral,mono,E1_fn_only,E1_fn_only,21,8008,0.07017982017982018,0.9244915620943315,0.045704295704295704,-0.00018345553792474689,-0.025991990447246937,-0.13689113489192772,-0.2502907951784903,0.0001791259120224074,0.0001791259120224074,-0.019150801612230598,1.0,0.22908863920099876,closest object,0.3552875464907389,-0.0014896618132682201,-0.028654018834471412,-0.033426023800622914
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,longitudinal,mono,E1_fn_only,E5_fp_heavy,21,8008,0.24875124875124874,0.73224043715847,0.17195304695304695,0.007319113832379167,0.056676167025793235,0.13350442978314037,0.051961328828295544,0.08799641170225436,0.11429933365826193,0.026295418280744894,1.0,0.24032459425717853,n detections,0.1370944811632368,0.023380389055735102,0.12753262291964354,0.14559924601330895
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,lateral,mono,E1_fn_only,E2_fn_fp,21,8008,0.03671328671328671,0.9644808743169399,0.024725274725274724,-0.010005048244329549,0.02779836253445618,0.005763708495319123,-0.09053933761788384,-0.03247121143338001,0.0065344571260861775,-0.04517600413257853,1.0,0.24032459425717853,ego speed,0.27922004762061836,0.008597415105568194,0.043701817003566,0.1816212922241613
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,85,3376,0.08856635071090048,0.8778726198292843,0.06546208530805687,0.0010446027778174623,0.12593146000223115,0.19781977011073765,0.17728780160484559,0.04723266773504287,0.1646490591780407,0.15110765672153223,1.0,0.6859259259259259,speed + detections,0.20859179432134542,-0.001740350947357407,0.0767915656614851,0.10671467166420258
nuScenes,YOLOv8s,ns_cheap_320,ns_full_640,lateral,mono,E1_fn_only,E5_loc_heavy,85,3376,0.01688388625592417,0.9783322390019698,0.015402843601895734,-0.027481663907343957,-0.12680677952668729,0.10154936446972673,0.05753979625227314,-0.07257260624715331,0.02318629488308758,0.11148218034956033,1.0,0.6859259259259259,n detections,0.12427780584137636,-0.08451227767316148,-0.09795559575127051,-0.5267102031468401
