quota,policy,J_long_seq,J_lat_seq,eta_long,eta_lat,collisions,lat_collisions,switches,sustained,repeat_brakes
0.1,random,19880.405612330538,2552.731065779869,0.08861453289528551,-0.6960414244825631,34.0,50.0,1484.0,1560.0,1140.0
0.1,uncertainty,20773.58134054468,2463.6178910950584,0.009705554000239291,0.004403742069707467,35.0,50.0,1405.0,1632.0,1089.0
0.1,criticality,20633.350046492837,2465.127532657875,0.022094502639592447,-0.007462305118502087,33.0,50.0,1403.0,1644.0,1114.0
0.1,ego speed,15867.901194605089,2558.565435161659,0.44310538661300575,-0.7419005900639686,27.0,50.0,1445.0,1420.0,1201.0
0.1,PERCEPTION-GAIN ORACLE,20380.025250396116,2488.9736318680198,0.04447487008280114,-0.19489682298804684,33.0,49.0,1508.0,1561.0,1116.0
0.1,DECISION-VALUE ORACLE (long),9564.375806042657,2638.2398134753657,1.0,-1.368155163366758,25.0,50.0,1251.0,1115.0,1204.0
0.1,DECISION-VALUE ORACLE (lat),20936.447449424028,2336.9545240178227,-0.004683102052892544,1.0,35.0,52.0,1436.0,1642.0,1130.0
0.2,random,18753.463153391258,2592.727687807517,0.17087019618108132,-0.9909492937496261,32.0,50.0,1579.0,1443.0,1172.0
0.2,uncertainty,20574.67826585129,2476.410197787463,0.024769306631703285,-0.09429312859447317,34.0,50.0,1408.0,1619.0,1133.0
0.2,criticality,20609.083260518833,2473.778364799983,0.02200928103589102,-0.07400512828191814,33.0,50.0,1409.0,1601.0,1182.0
0.2,ego speed,11084.304494631011,2636.1477967963324,0.7861027925253404,-1.3256617124049581,27.0,50.0,1438.0,1152.0,1294.0
0.2,PERCEPTION-GAIN ORACLE,18858.139328179754,2513.8467571075867,0.1624729002512404,-0.38288018210463853,27.0,49.0,1555.0,1407.0,1215.0
0.2,DECISION-VALUE ORACLE (long),8417.976945446646,2673.2510315774052,1.0,-1.6116792683882604,25.0,50.0,849.0,1037.0,1254.0
0.2,DECISION-VALUE ORACLE (lat),19775.64082418664,2334.4545240178227,0.08886941222152353,1.0,35.0,52.0,1496.0,1451.0,1193.0
0.3,random,17770.089106218267,2622.4175698951426,0.2493833010398604,-1.219819567790177,32.0,50.0,1655.0,1330.0,1214.0
0.3,uncertainty,20669.33444159993,2512.835343574662,0.017150057466009255,-0.375083502691579,35.0,51.0,1449.0,1567.0,1220.0
0.3,criticality,21031.275591703117,2465.3763415903677,-0.01184188959191295,-0.009236485927449523,35.0,50.0,1440.0,1533.0,1280.0
0.3,ego speed,10637.124012938697,2600.8944065283154,0.8207428888938856,-1.0539040453422641,27.0,50.0,1372.0,1077.0,1383.0
0.3,PERCEPTION-GAIN ORACLE,16676.572616692163,2572.7814123243616,0.33697536445201304,-0.8371895205566948,25.0,49.0,1565.0,1216.0,1315.0
0.3,DECISION-VALUE ORACLE (long),8399.243099721702,2663.0827941908465,1.0,-1.533295417947135,25.0,50.0,844.0,1028.0,1272.0
0.3,DECISION-VALUE ORACLE (lat),19891.197507695917,2334.4545240178227,0.07947981683470082,1.0,35.0,52.0,1514.0,1434.0,1242.0
0.5,random,15588.824339191651,2674.959514415835,0.4241282312536222,-1.6001788585414387,29.0,49.0,1767.0,1159.0,1279.0
0.5,uncertainty,20467.543988186797,2496.4219503000445,0.03331552421648244,-0.24478371778771899,35.0,50.0,1411.0,1491.0,1365.0
0.5,criticality,19619.005737626387,2524.53496738698,0.10128817986894964,-0.458207973575404,27.0,53.0,1434.0,1437.0,1474.0
0.5,ego speed,10639.55069153932,2641.2359113621164,0.8205927078514885,-1.3441609839048538,27.0,50.0,1343.0,931.0,1554.0
0.5,PERCEPTION-GAIN ORACLE,15576.033152021106,2592.397708068728,0.42515287682541053,-0.9733983169286772,27.0,49.0,1543.0,1034.0,1514.0
0.5,DECISION-VALUE ORACLE (long),8399.915527131076,2690.338963513223,1.0,-1.7169342913676053,25.0,53.0,842.0,1028.0,1272.0
0.5,DECISION-VALUE ORACLE (lat),18914.002632015603,2332.4545240178227,0.1577628683110473,1.0,35.0,52.0,1547.0,1220.0,1313.0
