scenario,log,type,map,iteration,route_len,route_ids_missing_in_map,d_route_any_m,d_route_first2_m,ego_on_any_road,ego_on_route_block,ego_speed,idm_coll,idm_logdev,pdm_coll,pdm_logdev
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,4,26,0,0.0,57.62547512065834,True,True,0.0012905457929775425,0.0,0.8135589384279791,0.0,1.1785199328756557
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,17,26,0,0.0,57.624321553406645,True,True,0.0022808573368069828,0.0,0.8007190681003075,0.0,1.1686746377018749
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,30,26,0,0.0,57.62340727512636,True,True,0.001427134612971486,0.0,0.7976825465790744,0.0,1.16593000360347
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,43,26,0,0.0,57.622746958643596,True,True,0.0005440095201937907,0.0,0.7867566957421095,0.0,1.157923345761957
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,57,26,0,0.0,57.6220584494512,True,True,0.0012927474458091035,0.0,0.7996349279439514,0.0,1.169067414506602
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,70,26,0,0.0,57.62168345604129,True,True,0.001296377401762165,0.0,0.811472422702792,0.0,1.1768315029697027
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,83,26,0,0.0,57.621267467318724,True,True,0.0008930756612676206,0.0,0.8023775520130259,0.0,1.1709145716809992
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,97,26,0,0.0,57.621004871549644,True,True,0.0006460795711157219,0.0,0.808245329783158,0.0,1.1749899013985845
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,110,26,0,0.0,57.62078880311864,True,True,0.0011797562782273475,0.0,0.7773869312283759,0.0,1.1511622431167432
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,123,26,0,0.0,57.620580614432306,True,True,0.0013330973672492257,0.0,0.8135838929265093,0.0,1.1784107456689166
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,137,26,0,0.0,57.62041776220781,True,True,0.0014335788504751148,0.0,0.8002667033158315,0.0,1.1684812604189023
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,150,26,0,0.0,57.62030590822333,True,True,0.0014877437319899514,0.0,0.8126584740854891,0.0,0.8008269223679275
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,163,26,0,0.0,57.62019880143802,True,True,0.0015817859895152842,0.0,0.81117118637618,0.0,1.1765009416884469
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,176,26,0,0.0,57.620099766145174,True,True,0.0016044637370443671,0.0,0.7974747091199387,0.0,1.166304487983623
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,190,26,0,0.0,57.61998518128,True,True,0.0012875868142694876,0.0,0.8071251605951391,0.0,1.1734724190781414
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,203,26,0,0.0,57.619884987071124,True,True,0.0010424756088432355,0.0,0.7833651849637921,0.0,0.7695087754545739
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,216,26,0,0.0,57.61982711642373,True,True,0.001825839309671276,0.0,0.8133254438999599,0.0,1.1782068121423055
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,230,26,0,0.0,57.61983058599318,True,True,0.0007542502708474731,0.0,0.8030161791108658,0.0,1.1698073919819658
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,243,26,0,0.0,57.61980930825379,True,True,0.0011791131304691442,0.0,0.8085141358760881,0.0,1.1741808839424683
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,256,26,0,0.0,57.619844925588865,True,True,0.0019553573115519683,0.0,0.8015545588328573,0.0,1.168597668913535
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,270,26,0,0.0,57.61979789655446,True,True,0.001359448572520372,0.0,0.7857728617141417,0.0,1.1574268557900769
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,283,26,0,0.0,57.61976446629512,True,True,0.0010227256641001591,0.0,0.7894127551058633,0.0,1.1597125032235955
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,296,26,0,0.0,57.619744541824936,True,True,0.00123820882947979,0.0,0.7915908391167836,0.0,1.162127151840978
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,stationary_at_traffic_light_with_lead,us-ma-boston,310,26,0,0.0,57.61975433724895,True,True,0.0006294084931299423,0.0,0.7997714722133635,0.0,1.169179588046882
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,4,28,0,0.0,0.0,True,True,0.000698091166118413,0.0,0.589097906784159,0.0,0.5690303766323852
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,17,28,0,0.0,0.0,True,True,0.0014765207613768848,0.0,0.5890566682107113,0.0,1.2274195507323429
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,30,28,0,0.0,0.0,True,True,0.0008414635648891221,0.0,0.5891256607318781,0.0,1.2274150503540653
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,43,28,0,0.0,0.0,True,True,0.0012647484604405167,0.0,0.5889658551977568,0.0,1.2273794140361145
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,57,28,0,0.0,0.0,True,True,0.0013881700511140533,0.0,0.5893437280855454,0.0,1.2274261762341336
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,70,28,0,0.0,0.0,True,True,0.0018085240907049233,0.0,0.5887249666381217,0.0,1.2272889126367028
