task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,893.7719554813254,804.763904792168,670.0624763471841,0.2502981635999828,0.099586980933211,295,152,143,177,3376
lateral,154.23856096825187,150.06957610438104,140.6824798644839,0.08789034997907127,0.02702945902567755,42,25,17,25,3376
plannerC_path_dev,4746.009805218009,4457.576505344763,4061.101912514414,0.14431236360923064,0.06077385250155354,1488,861,627,-1,3376
plannerC_ade_truth,10167.711370479949,10085.04228430365,9699.515018552353,0.04604736846552476,0.008130550048490991,1226,596,630,-1,2655
plannerC_fde_truth,19732.815739848607,19600.577044652666,18627.61336100025,0.05600834637180045,0.006701461004822422,510,254,256,-1,2655
