task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,oracle,random,False,3376,85,0.03903415072764122,0.009770176244813533,,-0.08738223476843157,0.13773595701264876,0.0,0.07801386092022654,0.01952672612367717,,-0.09743563749606467,0.21770277975376587,0.0,0.1261713305733973,0.031580452341487715,,-0.09153830898734265,0.2918589753036691,0.0,0.23916244984292098,0.05986192199775612,,-0.08424486130258584,0.3966670560957597,0.0,,,,,
longitudinal,oracle,uncertainty,False,3376,85,-0.08281643005465159,-0.020728800358585715,0.0029585798816568047,-0.21542727838390932,0.06258559099196574,0.0,-0.06139402703520307,-0.015366812222919026,0.0014814814814814814,-0.3119310414188061,0.13309113589057292,0.0,-0.042321690641405306,-0.010593041447990328,0.0009871668311944718,-0.3422218558363866,0.1884750212811741,0.0,0.08753635421634852,0.02191018870858965,0.0005924170616113745,-0.27753426652589,0.3261470126510208,0.0,-0.0338218129606913,-0.0274180330970602,0.537739087022996,0.07988165680473373,0.13333333333333333
longitudinal,oracle,criticality,False,3376,85,0.07023153469200108,0.017578824160216357,0.0029585798816568047,-0.07769379820097945,0.28336102901877774,0.0,0.16347685963890135,0.04091795775870916,0.0014814814814814814,-0.10489910947475979,0.4160479488683021,0.0,0.11543259034251237,0.02889256538231996,0.0009871668311944718,-0.14144097220383403,0.39867208272838284,0.0,0.34584990779916996,0.08656559680335561,0.0005924170616113745,0.05013610809778295,0.6119943489740053,0.0,0.03331860531570408,0.026631222407113568,0.4667028592110025,0.10946745562130178,0.2074074074074074
longitudinal,oracle,perception_oracle_dE,False,3376,85,0.07135684988835099,0.017860488487333893,0.03550295857988166,-0.006257520116116878,0.1515677016521167,0.0,0.13423493919766857,0.033598758772131795,0.5170370370370371,0.016729429755445047,0.2413782323194119,0.0,0.2429811668921741,0.06081773986249212,0.3168805528134255,0.036170466038562346,0.4149219929027941,0.0,0.42541561464700006,0.10648074711290206,0.09774881516587677,0.04068131951800239,0.6768443130157006,0.0,0.04625267866603725,0.04184245012503832,0.4447513812154696,0.10946745562130178,0.16148148148148148
longitudinal,oracle,best_dE_metric (E6_risk_weighted),False,3376,85,0.3693321917369718,0.09244316935012079,0.0029585798816568047,0.1551537572329539,0.6201260192518178,0.0,0.5624858054996026,0.14078916416760764,0.0014814814814814814,0.27886617873180103,0.7541072675808023,0.0,0.5321819539890585,0.13320416578451189,0.0009871668311944718,0.24062171963286022,0.7183490311285338,0.0,0.42619484139473196,0.10667578613688736,0.1362559241706161,0.056833915294922856,0.672202045573504,0.0,0.06440217156815474,0.05597426335540874,0.43178164279450454,0.1893491124260355,0.2548148148148148
longitudinal,oracle,multimetric_dE_oracle,False,3376,85,0.373900787559602,0.09358668049475569,0.0029585798816568047,0.16672132181889082,0.5661067347032925,0.0,0.4338054675360617,0.1085807118839082,0.0014814814814814814,0.2169132000335728,0.6226322838593773,0.0,0.5347503647490066,0.13384703428109734,0.0009871668311944718,0.33090016516359644,0.7067147665400312,0.0,0.5797374943542838,0.14510723020693264,0.004146919431279621,0.3384299157485786,0.7467596462062746,0.0,0.07979177408095983,0.06388917726914932,0.4199099340908413,0.16272189349112426,0.2222222222222222
longitudinal,oracle,PKL_gain,False,3376,85,0.24455365043632893,0.06121132960588527,0.0029585798816568047,0.032915646942243575,0.44514242007724547,0.0,0.21952347413160364,0.05494632244222873,0.0014814814814814814,-0.040827127750378035,0.42294844295999867,0.0,0.24795686929027647,0.062063149035357174,0.0009871668311944718,-0.023766046382966536,0.4696391481289164,0.0,0.3097103490681895,0.07751993161967749,0.2683649289099526,0.014661214243341504,0.5401407217697912,0.0,0.023122267235926953,0.019548393809101384,0.4829115575267415,0.15680473372781065,0.2074074074074074
longitudinal,oracle,TIP_gain,False,3376,85,0.16025215708694193,0.040110820631797536,0.0029585798816568047,-0.0834477887876711,0.3867863625133378,0.0,0.20171811005495272,0.050489672511613896,0.0014814814814814814,-0.03873382279103435,0.4253047903111333,0.0,0.1807217605713471,0.045234324793563964,0.0009871668311944718,-0.11135207283432189,0.43434403105800484,0.0,0.23634559828374554,0.05915686922536076,0.2790284360189573,-0.05061595023288163,0.4914130996913602,0.0,-0.002993833959582679,-0.0025950206156460016,0.5036990965038628,0.1390532544378698,0.21037037037037037
longitudinal,oracle,decision_oracle_dJ,False,3376,85,1.0,0.2502981635999828,0.5502958579881657,1.0,1.0,0.0,1.0,0.2502981635999828,0.7748148148148148,1.0,1.0,0.0,1.0,0.2502981635999828,0.8499506416584403,1.0,1.0,0.0,1.0,0.2502981635999828,0.909952606635071,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,oracle,uncertainty [scene-z],True,3376,85,-0.016682669006624434,-0.004175641416304446,0.0029585798816568047,-0.09717851869516257,0.08154040343192473,0.0,-0.05763234085383834,-0.014425269079684002,0.0014814814814814814,-0.25246977429094664,0.08806811495550494,0.0,0.054371929668717046,0.0136091941474673,0.0009871668311944718,-0.1590680010864525,0.25546922625386703,0.0,0.18785595614284017,0.04702000084387181,0.0005924170616113745,-0.07943969316961698,0.38265408295766007,0.0,0.04087029915256251,0.03283393726957051,0.45914478619654914,0.08579881656804733,0.21333333333333335
longitudinal,oracle,criticality [scene-z],True,3376,85,0.044196484322939385,0.011062298863607158,0.0029585798816568047,-0.09894947449206583,0.20921257570617094,0.0,0.15603612501989964,0.03905555554773821,0.0014814814814814814,-0.04419340620293144,0.34892423074353374,0.0,0.2251007938688493,0.05634231533027125,0.0009871668311944718,-0.039669795653861376,0.4667206722364918,0.0,0.4270915582813889,0.10690023272688667,0.0005924170616113745,0.10453488604073442,0.6604482044611993,0.0,0.05527883217140096,0.044502505893711755,0.446694620394326,0.13609467455621302,0.23555555555555555
longitudinal,oracle,perception_oracle_dE [scene-z],True,3376,85,0.22544138838930491,0.05642756551327351,0.014792899408284023,0.09329132246390251,0.37390432822138026,0.0,0.3656611205947996,0.0915243069847902,0.008888888888888889,0.20738362966050372,0.5393469215282515,0.0,0.4288864617418185,0.10734949376687146,0.007897334649555774,0.24046702376676654,0.6242585338877953,0.0,0.42466261555935464,0.10629227282407196,0.01066350710900474,0.046826602406976246,0.6982524223549866,0.0,0.08397192580735172,0.06757470368626575,0.4183090588270479,0.12130177514792899,0.24296296296296296
longitudinal,oracle,best_dE_metric (E6_risk_weighted) [scene-z],True,3376,85,0.48209623266356844,0.12066780171416124,0.0029585798816568047,0.27693895627361037,0.6344275809579657,0.0,0.5389334739898293,0.1348940588422134,0.0044444444444444444,0.26939443085266235,0.7370877839161089,0.0,0.5469984116616117,0.13691269793100883,0.0009871668311944718,0.2706643118608192,0.7481778292478213,0.0,0.6138531865650514,0.15364632531723002,0.012440758293838863,0.35613449966467364,0.7895170274729716,0.0,0.098306114363424,0.07932323025135359,0.4011141231493342,0.1804733727810651,0.27111111111111114
longitudinal,oracle,multimetric_dE_oracle [scene-z],True,3376,85,0.37033357425484525,0.09269381355540565,0.0029585798816568047,0.1523931979426712,0.5622558609859323,0.0,0.4408608397368274,0.11034665858927423,0.0014814814814814814,0.2612008830151876,0.6149361452135672,0.0,0.49115411872930365,0.12293497396251264,0.0009871668311944718,0.2967122511251584,0.6367571603049019,0.0,0.48277756675091127,0.12083833838502121,0.0005924170616113745,0.28664751254787185,0.6387962298664284,0.0,0.05742180088463919,0.045833129254884274,0.44410885167464115,0.17455621301775148,0.2074074074074074
longitudinal,oracle,PKL_gain [scene-z],True,3376,85,0.15552694617009916,0.0389281090166892,0.0029585798816568047,-0.08269930001135324,0.3311395677706311,0.0,0.3000298338340928,0.07509691643388143,0.02074074074074074,0.013813800622066186,0.4799232440164016,0.0,0.3043441173083526,0.07617677366473839,0.003948667324777887,-0.0012914173677601236,0.529423399293833,0.0,0.344337982322228,0.08618716463297701,0.0005924170616113745,0.024636434229548622,0.6166914773545156,0.0,0.02456350387319642,0.019874258865217667,0.4721045408437258,0.14497041420118342,0.2088888888888889
longitudinal,oracle,TIP_gain [scene-z],True,3376,85,0.11713698396312094,0.02931917197560981,0.0029585798816568047,-0.08910398420491392,0.30706767964292864,0.0,0.2585651086975603,0.06471837187802928,0.0014814814814814814,-0.029834210113864754,0.44434990065230945,0.0,0.3194509131800585,0.07995797692930619,0.01678183613030602,0.0669010909088195,0.5140812486029832,0.0,0.36270130666320244,0.09078347099311379,0.0005924170616113745,0.0837478211796759,0.5590022993614915,0.0,0.013003220349731195,0.010492766879794337,0.488944002868583,0.11834319526627218,0.22074074074074074
lateral,oracle,random,False,3376,85,0.044192968082191676,0.0038841354313577524,,-0.24390041389687725,0.24351837350417257,0.0275,0.0842465443690191,0.007404458269120446,,-0.3807169534257214,0.3278168624151055,0.0275,0.09336676450846541,0.008206037609062555,,-0.46568186469955486,0.44063031277863335,0.0275,0.12108230871877736,0.010641966489567294,,-0.617129922360359,0.5286025190413238,0.0275,,,,,
lateral,oracle,uncertainty,False,3376,85,0.30113319975075503,0.02646670231641144,0.0029585798816568047,0.0066116355907847695,0.7167587356085446,0.0275,0.4450721481769879,0.03911754686921254,0.0014814814814814814,-0.31913701200877026,0.7929588561763772,0.0275,0.29913005497369055,0.026290645220896493,0.0009871668311944718,-0.4566668005692306,0.721098371117018,0.0275,0.2699185044737712,0.023723231824027264,0.0005924170616113745,-0.9219608752315174,0.722817748582347,0.0275,0.04185952247192031,0.03463391246136441,0.39469285415796074,0.04437869822485207,0.10962962962962963
lateral,oracle,criticality,False,3376,85,-0.15382712052936548,-0.013519919459598712,0.0029585798816568047,-1.352011577153171,0.3476382100778075,0.0275,-0.05392525542842579,-0.0047395095723151565,0.0014814814814814814,-1.2021683931385894,0.4449961983259934,0.0275,-0.06867878179559969,-0.006036202168151526,0.0009871668311944718,-1.2397458251790623,0.4662299242501673,0.0275,0.005088850040273962,0.00044726081103068944,0.0005924170616113745,-1.1677102277298865,0.5083013285635736,0.0275,-0.007248993431813367,-0.00595213950916438,0.5121549237742068,0.11834319526627218,0.19111111111111112
lateral,oracle,perception_oracle_dE,False,3376,85,0.0804438352863263,0.007070236836973982,0.03550295857988166,-0.0008141729677476478,0.2936747884645149,0.0275,0.10957039837469566,0.009630180660498264,0.5170370370370371,-0.010998917101122755,0.3857604884874434,0.0275,0.1747522701143365,0.015359038179986233,0.3168805528134255,-0.2563357936302907,0.3879862629598839,0.0275,0.17023200295069327,0.014961750316974725,0.09774881516587677,-0.9313301689356566,0.6433381576084178,0.0275,-0.005805267090804784,-0.005345012219740717,0.5116564417177915,0.10946745562130178,0.14222222222222222
lateral,oracle,best_dE_metric (E5_loc_heavy),False,3376,85,0.14638669215858177,0.012865977606096321,0.0029585798816568047,-0.20813073690010744,0.44338948262244676,0.0275,0.30867548219750507,0.027129596160297306,0.0014814814814814814,-0.15761990521654093,0.6034898296918925,0.0275,0.3811290232570501,0.03349756324124373,0.10463968410661402,-0.0010271383195077878,0.7213458298965769,0.0275,0.3233948076077844,0.02842328282206259,0.0005924170616113745,-0.2337696616058558,0.686524175169374,0.0275,0.024525814845503997,0.020107664532591586,0.4309581320450886,0.11538461538461539,0.26666666666666666
lateral,oracle,multimetric_dE_oracle,False,3376,85,0.07117878033082031,0.006255927914359232,0.0029585798816568047,-0.7578477290525725,0.567193957053741,0.0275,-0.054226193790164044,-0.004765959150250459,0.002962962962962963,-0.9361896156109603,0.4481291223977731,0.0275,-0.1279938256260377,-0.011249422129432675,0.0009871668311944718,-1.0949836773510544,0.3602253668350297,0.0275,-0.12061706244245074,-0.010601075831514489,0.0005924170616113745,-1.1127425961386945,0.37239126584048565,0.0275,-0.01430682220427609,-0.01166034533560744,0.5192384769539078,0.13313609467455623,0.19407407407407407
lateral,oracle,PKL_gain,False,3376,85,0.017075080883963548,0.001500734834812506,0.0029585798816568047,-0.90398823669731,0.5064945711582812,0.0275,0.04780814771699083,0.004201874834697462,0.0014814814814814814,-0.831365439765742,0.5156889543641127,0.0275,-0.016989550466845953,-0.0014932175365181847,0.0009871668311944718,-0.9321965932812962,0.49020095908791733,0.0275,-0.01330116887505353,-0.0011690443875591846,0.2683649289099526,-0.9295978869881254,0.4958339159236795,0.0275,-0.008701250026671438,-0.007431345704249567,0.5150400346245402,0.13313609467455623,0.1837037037037037
lateral,oracle,TIP_gain,False,3376,85,-0.04193902458473621,-0.0036860355485333397,0.0029585798816568047,-0.8941233428177111,0.4632601908728704,0.0275,0.017075080883963548,0.001500734834812506,0.0014814814814814814,-0.9260433913245151,0.49592742127089356,0.0275,-0.07759682640399562,-0.006820012229912414,0.0009871668311944718,-1.0365254304838736,0.43248339098594585,0.0275,-0.014223264273003208,-0.0012500876747990727,0.2790284360189573,-0.9564927181887917,0.4958339159236795,0.0275,-0.014169984625719301,-0.012145562216505637,0.5463498180261186,0.1242603550295858,0.1837037037037037
lateral,oracle,decision_oracle_dJ,False,3376,85,1.0,0.08789034997907127,0.9260355029585798,1.0,1.0,0.0275,1.0,0.08789034997907127,0.9629629629629629,1.0,1.0,0.0275,1.0,0.08789034997907127,0.9753208292201382,1.0,1.0,0.0275,1.0,0.08789034997907127,0.9851895734597157,1.0,1.0,0.0275,1.0,1.0,0.0,1.0,1.0
