seq,policy,eta
0012,DECISION-VALUE ORACLE,
0012,decision sensitivity (learned),
0012,visual+criticality (learned),
0012,all cheap-side (learned),
0013,random,-0.01555772528848799
0013,confidence (low first),-0.7519607891649445
0013,uncertainty,-1.9726823308343682
0013,scene complexity,-1.6065927475026793
0013,criticality,-1.2226904103759229
0013,uncertainty x criticality,-1.394978397678959
0013,PERCEPTION-GAIN ORACLE,-1.132990439192469
0013,DECISION-VALUE ORACLE,1.0
0013,decision sensitivity (learned),0.5659963861949153
0013,visual+criticality (learned),-0.8678392385587137
0013,all cheap-side (learned),-1.3657714352976282
0014,random,-0.577017631633706
0014,confidence (low first),0.0
0014,uncertainty,-0.9583450498119109
0014,scene complexity,-0.5373822701392398
0014,criticality,-0.5066966180957081
0014,uncertainty x criticality,-0.4344490014470804
0014,PERCEPTION-GAIN ORACLE,-0.1367888208547339
0014,DECISION-VALUE ORACLE,1.0
0014,decision sensitivity (learned),0.9133028600216468
0014,visual+criticality (learned),-0.44520784639158356
0014,all cheap-side (learned),0.8826172079781152
0015,random,-0.07151066276141302
0015,confidence (low first),-0.011584616841844418
0015,uncertainty,0.4043903476151921
0015,scene complexity,0.5553388564141432
0015,criticality,0.4933158567275388
0015,uncertainty x criticality,0.5920720547449243
0015,PERCEPTION-GAIN ORACLE,0.15248850585495444
0015,DECISION-VALUE ORACLE,1.0
0015,decision sensitivity (learned),0.7940773943601813
0015,visual+criticality (learned),-0.019454307560918666
0015,all cheap-side (learned),0.3855893747385401
0016,random,
0016,confidence (low first),
0016,uncertainty,
0016,scene complexity,
0016,criticality,
0016,uncertainty x criticality,
0016,PERCEPTION-GAIN ORACLE,
0016,DECISION-VALUE ORACLE,
0016,decision sensitivity (learned),
0016,visual+criticality (learned),
0016,all cheap-side (learned),
0017,random,
0017,confidence (low first),
0017,uncertainty,
0017,scene complexity,
0017,criticality,
0017,uncertainty x criticality,
0017,PERCEPTION-GAIN ORACLE,
0017,DECISION-VALUE ORACLE,
0017,decision sensitivity (learned),
0017,visual+criticality (learned),
0017,all cheap-side (learned),
0018,random,0.027045997732391393
0018,confidence (low first),0.11326552701282482
0018,uncertainty,-0.0623851441451032
0018,scene complexity,-0.0703466173633947
0018,criticality,0.22528759028922918
0018,uncertainty x criticality,0.05831045735242309
0018,PERCEPTION-GAIN ORACLE,0.5115465812178382
0018,DECISION-VALUE ORACLE,1.0
0018,decision sensitivity (learned),0.08986983332181636
0018,visual+criticality (learned),0.08349959108007247
0018,all cheap-side (learned),0.09852142352584695
0019,random,-0.2531421754457819
0019,confidence (low first),0.026334094917886994
0019,uncertainty,0.058799826731226704
0019,scene complexity,0.047249686627208264
0019,criticality,0.14973852288814835
0019,uncertainty x criticality,0.11408225485434462
0019,PERCEPTION-GAIN ORACLE,0.14245548409887016
0019,DECISION-VALUE ORACLE,1.0
0019,decision sensitivity (learned),0.0846023803328328
0019,visual+criticality (learned),0.047944898389582366
0019,all cheap-side (learned),0.14965567802056318
0020,random,0.06690848042052781
0020,confidence (low first),0.3359898764571036
0020,uncertainty,0.1502944078201057
0020,scene complexity,0.1166299352500407
0020,criticality,0.08318450552452676
0020,uncertainty x criticality,0.18350527252310267
0020,PERCEPTION-GAIN ORACLE,0.07191087241957159
0020,DECISION-VALUE ORACLE,1.0
0020,decision sensitivity (learned),0.6378950901597005
0020,visual+criticality (learned),0.08461295033813666
0020,all cheap-side (learned),0.5835077996610717
