track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1+V2,random,A,True,0.09888743455497383,0.015705128205128205,0.1986778846153846,1.2297817231585118,0.004839118085225852,0.024357682791359386,,,-0.15219534849469196,0.08702943884855634,6.0,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1+V2,random,B,True,0.07627617801047121,0.014923878205128206,0.11378205128205128,0.7476426510202382,0.0029419294543962782,0.014808190910554533,,,-0.11945077409255392,0.062234566699437346,6.0,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,uncertainty,C,True,0.10052356020942409,,,-7.827452812838006,-0.030800562209180038,-0.15503451473466656,,,-0.8701545899340483,0.10972962161998949,6.0,-0.20460618144182094,-0.7379703999560313,0.06139427225873678,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,uncertainty,A,True,0.041884816753926704,0.0,0.28205128205128205,-4.908270908620154,-0.019313754688180758,-0.09721571202015432,3.821943283,0.6000000000000014,-0.4725934446031833,0.0,6.0,-0.12489284258253254,-0.33974135381206494,-0.013521150227048688,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,uncertainty,B,True,0.020942408376963352,0.0,0.07692307692307693,-4.908270908620154,-0.019313754688180758,-0.09721571202015432,3.821943283,0.6000000000000014,-0.4725934446031833,0.0,6.0,-0.1175174054834539,-0.38038605169426926,0.006228841433645871,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,uncertainty,A,True,0.0356020942408377,0.0,0.28205128205128205,-4.908270908620154,-0.019313754688180758,-0.09721571202015432,3.905252934,0.10000000000002274,-0.4725934446031833,0.0,6.0,-0.12489284258253254,-0.33974135381206494,-0.013521150227048688,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,uncertainty,B,True,0.018848167539267015,0.0,0.07692307692307693,-4.908270908620154,-0.019313754688180758,-0.09721571202015432,3.905252934,0.10000000000002274,-0.4725934446031833,0.0,6.0,-0.1175174054834539,-0.38038605169426926,0.006228841433645871,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,uncertainty,A_expected,True,0.10052356020942407,,,-7.827452812838005,-0.030800562209180034,-0.15503451473466653,3.036266327,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,criticality_cheap,C,True,0.10052356020942409,,,14.365146876484026,0.05652600029571222,0.28452341117089824,,,-0.11263424440337547,0.5488602526073113,6.0,0.169575407014921,-0.10504490530194845,0.6013796870564437,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,criticality_cheap,A,True,0.05235602094240838,0.0,0.5897435897435898,3.263137307950143,0.012840251618734953,0.06463135852073089,1.044753676,0.6000000000000014,-0.09760712448868054,0.3201812611715443,6.0,0.05313712799385995,-0.10867658659964284,0.3430368924237104,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,criticality_cheap,B,True,0.023036649214659685,0.0,0.10256410256410256,3.263137307950143,0.012840251618734953,0.06463135852073089,1.044753676,0.6000000000000014,-0.09760712448868054,0.3201812611715443,6.0,0.06051256509293859,-0.10092316141556931,0.34822430832701884,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,criticality_cheap,A,True,0.050261780104712044,0.0,0.5641025641025641,3.263137307950143,0.012840251618734953,0.06463135852073089,1.052070944,0.10000000000002274,-0.09760712448868054,0.3201812611715443,6.0,0.05313712799385995,-0.10867658659964284,0.3430368924237104,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,criticality_cheap,B,True,0.023036649214659685,0.0,0.10256410256410256,3.263137307950143,0.012840251618734953,0.06463135852073089,1.052070944,0.10000000000002274,-0.09760712448868054,0.3201812611715443,6.0,0.06051256509293859,-0.10092316141556931,0.34822430832701884,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,criticality_cheap,A_expected,True,0.10052356020942407,,,14.365146876484026,0.05652600029571222,0.28452341117089824,0.890064921,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,gate_ridge,C,True,0.10052356020942409,,,9.307305406867709,0.03662369432798003,0.18434522848536988,,,-0.21985305592999446,0.5950921384439061,6.0,0.15069353907980057,-0.2137634274514412,0.6050296809036297,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,gate_ridge,A,True,0.12041884816753927,0.0,0.65,4.767305406867707,0.0187590638059881,0.09442367753830151,0.120497224,0.6000000000000014,-0.3097581745741182,0.47455373788134736,6.0,0.07693463777950349,-0.2631424657752558,0.4747569778244893,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,gate_ridge,B,True,0.048167539267015703,0.0,0.125,-3.594384370904872,-0.014143689149832139,-0.07119220646071996,0.120497224,0.6000000000000014,-0.4786637838283216,0.08040515214007422,6.0,-0.09819819307763013,-0.40356897168472877,0.07740602364183671,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,gate_ridge,A,True,0.09842931937172775,0.0,0.35,9.307305406867705,0.036623694327980016,0.18434522848536983,0.115981961,0.10000000000002274,-0.21168515871842827,0.5936585174009607,6.0,0.17416337029527135,-0.17796151550944928,0.6044786922023713,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,gate_ridge,B,True,0.04607329842931937,0.0,0.10256410256410256,0.8456156290951284,0.0033274473077987295,0.016748693584430582,0.115981961,0.10000000000002274,-0.38366751950339467,0.2733961574369221,6.0,-0.0031082540387295183,-0.3192805874615097,0.291107381997533,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,gate_ridge,A_expected,True,0.10052356020942407,,,9.307305406867709,0.03662369432798003,0.18434522848536988,0.115247687,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,gate_gbm,C,True,0.10052356020942409,,,-0.8117448987926721,-0.0031941679945028225,-0.016077832659208834,,,-0.4878902971076514,0.35120958555353726,6.0,-0.028313864972219636,-0.4010493289637063,0.31124274166938076,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,gate_gbm,A,True,0.08272251308900523,0.0,0.275,8.222881794135176,0.03235655177934779,0.16286658241917334,0.170004059,0.6000000000000014,-0.20652717485430466,0.5610548134324326,6.0,0.15303823846064815,-0.182638397035907,0.5646877991805913,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,gate_gbm,B,True,0.05863874345549738,0.0,0.125,8.372881794135175,0.03294679287588937,0.16583755877205003,0.170004059,0.6000000000000014,-0.19877298517167608,0.5653756547903706,6.0,0.1639613514788635,-0.1615109283297704,0.563342090124198,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,gate_gbm,A,True,0.07853403141361257,0.0,0.35,-0.8117448987926721,-0.0031941679945028225,-0.016077832659208834,0.239832929,0.10000000000002274,-0.5454273678894347,0.3144796445773379,6.0,-0.04868063696086893,-0.4286524960945274,0.2753776891776905,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,gate_gbm,B,True,0.049214659685863874,0.0,0.125,-4.911744898792672,-0.0193274246333061,-0.09728451963783882,0.239832929,0.10000000000002274,-0.6456695901523479,0.15880549080791204,6.0,-0.13165391663793782,-0.5508851906203416,0.13262798467977763,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,gate_gbm,A_expected,True,0.10052356020942407,,,-0.8117448987926716,-0.0031941679945028207,-0.016077832659208823,0.198867896,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,R1_mlp_reg,C,True,0.10052356020942409,,,-1.1882227873826625,-0.004675586139736262,-0.023534545355087585,,,-0.43776310316982037,0.30195367213895646,6.0,-0.02802058813780108,-0.32761409578328043,0.25598129090619876,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,R1_mlp_reg,A,True,0.0774869109947644,0.0,0.2564102564102564,3.023522111410009,0.011897380043042447,0.0598854179693266,0.341782196,0.6000000000000014,-0.03956785686244882,0.17321657146041372,6.0,0.045970952254797685,-0.06563787983154366,0.22285546392170918,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,R1_mlp_reg,B,True,0.05340314136125655,0.0,0.10256410256410256,1.3192305690662076,0.005191093984512103,0.026129352164585232,0.341782196,0.6000000000000014,0.0,0.12040528827695193,6.0,0.022924650914901673,-0.05368767596319367,0.2000285533859345,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,R1_mlp_reg,A,True,0.07958115183246073,0.0,0.23076923076923078,-1.138222787382663,-0.004478839107555736,-0.022544219904128693,0.507014875,0.10000000000002274,-0.42259111811256195,0.1575604407985436,6.0,-0.048098183461876456,-0.2777266562905441,0.11615737641816311,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,R1_mlp_reg,B,True,0.04607329842931937,0.0,0.10256410256410256,3.8700481212374913,0.015228409644986077,0.07665214301794343,0.507014875,0.10000000000002274,0.0,0.19479071514648258,6.0,0.07258999715284216,-0.03200089304079082,0.24890400931252818,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,R1_mlp_reg,A_expected,True,0.10052356020942407,,,-1.188222787382663,-0.004675586139736264,-0.023534545355087595,0.420773044,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,R1_mlp_clf,C,True,0.10052356020942409,,,1.7971084520901603,0.007071515089105625,0.035594444764764865,,,-0.3942578366022591,0.32032768692433045,6.0,-0.0010762914858819766,-0.2780934668175969,0.27287089037180534,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,R1_mlp_clf,A,True,0.10366492146596859,0.0,0.25,11.993587029327816,0.04719405306438241,0.23755108966867824,0.032202523,0.011764705882352969,-0.00013165242081907482,0.43365310976614024,6.0,0.2086411825123278,0.0038904225605924467,0.42507900583146435,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,R1_mlp_clf,B,True,0.06701570680628273,0.0,0.125,2.3247557662370886,0.00914777595103432,0.04604529605136107,0.032202523,0.011764705882352969,-0.03577909967556678,0.19266626535196224,6.0,0.04607302462509961,-0.03628163692378138,0.220335523837662,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,R1_mlp_clf,A,True,0.12774869109947645,0.0,0.35,6.114356460261609,0.024059629745006177,0.12110405637664114,0.05595259,0.10000000000002274,-0.37096390646310556,0.3880087634550711,6.0,0.07580583213949903,-0.26006501406874694,0.33551870098821907,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V2,R1_mlp_clf,B,True,0.07329842931937172,0.0,0.10256410256410256,-2.3058039020323386,-0.009073201490302862,-0.04566992578205945,0.05595259,0.10000000000002274,-0.36644881166117826,0.13605544338324013,6.0,-0.06089992783024138,-0.28897696525907246,0.10569367042064824,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,TEST,R1_mlp_clf,A_expected,True,0.10052356020942407,,,1.7971084520901606,0.007071515089105626,0.035594444764764865,0.07998,1.0,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,official,R1_gbm_reg,C,True,0.10052356020942409,,,2.4211771965080215,0.009527188555922475,0.047955067979664354,,,-0.4591096953067214,0.30487822608444914,6.0,0.003230494393857867,-0.32935806060368983,0.25533909736501986,,,,,
nuScenes,oracle,brake,J,955.0,24.0,62.0,0.1,50.488453014699864,254.13343950277152,True,,V1,R1_gbm_reg,A,True,0.1099476439790576,0.0,0.35,2.722330177902601,0.0107122076623565,0.05391985722180845,0.181764059,0.6000000000000014,-0.40201829595464406,0.28234634554729426,6.0,0.005008579862579643,-0.26731722977311995,0.2384228634884747,,,,,
