geometry,quantity,value,baseline,paired_diff,lo,hi,n
oracle,spearman (all frames),-0.04061233874148983,0.0,-0.04061233874148983,-0.0983287905778736,0.021965168564018717,2655
oracle,spearman (both respond),-0.2438562300953663,0.0,-0.2438562300953663,-0.4554661344010812,0.030139225150222406,156
oracle,overlap@10,0.10526315789473684,0.10018832391713747,0.005074833977599363,-0.05101525865535745,0.057707355962655256,2655
oracle,overlap@20,0.1977401129943503,0.2,-0.002259887005649719,-0.045423842219004334,0.05955533141324863,2655
oracle,overlap@30,0.43844221105527637,0.2998116760828625,0.13863053497241384,0.04417693754177909,0.23750178516085718,2655
oracle,cross_eta brake->plan @10,0.0670266338461614,0.02713256043580966,0.039894073410351734,-0.13036041111404784,0.07147573179898317,2655
oracle,cross_eta brake->plan @20,0.12793675522191592,0.05786813583488855,0.07006861938702737,-0.12814471307494593,0.08140452697978492,2655
oracle,cross_eta brake->plan @30,0.13985391746106382,0.05931742756764476,0.08053648989341906,-0.14661331355999135,0.11037535490310799,2655
oracle,cross_eta plan->brake @10,-0.058012110135125604,0.070370019181704,-0.1283821293168296,-0.28746269122463236,0.03999564096745339,2655
oracle,cross_eta plan->brake @20,0.03456160024770408,0.11112150678863165,-0.07655990654092758,-0.3337119379443283,0.09469740850959903,2655
oracle,cross_eta plan->brake @30,0.024148690177472877,0.10203298736538823,-0.07788429718791534,-0.38462467806949646,0.06825881106750417,2655
