epoch,train_mse,val_ade,val_fde
0,20.610341556596033,1.7511757612228394,4.581018447875977
1,2.831490443962993,1.5371897220611572,4.003322601318359
2,2.7517202117226343,1.5533626079559326,4.013266086578369
3,2.728272872440743,1.6292591094970703,4.143977165222168
4,2.7070317401578934,1.5354852676391602,3.97308349609375
5,2.6713775777907083,1.6112560033798218,4.092136859893799
6,2.6528808670965107,1.5776867866516113,4.0615434646606445
7,2.6299398252458284,1.6049373149871826,4.0011773109436035
8,2.591382446839954,1.5755659341812134,4.004711627960205
9,2.5543452512585754,1.5913751125335693,4.045687675476074
10,2.5509891322616376,1.585216760635376,4.006518363952637
11,2.500350184738636,1.6196188926696777,4.089949607849121
12,2.460622011034778,1.6355220079421997,4.09757661819458
