quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,total_frames,std_err_captured
0.1,random,pooled,676.6477791441464,5.774849461895908,703.3057591408106,441.00440110880066,484.77206128237077,26.657979996664153,0.12198567204007353,0.10163111695903211,250,5749.4375,7.32,1300.0,0.020506138458972426,20.506138458972426,2500.0,0.10162825651302605
0.1,lowest_confidence,pooled,668.0453140017426,0.0,703.3057591408106,441.00440110880066,484.77206128237077,35.260445139068,0.1613501509589096,0.13442723058553513,250,5702.0,7.32,1300.0,0.027123419337744613,27.12341933774461,2500.0,0.12064128256513026
0.1,lowest_min_confidence,pooled,687.6037844296454,0.0,703.3057591408106,441.00440110880066,484.77206128237077,15.701974711165121,0.07185150329235007,0.059862346230204935,250,5785.0,7.32,1300.0,0.012078442085511632,12.078442085511632,2500.0,0.087374749498998
0.1,highest_uncertainty,pooled,698.9819603516796,0.0,703.3057591408106,441.00440110880066,484.77206128237077,4.323798789130933,0.01978550141924461,0.016484088460583874,250,5873.0,7.32,1300.0,0.003325999068562256,3.3259990685622562,2500.0,0.052104208416833664
0.1,highest_entropy,pooled,694.4772820054243,0.0,703.3057591408106,441.00440110880066,484.77206128237077,8.828477135386265,0.040398699248228136,0.033657763732618126,250,5841.0,7.32,1300.0,0.006791136257989435,6.791136257989435,2500.0,0.06492985971943888
0.1,scene_complexity,pooled,698.2213501122417,0.0,703.3057591408106,441.00440110880066,484.77206128237077,5.084409028568871,0.023266018368766236,0.0193838456145103,250,5844.0,7.32,1300.0,0.0039110838681299005,3.9110838681299005,2500.0,0.06372745490981964
0.1,criticality_heuristic,pooled,694.9666058710925,0.0,703.3057591408106,441.00440110880066,484.77206128237077,8.339153269718054,0.03815957608112197,0.03179226113156603,250,5856.0,7.32,1300.0,0.006414733284398503,6.414733284398503,2500.0,0.058917835671342685
0.1,riskweighted_uncertainty,pooled,695.8759853616401,0.0,703.3057591408106,441.00440110880066,484.77206128237077,7.429773779170432,0.033998297983239355,0.028325334778723264,250,5840.0,7.32,1300.0,0.005715210599361871,5.715210599361871,2500.0,0.06533066132264528
0.1,learned_uncertainty,pooled,640.3375512653452,0.0,703.3057591408106,441.00440110880066,484.77206128237077,62.968207875465396,0.28813957981095667,0.24006054847714928,250,5538.0,7.32,1300.0,0.04843708298112723,48.437082981127226,2500.0,0.18637274549098196
0.1,learned_criticality,pooled,573.6202419054765,0.0,703.3057591408106,441.00440110880066,484.77206128237077,129.68551723533403,0.5934348730022443,0.49441420436530065,250,5539.0,7.32,1300.0,0.09975809018102617,99.75809018102618,2500.0,0.18597194388777555
