quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,total_frames
0.1,random,pooled,676.6477791441464,5.774849461895908,703.3057591408106,441.00440110880066,484.77206128237077,26.657979996664153,0.12198567204007353,0.10163111695903211,250,5749.4375,7.32,1300.0,0.020506138458972426,20.506138458972426,2500.0
0.1,lowest_confidence,pooled,668.0453140017426,0.0,703.3057591408106,441.00440110880066,484.77206128237077,35.260445139068,0.1613501509589096,0.13442723058553513,250,5702.0,7.32,1300.0,0.027123419337744613,27.12341933774461,2500.0
0.1,lowest_min_confidence,pooled,687.6037844296454,0.0,703.3057591408106,441.00440110880066,484.77206128237077,15.701974711165121,0.07185150329235007,0.059862346230204935,250,5785.0,7.32,1300.0,0.012078442085511632,12.078442085511632,2500.0
0.1,highest_uncertainty,pooled,698.9819603516796,0.0,703.3057591408106,441.00440110880066,484.77206128237077,4.323798789130933,0.01978550141924461,0.016484088460583874,250,5873.0,7.32,1300.0,0.003325999068562256,3.3259990685622562,2500.0
0.1,highest_entropy,pooled,694.4772820054243,0.0,703.3057591408106,441.00440110880066,484.77206128237077,8.828477135386265,0.040398699248228136,0.033657763732618126,250,5841.0,7.32,1300.0,0.006791136257989435,6.791136257989435,2500.0
0.1,scene_complexity,pooled,698.2213501122417,0.0,703.3057591408106,441.00440110880066,484.77206128237077,5.084409028568871,0.023266018368766236,0.0193838456145103,250,5844.0,7.32,1300.0,0.0039110838681299005,3.9110838681299005,2500.0
0.1,criticality_heuristic,pooled,694.9666058710925,0.0,703.3057591408106,441.00440110880066,484.77206128237077,8.339153269718054,0.03815957608112197,0.03179226113156603,250,5856.0,7.32,1300.0,0.006414733284398503,6.414733284398503,2500.0
0.1,riskweighted_uncertainty,pooled,695.8759853616401,0.0,703.3057591408106,441.00440110880066,484.77206128237077,7.429773779170432,0.033998297983239355,0.028325334778723264,250,5840.0,7.32,1300.0,0.005715210599361871,5.715210599361871,2500.0
0.1,learned_uncertainty,pooled,640.3375512653452,0.0,703.3057591408106,441.00440110880066,484.77206128237077,62.968207875465396,0.28813957981095667,0.24006054847714928,250,5538.0,7.32,1300.0,0.04843708298112723,48.437082981127226,2500.0
0.1,learned_criticality,pooled,573.6202419054765,0.0,703.3057591408106,441.00440110880066,484.77206128237077,129.68551723533403,0.5934348730022443,0.49441420436530065,250,5539.0,7.32,1300.0,0.09975809018102617,99.75809018102618,2500.0
0.1,learned_unc_crit,pooled,575.1687968547086,0.0,703.3057591408106,441.00440110880066,484.77206128237077,128.13696228610195,0.586348757842855,0.4885104798827034,250,5531.0,7.32,1300.0,0.09856689406623227,98.56689406623227,2500.0
0.1,learned_all_visual,pooled,633.4327386452742,0.0,703.3057591408106,441.00440110880066,484.77206128237077,69.87302049553637,0.3197356800359376,0.2663845167244976,250,5547.0,7.32,1300.0,0.053748477304258746,53.74847730425875,2500.0
0.1,learned_all,pooled,571.0673222227181,0.0,703.3057591408106,441.00440110880066,484.77206128237077,132.23843691809248,0.6051169142973682,0.5041469777749102,250,5521.0,7.32,1300.0,0.10172187455237883,101.72187455237882,2500.0
0.1,oracle,pooled,484.77206128237077,0.0,703.3057591408106,441.00440110880066,484.77206128237077,218.53369785843978,1.0,0.8331397881354891,250,5373.0,7.32,1300.0,0.16810284450649213,168.10284450649212,2500.0
0.2,random,pooled,649.6385653069824,7.814784976610324,703.3057591408106,441.00440110880066,386.08150370290923,53.66719383382815,0.16917746015273996,0.2046012808949273,500,5497.203125,7.84,2600.0,0.02064122839762621,20.64122839762621,2500.0
0.2,lowest_confidence,pooled,635.895820434778,0.0,703.3057591408106,441.00440110880066,386.08150370290923,67.40993870603256,0.21249932043493594,0.2569942420877829,500,5422.0,7.84,2600.0,0.025926899502320216,25.926899502320218,2500.0
0.2,lowest_min_confidence,pooled,666.9271220246528,0.0,703.3057591408106,441.00440110880066,386.08150370290923,36.37863711615773,0.11467798093162862,0.1386902354951524,500,5578.0,7.84,2600.0,0.013991783506214514,13.991783506214514,2500.0
0.2,highest_uncertainty,pooled,678.8809423137299,0.0,703.3057591408106,441.00440110880066,386.08150370290923,24.42481682708069,0.07699542644796908,0.09311738608726537,500,5633.0,7.84,2600.0,0.009394160318107957,9.394160318107957,2500.0
0.2,highest_entropy,pooled,665.968255302803,0.0,703.3057591408106,441.00440110880066,386.08150370290923,37.33750383800759,0.11770065875469175,0.14234582740304044,500,5637.0,7.84,2600.0,0.01436057839923369,14.36057839923369,2500.0
0.2,scene_complexity,pooled,682.8782606537025,0.0,703.3057591408106,441.00440110880066,386.08150370290923,20.427498487108096,0.0643945036892266,0.0778779745570941,500,5636.0,7.84,2600.0,0.007856730187349267,7.856730187349267,2500.0
0.2,criticality_heuristic,pooled,654.9060316097713,0.0,703.3057591408106,441.00440110880066,386.08150370290923,48.399727531039275,0.15257259399735223,0.18451954612119403,500,5603.0,7.84,2600.0,0.01861527981963049,18.61527981963049,2500.0
0.2,riskweighted_uncertainty,pooled,649.4393825994046,0.0,703.3057591408106,441.00440110880066,386.08150370290923,53.866376541406,0.16980535257951196,0.20536064679784247,500,5564.0,7.84,2600.0,0.02071783713131,20.71783713131,2500.0
0.2,learned_uncertainty,pooled,601.7619408520749,0.0,703.3057591408106,441.00440110880066,386.08150370290923,101.54381828873568,0.32010105327085725,0.38712654425656384,500,5222.0,7.84,2600.0,0.0390553147264368,39.0553147264368,2500.0
0.2,learned_criticality,pooled,520.4350902870674,0.0,703.3057591408106,441.00440110880066,386.08150370290923,182.87066885374315,0.576471268255656,0.6971777432865085,500,5215.0,7.84,2600.0,0.07033487263605506,70.33487263605507,2500.0
0.2,learned_unc_crit,pooled,527.4154570535294,0.0,703.3057591408106,441.00440110880066,386.08150370290923,175.89030208728116,0.554466750483753,0.6705657317481994,500,5184.0,7.84,2600.0,0.06765011618741583,67.65011618741583,2500.0
0.2,learned_all_visual,pooled,600.0942829790716,0.0,703.3057591408106,441.00440110880066,386.08150370290923,103.21147616173891,0.32535808467503274,0.3934843377713032,500,5213.0,7.84,2600.0,0.03969672160066881,39.69672160066881,2500.0
0.2,learned_all,pooled,521.7618613107138,0.0,703.3057591408106,441.00440110880066,386.08150370290923,181.54389783009674,0.5722888294890651,0.6921195497887666,500,5195.0,7.84,2600.0,0.06982457608849875,69.82457608849874,2500.0
0.2,oracle,pooled,386.08150370290923,0.0,703.3057591408106,441.00440110880066,386.08150370290923,317.2242554379013,1.0,1.209388536216381,500,4897.0,7.84,2600.0,0.12200932901457744,122.00932901457743,2500.0
0.3,random,pooled,622.7515269079026,8.101371847297532,703.3057591408106,441.00440110880066,334.65579231307606,80.5542322329079,0.21851143220243363,0.30710566211814083,751,5243.28125,8.36,3905.2000000000003,0.020627428104298857,20.627428104298858,2503.3333333333335
0.3,lowest_confidence,pooled,611.6229602594228,0.0,703.3057591408106,441.00440110880066,334.65579231307606,91.68279888138773,0.24869878511132473,0.34953230730204315,751,5187.0,8.36,3905.2000000000003,0.023477107160039874,23.477107160039875,2503.3333333333335
0.3,lowest_min_confidence,pooled,632.4818146548627,0.0,703.3057591408106,441.00440110880066,334.65579231307606,70.82394448594789,0.19211705102103815,0.27000982769332404,751,5325.0,8.36,3905.2000000000003,0.01813580469270406,18.13580469270406,2503.3333333333335
0.3,highest_uncertainty,pooled,645.33946344963,0.0,703.3057591408106,441.00440110880066,334.65579231307606,57.96629569118056,0.157239389413176,0.22099121455599424,751,5374.0,8.36,3905.2000000000003,0.014843361592538297,14.843361592538297,2503.3333333333335
0.3,highest_entropy,pooled,630.0243406912969,0.0,703.3057591408106,441.00440110880066,334.65579231307606,73.2814184495137,0.19878319556110846,0.27937872300520383,751,5360.0,8.36,3905.2000000000003,0.01876508717850909,18.765087178509088,2503.3333333333335
0.3,scene_complexity,pooled,649.3773564179186,0.0,703.3057591408106,441.00440110880066,334.65579231307606,53.928402722891974,0.14628619985226268,0.20559711595664265,751,5349.0,8.36,3905.2000000000003,0.013809383059226665,13.809383059226665,2503.3333333333335
0.3,criticality_heuristic,pooled,608.6680854234564,0.0,703.3057591408106,441.00440110880066,334.65579231307606,94.63767371735412,0.256714179392771,0.36079749806634637,751,5355.0,8.36,3905.2000000000003,0.024233758505929046,24.233758505929046,2503.3333333333335
