baseline,candidate,model,delta_value_task,p_value_task,nbetter_value_task,n_value_task,delta_value_visual,p_value_visual,nbetter_value_visual,n_value_visual,specificity
B_uncertainty,E_unc_crit,linear,0.05103541295189254,0.00390625,8,8,0.0030327783124362573,0.52734375,4,8,0.04800263463945628
F_all_visual,G_all,linear,0.10906726107496328,0.00390625,8,8,0.011646283547474018,0.3203125,4,8,0.09742097752748927
C_complexity,D_criticality,linear,0.24200486048892977,0.00390625,8,8,0.13804357983447854,0.00390625,8,8,0.10396128065445123
B_uncertainty,E_unc_crit,gbm,0.071100587063852,0.07421875,5,8,0.005910055908236345,0.19140625,4,8,0.06519053115561566
F_all_visual,G_all,gbm,0.15732089970947494,0.01171875,7,8,0.019563471356392206,0.23046875,6,8,0.13775742835308274
C_complexity,D_criticality,gbm,0.30882272905153973,0.00390625,8,8,0.16079640230685477,0.01171875,7,8,0.14802632674468497
