epoch,train_mse,val_ade,val_fde
0,22.132998795220345,2.3598029613494873,5.708547115325928
1,6.061809250802705,2.1420862674713135,5.029533863067627
2,5.763971160758626,2.1916003227233887,5.023658752441406
3,5.600359505776203,2.193333387374878,5.047849655151367
4,5.452505883393866,2.0205328464508057,4.739262580871582
5,5.14526425753579,1.9913734197616577,4.710566520690918
6,4.962668606729219,1.9852110147476196,4.657907485961914
7,4.828382220232125,2.2650392055511475,4.982935905456543
8,4.7216846495866776,2.0324652194976807,4.683868408203125
9,4.62599803552483,2.008035659790039,4.628352165222168
10,4.540871734872009,2.008471965789795,4.616888046264648
11,4.391828057440844,2.029024839401245,4.681952476501465
12,4.2660628602360235,2.214231014251709,4.933619976043701
13,3.9993296696832688,2.0945515632629395,4.801242351531982
14,3.8537094538862053,2.508713722229004,5.327815532684326
