dist_m,n,mean_crit,recall_cheap,recall_full,recovered,risk_recovered,share_of_risk_recovered,crit_mass
"[0, 10)",8252,0.3626452853630183,0.8087736306349976,0.8477944740668929,0.055501696558410085,105.22354774229467,0.09003494976821366,0.39363568240331215
"[10, 20)",12984,0.19644864858272937,0.6233826247689463,0.7843499691928527,0.17983672211953172,380.4333006651564,0.32551927634516886,0.3355140851736396
"[20, 30)",10395,0.11982542307269435,0.42674362674362676,0.7037999037999038,0.2915824915824916,345.0682221836583,0.2952590053986992,0.16384253895251932
"[30, 45)",8678,0.06734962616139142,0.30260428670200507,0.6528001843742798,0.36367826688177,222.19628713204466,0.19012314239406725,0.07687905561446991
"[45, 60)",4013,0.03752209096203941,0.04535260403688014,0.5898330426115126,0.5507101918764017,97.06405570885283,0.08305324775257457,0.01980657561428799
"[60, 1000)",2080,0.024617152686039843,0.0057692307692307696,0.36682692307692305,0.36346153846153845,18.711276166671944,0.01601037834127625,0.006735259899486157
