dbin,"[0.0, 0.05)","[0.05, 0.15)","[0.15, 0.3)","[0.3, 0.5)","[0.5, 1.01)"
"[0, 10)",0.1364247311827957,0.07402031930333818,0.0380952380952381,0.026985936906119345,0.03888160768894714
"[10, 20)",0.19840961986035688,0.21534653465346534,0.1829313543599258,0.16439867598381758,0.09234608985024959
"[20, 30)",0.30788854003139715,0.2882953652788688,0.2630624092888244,0.3032069970845481,0.24066390041493776
"[30, 45)",0.3636008592071861,0.32694710537276134,0.46532156368221944,0.3919308357348703,0.25
"[45, 60)",0.5223636957231472,0.6136012364760433,0.6680161943319838,0.8461538461538461,1.0
"[60, 1000)",0.3588516746411483,0.5051546391752577,0.273972602739726,0.41379310344827586,
