crit,n,mean_crit,recall_cheap,recall_full,recovered,risk_recovered,share_of_risk_recovered,crit_mass
"[0.0, 0.05)",21837,0.006817955289630549,0.30901680633786693,0.6150112194898567,0.3174428721894033,46.20183507851038,0.039476506062676955,0.019583951620451255
"[0.05, 0.15)",6319,0.09585681851158205,0.4339294192119006,0.7243234689033075,0.3022630163000475,170.90765619096493,0.1460296352799774,0.07967545836577748
"[0.15, 0.3)",7719,0.22116639527551038,0.5845316750874465,0.7999740899080192,0.2352636351859049,402.15541577893595,0.3436160204926517,0.2245605095478367
"[0.3, 0.5)",6812,0.38837530395507225,0.7376688197298884,0.8715502055196712,0.15002935995302408,385.2878466906521,0.32920376409104457,0.34800016513822873
"[0.5, 1.01)",3782,0.6596860031042722,0.8008989952406135,0.8476996298254892,0.07086197778952935,165.81006928168728,0.14167407407364943,0.3281799153277059
