height_px,n,mean_crit,recall_cheap,recall_full,recovered,risk_recovered,share_of_risk_recovered,crit_mass
"[10, 20)",2368,0.02608717812870902,0.0046452702702702705,0.45988175675675674,0.4552364864864865,29.848529195038953,0.025503654600031445,0.008125722865904723
"[20, 30)",5541,0.04663287623872838,0.11550261685616314,0.6598086987908319,0.5504421584551525,159.89434551115227,0.1366194673703484,0.03398862201928682
"[30, 40)",5753,0.07720266629280467,0.39249087432643837,0.6591343646792978,0.2829827915869981,127.43852051478898,0.10888804566251119,0.0584224651417832
"[40, 60)",9495,0.11378936154162071,0.4182201158504476,0.6932069510268563,0.29067930489731436,287.7695734078635,0.245880651493286,0.142118244513326
"[60, 90)",8532,0.15693096870933737,0.4807782466010314,0.7076887013595874,0.2416783872480075,295.61124953133213,0.25258086100885224,0.17612163436450412
"[90, 140)",7033,0.22176829835316605,0.6782311957912698,0.7882838049196644,0.13010095265178445,165.56826162547173,0.14146746493376627,0.2051602814167613
"[140, 10000)",7747,0.3690403725099612,0.8137343487801729,0.855040660900994,0.058732412546792304,104.23234323510293,0.08905985493120444,0.37606302967843397
