task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,oracle,random,0.1,0.03903415072764122,-0.09455494694330681,0.13853064171533125,0.009770176244813533
longitudinal,oracle,random,0.2,0.07801386092022654,-0.09430574937082091,0.22982956478773595,0.01952672612367717
longitudinal,oracle,random,0.3,0.1261713305733973,-0.0955235449552192,0.28440474822185147,0.031580452341487715
longitudinal,oracle,random,0.5,0.23916244984292098,-0.11127140448645062,0.3878195724808,0.05986192199775612
longitudinal,oracle,uncertainty,0.1,-0.08281643005465159,-0.21581322097901898,0.05823479939299198,-0.020728800358585715
longitudinal,oracle,uncertainty,0.2,-0.06139402703520307,-0.3096051460707314,0.10916843599111939,-0.015366812222919026
longitudinal,oracle,uncertainty,0.3,-0.042321690641405306,-0.2967298214866869,0.18432219124970414,-0.010593041447990328
longitudinal,oracle,uncertainty,0.5,0.08753635421634852,-0.2827279405032844,0.36896258952593725,0.02191018870858965
longitudinal,oracle,criticality,0.1,0.07023153469200108,-0.09278686165620946,0.26156970355124176,0.017578824160216357
longitudinal,oracle,criticality,0.2,0.16347685963890135,-0.10277035564857603,0.4261193150718447,0.04091795775870916
longitudinal,oracle,criticality,0.3,0.11543259034251237,-0.15796906955872547,0.41064631385417055,0.02889256538231996
longitudinal,oracle,criticality,0.5,0.34584990779916996,0.06261601405529245,0.593216177680805,0.08656559680335561
longitudinal,oracle,perception_oracle_dE,0.1,0.06902162779404218,-0.010004031742211152,0.15700989641397714,0.017275986685530292
longitudinal,oracle,perception_oracle_dE,0.2,0.14707907743087376,-0.01756155750798776,0.2361700056509239,0.03681362298492738
longitudinal,oracle,perception_oracle_dE,0.3,0.16321792285937722,-0.03360095709840925,0.5013410782025246,0.040853146358305774
longitudinal,oracle,perception_oracle_dE,0.5,0.43672222411441064,0.014038167900786262,0.6584998067501524,0.10931077069913711
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.1,0.3693321917369718,0.16589394190967327,0.5930114835222097,0.09244316935012079
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.2,0.5624858054996026,0.24737706958514427,0.7482685805355819,0.14078916416760764
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.3,0.5321819539890585,0.218483293635669,0.7065410002165785,0.13320416578451189
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.5,0.441629851785104,0.007689137779541616,0.6789847292417539,0.11053914089274412
longitudinal,oracle,PKL_gain,0.1,0.19472267825050307,-0.06829721158508835,0.37699426083226045,0.04873872877737123
longitudinal,oracle,PKL_gain,0.2,0.109253397702624,-0.19304168110203707,0.3440453929386131,0.027345924812025368
longitudinal,oracle,PKL_gain,0.3,0.18077175778591517,-0.1870075823208319,0.4071856243121046,0.045246839004555464
longitudinal,oracle,PKL_gain,0.5,0.2504198138122162,-0.16526247509673844,0.526122283172737,0.06267961952624733
longitudinal,oracle,TIP_gain,0.1,0.3141765000314333,-0.03370376480512586,0.48370357012006315,0.07246488525952488
longitudinal,oracle,TIP_gain,0.2,0.3141765000314333,-0.26375502589021765,0.4784318404114383,0.07246488525952488
longitudinal,oracle,TIP_gain,0.3,0.22239633289745517,-0.3766607530298662,0.44124491425611073,0.05129576764634144
longitudinal,oracle,TIP_gain,0.5,0.4655606526877249,-0.26325583754176296,0.7634766139222763,0.10738167646208464
longitudinal,oracle,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.2502981635999828
longitudinal,oracle,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.2502981635999828
longitudinal,oracle,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.2502981635999828
longitudinal,oracle,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.2502981635999828
longitudinal,oracle,uncertainty [scene-z],0.1,-0.016682669006624434,-0.12450850378731243,0.07713834274753448,-0.004175641416304446
longitudinal,oracle,uncertainty [scene-z],0.2,-0.05763234085383834,-0.24828536783865646,0.08350776338378027,-0.014425269079684002
longitudinal,oracle,uncertainty [scene-z],0.3,0.054371929668717046,-0.1222270736309132,0.2863576532141943,0.0136091941474673
longitudinal,oracle,uncertainty [scene-z],0.5,0.18785595614284017,-0.05176007282302914,0.4122369046716432,0.04702000084387181
