variant,seed,best_epoch,n_train,n_val,val_ade,val_fde,cv_val_ade,cv_val_fde,ade_improvement_vs_cv,viability_pass,n_val_test_locations,val_ade_test_locations,val_fde_test_locations,cv_val_ade_test_locations,ade_improvement_vs_cv_test_locations,viability_pass_test_locations
D-GT,0,6,6337,3113,1.9844028949737549,4.666415214538574,2.0020792400009784,4.758704921765051,0.008828993715161215,False,2286,1.9077720642089844,4.493405818939209,1.9029477857494264,-0.0025351607099708406,False
D-GT,1,5,6337,3113,1.9660251140594482,4.678735733032227,2.0020792400009784,4.758704921765051,0.018008341139141182,False,2286,1.9020737409591675,4.531468868255615,1.9029477857494264,0.0004593109683851404,False
D-GT,2,8,6337,3113,2.0608527660369873,4.7778401374816895,2.0020792400009784,4.758704921765051,-0.0293562436799355,False,2286,1.9962612390518188,4.622971534729004,1.9029477857494264,-0.04903626573529096,False
D-AUG,0,6,6337,3113,1.9852110147476196,4.657907485961914,2.0020792400009784,4.758704921765051,0.008425353460710383,False,2286,1.9115031957626343,4.487911701202393,1.9029477857494264,-0.004495872181715432,False
D-AUG,1,5,6337,3113,1.9679189920425415,4.640162467956543,2.0020792400009784,4.758704921765051,0.01706238558191142,False,2286,1.8892650604248047,4.481590747833252,1.9029477857494264,0.007190278906803016,False
D-AUG,2,8,6337,3113,1.998584508895874,4.705872058868408,2.0020792400009784,4.758704921765051,0.0017455508429838895,False,2286,1.9357472658157349,4.5519185066223145,1.9029477857494264,-0.01723614295249365,False
