dataset,detector,cheap_mode,full_mode,task,geometry,perception_metric,best_perception_metric,n_sequences,n_frames,action_change_rate,improved_same_action_rate,harmful_full_rate,corr_deltaE_deltaJ,eta_random_20,eta_uncertainty_20,eta_criticality_20,eta_perception_oracle_20,eta_best_perception_metric_20,eta_multimetric_perception_oracle_20,eta_decision_oracle_20,top20_cross_task_overlap,best_trivial_heuristic,best_trivial_eta20,eta_perception_oracle_10,eta_perception_oracle_30,eta_perception_oracle_50
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.272977022977023,0.66996699669967,0.15384615384615385,0.04116641398007735,0.17008121951921104,0.024153154001849492,0.020832505692494604,0.1605714093116254,0.2737974881634721,0.6995179109185727,1.0,0.28214731585518105,ego speed,0.7873982389547349,0.05102981590820972,0.24925231275612947,0.5102127227087276
KITTI,YOLOv8s,cheap_320,full_640,lateral,mono,E1_fn_only,E1_fn_only,21,8008,0.09552947052947053,0.8813714704803813,0.07617382617382618,-0.034026157580016786,-0.42977170239494394,-0.1428134167740966,-0.20883006244574884,-0.2939133560522683,-0.2939133560522683,-0.2678153303678098,1.0,0.28214731585518105,uncertainty,-0.1428134167740966,-0.05337302292123671,-0.5406397565086997,-1.1757639602315533
KITTI,YOLOv8s,cheap_320,full_640,longitudinal,oracle,E1_fn_only,E6_risk_weighted,21,8008,0.1717032967032967,0.7799779977997799,0.07867132867132867,0.14066368863586826,0.19475653077244595,0.016257256443351745,0.020494076058021424,0.20404119868585283,0.3305345880471484,0.8322815747840613,1.0,0.5031210986267166,ego speed,0.8642133312258609,0.07662409261321411,0.3122581599866185,0.608434856074405
KITTI,YOLOv8s,cheap_320,full_640,lateral,oracle,E1_fn_only,E2_fn_fp,21,8008,0.0501998001998002,0.935093509350935,0.03821178821178821,-0.03962627165416571,-0.3214033802467506,0.05992080251050255,0.09124419776852477,-0.2780143654301607,-0.152560549883078,-0.11170642804779823,1.0,0.5031210986267166,speed + detections,0.23576665492108612,-0.030763042748600297,-0.3758972741331342,-0.800362923473543
KITTI,YOLOv8s,cheap_384,full_640,longitudinal,mono,E1_fn_only,E4_localization,21,8008,0.22627372627372627,0.7159199237368923,0.14735264735264736,0.03196780570207961,0.08541657046293426,0.059367390087529406,0.03599688322535845,0.13219386211779113,0.19916157825591863,0.37199970225840895,1.0,0.32147315855181025,ego speed,0.5076465204605207,0.08142299188222284,0.2193648195693849,0.4365887933561447
KITTI,YOLOv8s,cheap_384,full_640,lateral,mono,E1_fn_only,E3_class_aware,21,8008,0.056693306693306696,0.9294566253574833,0.04020979020979021,-0.028373567780061858,-0.14988185273095236,0.013416594586959214,-0.13858287450557252,-0.09634675745059447,-0.09502218044438564,-0.06992899931583253,1.0,0.32147315855181025,n detections,0.02033581925648902,-0.05349269720934726,-0.20323408884454477,-0.5096680731970876
KITTI,YOLOv8s,cheap_512,full_640,longitudinal,mono,E1_fn_only,E6_risk_weighted,21,8008,0.19068431568431568,0.753721820501914,0.13274225774225773,0.0394466554330195,0.05812442742239395,0.06667705295799309,0.03826249426484943,0.13295891260461884,0.19537917616447492,0.16733131233220877,1.0,0.3882646691635456,ego speed,0.21380444734962872,0.03927608053125732,0.21875957814790895,0.2604053149793774
KITTI,YOLOv8s,cheap_512,full_640,lateral,mono,E1_fn_only,E5_fp_heavy,21,8008,0.032092907092907096,0.9608677158655891,0.024350649350649352,-0.01469787237310294,-0.018679953757645636,0.15521791472886282,-0.014350443621663479,-0.10911333203868476,-0.016658077952044822,-0.050651150809288635,1.0,0.3882646691635456,uncertainty,0.15521791472886282,-0.03385501326642516,-0.1762384492671687,-0.11458237756917401
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,longitudinal,mono,E1_fn_only,E5_combined,21,8008,0.30182317682317683,0.6637819125919515,0.20292207792207792,0.0031609766987067993,0.057705807587367285,0.036583948459022145,0.035454567066406366,0.06603553026123804,0.11490339088693598,0.17774140206385317,1.0,0.22908863920099876,speed x empty,0.23320360503187007,0.01771374474695136,0.12354299087321963,0.21920074149711716
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,lateral,mono,E1_fn_only,E5_fp_heavy,21,8008,0.07017982017982018,0.9244915620943315,0.045704295704295704,-0.00018345553792474689,-0.025991990447246937,-0.13689113489192772,-0.2502907951784903,-0.08255899524578975,-0.05061268872840813,-0.019150801612230598,1.0,0.22908863920099876,ego speed,0.17677140443760658,-0.04877909866831966,-0.036566296375521196,-0.0928925858044322
