dataset,detector,cheap_mode,full_mode,geometry,n_frames,n_seqs,JB_all_cheap,JB_all_full,JB_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJB_nonzero,frames_dJB_pos,frames_dJB_neg,plan_change_rate,collision_rate_cheap,collision_rate_full
KITTI,YOLOv8s,cheap_320,full_640,mono,8008,21,13155.398508624783,7573.638352996736,7203.458234629219,0.45243329345693517,0.4242942661120149,1355,878,477,0.12687312687312688,0.08653846153846154,0.04008491508491509
KITTI,YOLOv8s,cheap_320,full_640,oracle,8008,21,8389.132340347838,2603.660236102238,2580.42509803961,0.692408583706689,0.6896389125273613,779,705,74,0.07255244755244755,0.04895104895104895,0.0016233766233766235
KITTI,YOLOv8s,cheap_384,full_640,mono,8008,21,9215.820477225005,7573.638352996736,7135.3881109855165,0.22574575659116264,0.17819163559951956,920,502,418,0.0802947052947053,0.05357142857142857,0.04008491508491509
KITTI,YOLOv8s,cheap_512,full_640,mono,8008,21,7948.97291508155,7573.638352996736,7284.39550613455,0.08360544387893194,0.047217994839646955,624,370,254,0.048826173826173824,0.04308191808191808,0.04008491508491509
KITTI,RT-DETR-l,rt_cheap_320,rt_full_640,mono,8008,21,8331.361253642426,7262.551711735448,6767.619041274145,0.18769348306492187,0.12828750421063545,1166,699,467,0.1003996003996004,0.0462037962037962,0.037462537462537464
KITTI,RT-DETR-l,rt_mid_480,rt_full_640,mono,8008,21,7542.097549105504,7262.551711735448,6923.593874727691,0.08200685158880869,0.0370647337229429,730,428,302,0.057817182817182816,0.03971028971028971,0.037462537462537464
