geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
oracle,brake,random,True,0.1,0.039834481225277496,338.0,0,3376,,,,,,,,,
oracle,brake,unc_sum (eta-table uncertainty),True,0.1,-0.08281643005465138,338.0,0,3376,-0.2154272783839095,0.06258559099196506,-0.11204089285100238,-0.23416177908411617,0.026252246196879585,0.945,,,
oracle,brake,feat_ent_mean (gate uncertainty),True,0.1,0.061049955801629203,338.0,0,3376,-0.017713301297336646,0.1549454163231885,0.02435667795944315,-0.05020438728203827,0.12262798594141835,0.305,0.13639757081044554,-0.01337932312969213,0.3158942226765169
oracle,brake,crit_sum (GT geometry),False,0.1,0.07023153469200132,338.0,0,3376,-0.07769379820097976,0.2833610290187773,0.0526426617650614,-0.0974693649152636,0.2316450927626501,0.3025,0.1646835546160638,-0.02642875165868838,0.3586290596821184
oracle,brake,dE_E6_risk_weighted (needs FULL),False,0.1,0.369332191736972,338.0,0,3376,0.15515375723295413,0.6201260192518179,0.33825054007856986,0.12561537184932386,0.5727906582078136,0.0,0.45029143292957224,0.2420264772844351,0.6815459747029385
oracle,brake,linear (OOF by scene),True,0.1,0.10282446994842528,338.0,0,3376,-0.04268023167059087,0.2431817937443224,0.06473459080061604,-0.06994380496044066,0.21928078219424332,0.1675,0.17677548365161844,-0.0005072165750710498,0.375177577430645
oracle,brake,linear (OOF by scene) [escalate only pred>0],True,0.1,0.10282446994842528,338.0,0,3376,-0.04268023167059087,0.2431817937443224,0.06473459080061604,-0.06994380496044066,0.21928078219424332,0.1675,0.17677548365161844,-0.0005072165750710498,0.375177577430645
oracle,brake,gbm (OOF by scene),True,0.1,0.16568977270180868,338.0,0,3376,-0.013857711477720481,0.31048812600307524,0.12073884974785429,-0.014821708306091377,0.257480908052359,0.065,0.23277974259885667,0.0603599581630992,0.40145415515634586
oracle,brake,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.16568977270180868,338.0,0,3376,-0.013857711477720481,0.31048812600307524,0.12073884974785429,-0.014821708306091377,0.257480908052359,0.065,0.23277974259885667,0.0603599581630992,0.40145415515634586
oracle,brake,random,True,0.2,0.07955110895580565,675.0,0,3376,,,,,,,,,
oracle,brake,unc_sum (eta-table uncertainty),True,0.2,-0.06139402703520235,675.0,0,3376,-0.302514252729907,0.1357212497882949,-0.1571500725304279,-0.3469874225878859,0.037117846222700694,0.9425,,,
oracle,brake,feat_ent_mean (gate uncertainty),True,0.2,0.018076897757210136,675.0,0,3376,-0.11919580975796273,0.18241219573415415,-0.035787254315063945,-0.16816555549470968,0.1130399332761084,0.705,0.12136281821536395,-0.11974778435277715,0.38421555026842547
oracle,brake,crit_sum (GT geometry),False,0.2,0.16347685963890207,675.0,0,3376,-0.11982268602839667,0.4225466939449928,0.07506114272528187,-0.1762475360220179,0.32811652394072405,0.255,0.23221121525570976,-0.02160062336287659,0.4976344289219238
oracle,brake,dE_E6_risk_weighted (needs FULL),False,0.2,0.5624858054996024,675.0,0,3376,0.29506356051552307,0.7238314651641014,0.46713474527072735,0.26463747845208185,0.6278972508502013,0.0,0.6242848178011552,0.3577003939978402,0.8938959012840463
oracle,brake,linear (OOF by scene),True,0.2,0.1647544373476347,675.0,0,3376,0.0007920144292382929,0.3123518405323858,0.08303651790430189,-0.066871770118946,0.22081875215525884,0.15,0.24018659043472979,-0.01818344113692871,0.48851540253338904
oracle,brake,linear (OOF by scene) [escalate only pred>0],True,0.2,0.1647544373476347,675.0,0,3376,0.0007920144292382929,0.3123518405323858,0.08303651790430189,-0.066871770118946,0.22081875215525884,0.15,0.24018659043472979,-0.01818344113692871,0.48851540253338904
oracle,brake,gbm (OOF by scene),True,0.2,0.17487062650213805,675.0,0,3376,-0.03174770600295705,0.35096735481206465,0.10293765399896782,-0.06274749841514783,0.25519891161178976,0.095,0.2600877265293957,0.06794152165876619,0.43670381149602405
oracle,brake,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.17487062650213805,675.0,0,3376,-0.03174770600295705,0.35096735481206465,0.10293765399896782,-0.06274749841514783,0.25519891161178976,0.095,0.2600877265293957,0.06794152165876619,0.43670381149602405
oracle,brake,random,True,0.3,0.11938559018108315,1013.0,0,3376,,,,,,,,,
oracle,brake,unc_sum (eta-table uncertainty),True,0.3,-0.04232169064140509,1013.0,0,3376,-0.33178145658098795,0.19156605897791557,-0.15451908859393135,-0.35641466927947235,0.040173518711808985,0.9325,,,
oracle,brake,feat_ent_mean (gate uncertainty),True,0.3,0.09286235801027289,1013.0,0,3376,-0.08491007036963538,0.24895210925173725,-0.035323188444915714,-0.17504797836414757,0.12393485656347906,0.7125,0.11919590014901565,-0.09856452565589645,0.33313839056932787
oracle,brake,crit_sum (GT geometry),False,0.3,0.11543259034251262,1013.0,0,3376,-0.17709775600559627,0.3978469313562601,0.013723884838701215,-0.23256559065580043,0.24133834956642577,0.43,0.16824297343263261,-0.022095956415345088,0.4014006035728135
oracle,brake,dE_E6_risk_weighted (needs FULL),False,0.3,0.5321819539890584,1013.0,0,3376,0.2552727509029674,0.7231497077792763,0.4170035247551806,0.21787537183227657,0.5637550811568903,0.0,0.571522613349112,0.290538247931039,0.8327372372412153
oracle,brake,linear (OOF by scene),True,0.3,0.19818036281030088,1013.0,0,3376,0.03350277261216374,0.4126827792000832,0.10590500535402388,-0.06563859069419485,0.2834713080131897,0.1025,0.26042409394795524,-0.03602231304644137,0.5654057910444896
oracle,brake,linear (OOF by scene) [escalate only pred>0],True,0.3,0.19818036281030088,1013.0,0,3376,0.03350277261216374,0.4126827792000832,0.10590500535402388,-0.06563859069419485,0.2834713080131897,0.1025,0.26042409394795524,-0.03602231304644137,0.5654057910444896
oracle,brake,gbm (OOF by scene),True,0.3,0.23847220406377265,1013.0,0,3376,-0.002236071053598185,0.43258162750696594,0.11712052675741454,-0.0383923827446494,0.2699111804557298,0.0625,0.2716396153513459,0.0944820437036473,0.4592390797858714
oracle,brake,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.23847220406377265,1013.0,0,3376,-0.002236071053598185,0.43258162750696594,0.11712052675741454,-0.0383923827446494,0.2699111804557298,0.0625,0.2716396153513459,0.0944820437036473,0.4592390797858714
oracle,plan,random,True,0.1,0.019813589867935504,266.0,0,2655,,,,,,,,,
oracle,plan,unc_sum (eta-table uncertainty),True,0.1,0.045106256206595884,266.0,0,2655,-0.06758678090958124,0.19156014774886884,0.029880713616912122,-0.0715385527969373,0.17502992399952727,0.3375,,,
oracle,plan,feat_ent_mean (gate uncertainty),True,0.1,0.10284271172831394,266.0,0,2655,0.01429204943263965,0.19318600012472031,0.09120074265806863,0.01576851248047177,0.16875868986999965,0.0075,0.0613200290411565,-0.12881038188033406,0.20745348895397966
oracle,plan,crit_sum (GT geometry),False,0.1,0.010394456772049384,266.0,0,2655,-0.13626502869202314,0.1436603020284921,-0.0011602425540556671,-0.13231696957467134,0.11811975378272248,0.4925,-0.03104095617096779,-0.22862828402694313,0.13274458041385848
oracle,plan,dE_E6_risk_weighted (needs FULL),False,0.1,0.14124978684554412,266.0,0,2655,-0.08087567261888744,0.32726832873816236,0.11913403536608967,-0.07846287097203597,0.297305459664377,0.1125,0.08925332174917758,-0.1271630731185331,0.2919141511848958
oracle,plan,linear (OOF by scene),True,0.1,-0.02046686620953366,266.0,0,2655,-0.15491781686635037,0.0834934405112685,-0.05140317989728671,-0.15912202591275282,0.06522653148678144,0.825,-0.08128389351419883,-0.26157434510692956,0.09848447403228666
oracle,plan,linear (OOF by scene) [escalate only pred>0],True,0.1,-0.02046686620953366,266.0,0,2655,-0.15491781686635037,0.0834934405112685,-0.05140317989728671,-0.15912202591275282,0.06522653148678144,0.825,-0.08128389351419883,-0.26157434510692956,0.09848447403228666
