model,n,ade_gt,ade_cheap,ade_full,dJD_mean,frac_nonzero,harmful
planner_d_aug_s0,2655,2.1071343470026362,2.1113028126177023,2.111402218598493,-9.940350382647832e-05,0.6331450094161959,0.5002974419988102
planner_d_aug_s1,2655,2.1787748173898307,2.1888983228775896,2.1884577542689265,0.00044056857688775866,0.6331450094161959,0.5062462819750149
planner_d_aug_s2,2655,2.0686249123615816,2.0678387463822974,2.067676151018832,0.00016259719210007546,0.6331450094161959,0.5133848899464605
planner_d_gt_s0,2655,2.138128493755179,2.1394531653386064,2.1400942106455743,-0.0006410441314235347,0.6331450094161959,0.5246876859012493
planner_d_gt_s1,2655,2.20526183525499,2.2099264776595104,2.210296734351789,-0.0003702560093387947,0.6331450094161959,0.4925639500297442
planner_d_gt_s2,2655,2.133562346400377,2.139235150698305,2.1394561202293785,-0.00022096795857649704,0.6331450094161959,0.5401546698393813
