cell,t_cheap,t_full,affected,harm_rate,rho
KITTI mono RT-DETR 480->640 q_brake,0.35,0.35,2809,0.4574581701673193,0.9568398286144135
KITTI mono RT-DETR 480->640 q_brake,0.35,0.45,2681,0.3886609474076837,0.8250991163099286
KITTI mono RT-DETR 480->640 q_brake,0.35,0.55,2639,0.34785903751420993,0.7696573128603249
KITTI mono RT-DETR 480->640 q_brake,0.45,0.15,3778,0.6908417151932239,1.9793806585445513
KITTI mono RT-DETR 480->640 q_brake,0.45,0.25,3098,0.6123305358295674,1.3791302157287832
KITTI mono RT-DETR 480->640 q_brake,0.45,0.35,2684,0.529806259314456,1.1259937404422458
KITTI mono RT-DETR 480->640 q_brake,0.45,0.45,2416,0.4598509933774834,0.9716720058327629
KITTI mono RT-DETR 480->640 q_brake,0.45,0.55,2283,0.4117389399912396,0.8917223999198968
KITTI mono RT-DETR 480->640 q_brake,0.55,0.15,3902,0.7019477191184008,1.7459791760710734
KITTI mono RT-DETR 480->640 q_brake,0.55,0.25,3182,0.6360779384035198,1.251601686047632
KITTI mono RT-DETR 480->640 q_brake,0.55,0.35,2674,0.5665669409124906,1.0271535412817328
KITTI mono RT-DETR 480->640 q_brake,0.55,0.45,2369,0.5002110595187843,0.8771885790851712
KITTI mono RT-DETR 480->640 q_brake,0.55,0.55,2179,0.45112436897659475,0.7922372390066529
KITTI oracle Y8 320->640 q_traj,0.15,0.15,731,0.17236662106703146,0.017067566035738824
KITTI oracle Y8 320->640 q_traj,0.15,0.25,685,0.10364963503649635,0.007692735926315849
KITTI oracle Y8 320->640 q_traj,0.15,0.35,675,0.0874074074074074,0.002890421360449381
KITTI oracle Y8 320->640 q_traj,0.15,0.45,676,0.09911242603550297,0.024568600847690986
KITTI oracle Y8 320->640 q_traj,0.15,0.55,709,0.15655853314527504,0.17547778462267805
KITTI oracle Y8 320->640 q_traj,0.25,0.15,829,0.15440289505428226,0.005937599839110494
KITTI oracle Y8 320->640 q_traj,0.25,0.25,779,0.09499358151476252,0.004000053212079966
KITTI oracle Y8 320->640 q_traj,0.25,0.35,762,0.07874015748031496,0.001271795517763862
KITTI oracle Y8 320->640 q_traj,0.25,0.45,757,0.08190224570673713,0.0070148689662921735
KITTI oracle Y8 320->640 q_traj,0.25,0.55,756,0.11772486772486772,0.057367203112720914
KITTI oracle Y8 320->640 q_traj,0.35,0.15,980,0.14387755102040817,0.0022738734025130624
KITTI oracle Y8 320->640 q_traj,0.35,0.25,924,0.08982683982683982,0.0009327163627345703
KITTI oracle Y8 320->640 q_traj,0.35,0.35,899,0.07119021134593993,0.0006866390498263256
KITTI oracle Y8 320->640 q_traj,0.35,0.45,893,0.07502799552071669,0.004447344271783822
KITTI oracle Y8 320->640 q_traj,0.35,0.55,875,0.09371428571428571,0.024086820432314544
KITTI oracle Y8 320->640 q_traj,0.45,0.15,1188,0.12542087542087543,0.0016696819156741933
KITTI oracle Y8 320->640 q_traj,0.45,0.25,1135,0.0828193832599119,0.0007401559348974288
KITTI oracle Y8 320->640 q_traj,0.45,0.35,1109,0.06672678088367899,0.0005616200855754692
KITTI oracle Y8 320->640 q_traj,0.45,0.45,1103,0.06890299184043518,0.0032555156270624905
KITTI oracle Y8 320->640 q_traj,0.45,0.55,1073,0.08108108108108109,0.011483306458410017
KITTI oracle Y8 320->640 q_traj,0.55,0.15,1413,0.11818825194621373,0.001408687407967663
KITTI oracle Y8 320->640 q_traj,0.55,0.25,1351,0.07994078460399703,0.0006571847901468002
KITTI oracle Y8 320->640 q_traj,0.55,0.35,1327,0.06631499623210249,0.0005196831194544061
KITTI oracle Y8 320->640 q_traj,0.55,0.45,1314,0.0654490106544901,0.0005090659263379433
KITTI oracle Y8 320->640 q_traj,0.55,0.55,1280,0.075,0.004522073915727692
KITTI oracle Y8 320->640 q_brake,0.15,0.15,2129,0.39173320807891027,0.1843583817983832
KITTI oracle Y8 320->640 q_brake,0.15,0.25,1860,0.3225806451612903,0.13148547859103993
KITTI oracle Y8 320->640 q_brake,0.15,0.35,1651,0.257419745608722,0.1031093063410017
KITTI oracle Y8 320->640 q_brake,0.15,0.45,1505,0.21262458471760798,0.09389536218040932
KITTI oracle Y8 320->640 q_brake,0.15,0.55,1418,0.19322990126939352,0.12052643202153723
KITTI oracle Y8 320->640 q_brake,0.25,0.15,2157,0.40797403801576265,0.13150720787781217
KITTI oracle Y8 320->640 q_brake,0.25,0.25,1846,0.3412784398699892,0.09109588298414505
KITTI oracle Y8 320->640 q_brake,0.25,0.35,1598,0.27284105131414266,0.06474420027174571
KITTI oracle Y8 320->640 q_brake,0.25,0.45,1412,0.22025495750708216,0.05003790683713989
KITTI oracle Y8 320->640 q_brake,0.25,0.55,1262,0.1901743264659271,0.052938594589241376
KITTI oracle Y8 320->640 q_brake,0.35,0.15,2370,0.3886075949367089,0.10374831162212227
KITTI oracle Y8 320->640 q_brake,0.35,0.25,2034,0.32448377581120946,0.07086048095864986
KITTI oracle Y8 320->640 q_brake,0.35,0.35,1764,0.2602040816326531,0.04945793117526017
KITTI oracle Y8 320->640 q_brake,0.35,0.45,1544,0.20595854922279794,0.03628536327621042
KITTI oracle Y8 320->640 q_brake,0.35,0.55,1355,0.16752767527675277,0.02892385532535949
KITTI oracle Y8 320->640 q_brake,0.45,0.15,2589,0.35843955195056004,0.08349987519538006
KITTI oracle Y8 320->640 q_brake,0.45,0.25,2241,0.2962962962962963,0.05630242381988999
KITTI oracle Y8 320->640 q_brake,0.45,0.35,1965,0.23511450381679388,0.03884813863001847
KITTI oracle Y8 320->640 q_brake,0.45,0.45,1745,0.1839541547277937,0.02820089732676165
KITTI oracle Y8 320->640 q_brake,0.45,0.55,1547,0.14544279250161604,0.019153391485062225
KITTI oracle Y8 320->640 q_brake,0.55,0.15,2861,0.32191541419084235,0.06828600469501557
KITTI oracle Y8 320->640 q_brake,0.55,0.25,2524,0.26188589540412044,0.04587455909051315
KITTI oracle Y8 320->640 q_brake,0.55,0.35,2255,0.2057649667405765,0.031133996632110972
KITTI oracle Y8 320->640 q_brake,0.55,0.45,2028,0.15877712031558186,0.02113226094332841
KITTI oracle Y8 320->640 q_brake,0.55,0.55,1825,0.12273972602739726,0.012539436263325689
