epoch,train_mse,val_ade,val_fde
0,21.426806991750542,2.19352650642395,5.401126384735107
1,5.944646759918242,2.107301950454712,4.921021938323975
2,5.810497115958821,2.0505928993225098,4.871942520141602
3,5.726923257112503,2.146735429763794,4.955644130706787
4,5.49634040621194,2.2389039993286133,5.108311653137207
5,5.286198709047202,1.9679189920425415,4.640162467956543
6,5.031803595748815,2.063430070877075,4.820244789123535
7,4.842051014304161,2.122962713241577,4.892892360687256
8,4.6587602654189775,2.0066628456115723,4.720046043395996
9,4.586755471699165,2.1882150173187256,4.959966659545898
10,4.452354223890738,2.072591781616211,4.781696319580078
11,4.337673126748114,2.1825804710388184,4.9722185134887695
12,4.132709263174823,2.169477701187134,4.861693382263184
13,4.058348698146416,2.1154088973999023,4.870336055755615
