cell,g_variant,fit_mean_G,fit_share_G_pos,fit_share_G_neg,fit_share_V_nonzero,spearman_G_V_fit,spearman_G_V_fit_affected,label_G_itself_eta20_test
nuScenes|oracle|brake|J,primary,-0.08596644038255599,0.4270962412226353,0.4952498967368856,0.09624122263527468,0.09446253765190309,0.27845826909487326,-0.0015728098279675093
nuScenes|oracle|brake|J,dE_exact,0.8467575382073523,0.47790169351507644,0.03139198678232136,0.09624122263527468,0.05748124155471079,0.14697118486309788,0.14519911919558093
nuScenes|oracle|brake|J,dE_E6_risk_weighted,0.045077919049942246,0.3948781495249897,0.04543577034283354,0.09624122263527468,0.07066821943889774,0.25255784725660185,0.6722671878964611
nuScenes|oracle|plan_ade|JC_ade,primary,-0.06665388647184814,0.43562795585916975,0.49395691014188126,0.48239621650026276,0.043444715547195964,0.06799842159088693,-0.07875323658054138
nuScenes|oracle|plan_ade|JC_ade,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.48239621650026276,-0.012642390171593047,0.015633411688916063,0.12946009691516053
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.48239621650026276,0.003801485828680911,0.031326036542414434,-0.07126991128476734
nuScenes|oracle|plan_fde|JC_fde,primary,-0.06665388647184814,0.43562795585916975,0.49395691014188126,0.2049395691014188,0.04476351019723345,0.12824260283464545,0.19255122056341667
nuScenes|oracle|plan_fde|JC_fde,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.2049395691014188,-0.02186267549155724,-0.004017147278534673,0.14679589227819112
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.2049395691014188,-0.009331276949568704,0.00046275328210429396,-0.04858658947228308
nuScenes|mono|brake|J,primary,-0.08596644038255599,0.4270962412226353,0.4952498967368856,0.15117719950433706,0.0668456546879138,0.12041186434774637,0.027227585757464177
nuScenes|mono|brake|J,dE_exact,0.8467575382073523,0.47790169351507644,0.03139198678232136,0.15117719950433706,-0.0017804391485772989,-0.08547655022023061,0.13155929576869002
nuScenes|mono|brake|J,dE_E6_risk_weighted,0.045077919049942246,0.3948781495249897,0.04543577034283354,0.15117719950433706,0.014148494648969452,-0.010990799778673066,0.27363445975405176
nuScenes|mono|plan_ade|JC_ade,primary,-0.06665388647184814,0.43562795585916975,0.49395691014188126,0.5827640567524961,-0.01019563021721698,-0.005932858024819856,0.03843196716777247
nuScenes|mono|plan_ade|JC_ade,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.5827640567524961,-0.018141080953993933,-0.013192218305697046,0.3997800273333999
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.5827640567524961,-0.014465011658439737,-0.003323246655026171,0.4389104846377987
nuScenes|mono|plan_fde|JC_fde,primary,-0.06665388647184814,0.43562795585916975,0.49395691014188126,0.2522333158171308,0.021149349008694564,0.03665148224853846,-0.009300158902823756
nuScenes|mono|plan_fde|JC_fde,dE_exact,0.8638991066736732,0.4844981607987388,0.03310562270099842,0.2522333158171308,0.005989439329267237,0.03486431613346878,0.395609009608625
nuScenes|mono|plan_fde|JC_fde,dE_E6_risk_weighted,0.04914937862769195,0.4009458749343142,0.048870204939569103,0.2522333158171308,0.03048873182624173,0.05843398992278936,0.2826179413845511
KITTI|oracle|brake|J,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.21422182468694095,0.2219985520060427,0.4246764842958604,0.3177247685843243
KITTI|oracle|brake|J,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.21422182468694095,0.13420448414368322,0.1597177664624823,0.2885897374390119
KITTI|oracle|brake|J,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.21422182468694095,0.2910688145022786,0.35706163488288706,0.19272548651645413
KITTI|oracle|traj|JB,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.11829159212880143,0.10295627648624937,0.24342499564295794,0.6566206499031414
KITTI|oracle|traj|JB,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.11829159212880143,0.04269135614546451,0.18829933619088185,0.5348717065375634
KITTI|oracle|traj|JB,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.11829159212880143,0.23792504987265617,0.1399659930419101,0.06402221362383269
KITTI|mono|brake|J,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.33944543828264756,0.14714973716670965,0.2186000579301988,0.16123298825563953
KITTI|mono|brake|J,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.33944543828264756,0.05683975636732631,0.032272054514335,0.09821556824662328
KITTI|mono|brake|J,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.33944543828264756,0.16243566442272844,0.20972792305137244,0.059007808592376344
KITTI|mono|traj|JB,primary,0.8170751790519166,0.7383720930232558,0.2524597495527728,0.19610912343470482,0.05814420623799651,0.12540977407985146,0.3735756470052998
KITTI|mono|traj|JB,dE_exact,1.5869856887298748,0.7441860465116279,0.016323792486583184,0.19610912343470482,0.01245753548004473,0.036072234663260525,0.27215163302978584
KITTI|mono|traj|JB,dE_E6_risk_weighted,0.10142201435356141,0.6417710196779964,0.031082289803220035,0.19610912343470482,0.10788041877003357,0.20940420695177173,0.12967260371067765
nuPlan|n/a|pdm_closed|safety,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.017045454545454544,0.056306530662969166,0.31924001675964003,0.30643462649907954
nuPlan|n/a|pdm_closed|safety,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.017045454545454544,0.009655924549950446,0.07571035175337726,0.1050912415439238
nuPlan|n/a|pdm_closed|safety,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.017045454545454544,0.01167852767113285,0.12565172054223148,0.1401138701699555
nuPlan|n/a|pdm_closed|scalar_J,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.05303030303030303,0.01659644033883347,-0.002663820014410743,0.2975026963620865
nuPlan|n/a|pdm_closed|scalar_J,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.05303030303030303,0.028685163579078476,-0.011259725543505893,0.09612985209310487
nuPlan|n/a|pdm_closed|scalar_J,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.05303030303030303,0.06764305000555183,0.0584081492980288,0.13626454985734726
nuPlan|n/a|idm|safety,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.000946969696969697,0.04617409427817966,,
nuPlan|n/a|idm|safety,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.000946969696969697,0.03685856795917243,,
nuPlan|n/a|idm|safety,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.000946969696969697,0.03121559260172471,,
nuPlan|n/a|idm|scalar_J,primary,1.0454545454545454,0.5123106060606061,0.22916666666666666,0.01893939393939394,0.0057444835335202105,-0.04095718931454466,0.0
nuPlan|n/a|idm|scalar_J,dE_exact,1.8295454545454546,0.7035984848484849,0.026515151515151516,0.01893939393939394,0.0013072159351128784,-0.05702811889977613,0.0005074176139456607
nuPlan|n/a|idm|scalar_J,dE_E6_risk_weighted,0.02827358535830859,0.5113636363636364,0.09090909090909091,0.01893939393939394,0.009957779332466969,-0.1436630413743843,0.062421159677945155
