cell,arch,identical,max_abs_score_diff,eta20_official,eta20_refit
KITTI|mono|traj|JB,gate_ridge,True,0.0,0.12530580770444688,0.12530580770444688
KITTI|mono|traj|JB,gate_gbm,True,0.0,0.25894652526682105,0.25894652526682105
KITTI|mono|traj|JB,R1_mlp_reg,True,0.0,0.21338535030208974,0.21338535030208974
KITTI|mono|traj|JB,R1_mlp_clf,True,0.0,0.3367546667377614,0.3367546667377614
KITTI|mono|traj|JB,R1_gbm_reg,False,1.1102230246251565e-16,0.2826693245661487,0.2826693245661487
KITTI|mono|traj|JB,R1_gbm_clf,True,0.0,0.1148179589379224,0.1148179589379224
nuPlan|n/a|pdm_closed|safety,gate_ridge,True,0.0,0.9921085889806255,0.9921085889806255
nuPlan|n/a|pdm_closed|safety,gate_gbm,True,0.0,0.9921085889806255,0.9921085889806255
nuPlan|n/a|pdm_closed|safety,R1_mlp_reg,True,0.0,0.1434503857702971,0.1434503857702971
nuPlan|n/a|pdm_closed|safety,R1_mlp_clf,True,0.0,-0.06672041948463618,-0.06672041948463618
nuPlan|n/a|pdm_closed|safety,R1_gbm_reg,True,0.0,0.07183403692296864,0.07183403692296864
nuPlan|n/a|pdm_closed|safety,R1_gbm_clf,True,0.0,0.06897925171245935,0.06897925171245935
nuPlan|n/a|pdm_closed|scalar_J,gate_ridge,True,0.0,0.9881693559402288,0.9881693559402288
nuPlan|n/a|pdm_closed|scalar_J,gate_gbm,True,0.0,0.9893573565223529,0.9893573565223529
nuPlan|n/a|pdm_closed|scalar_J,R1_mlp_reg,True,0.0,0.14051048827290885,0.14051048827290885
nuPlan|n/a|pdm_closed|scalar_J,R1_mlp_clf,True,0.0,0.2775625847881968,0.2775625847881968
nuPlan|n/a|pdm_closed|scalar_J,R1_gbm_reg,True,0.0,0.06457820953947828,0.06457820953947828
nuPlan|n/a|pdm_closed|scalar_J,R1_gbm_clf,True,0.0,0.07226030595436043,0.07226030595436043
nuPlan|n/a|idm|safety,gate_ridge,True,0.0,,
nuPlan|n/a|idm|safety,gate_gbm,True,0.0,,
nuPlan|n/a|idm|safety,R1_mlp_reg,True,0.0,,
nuPlan|n/a|idm|safety,R1_mlp_clf,True,0.0,,
nuPlan|n/a|idm|safety,R1_gbm_reg,True,0.0,,
nuPlan|n/a|idm|safety,R1_gbm_clf,True,0.0,,
nuPlan|n/a|idm|scalar_J,gate_ridge,True,0.0,0.056206833299475525,0.056206833299475525
nuPlan|n/a|idm|scalar_J,gate_gbm,True,0.0,0.0,0.0
nuPlan|n/a|idm|scalar_J,R1_mlp_reg,True,0.0,0.030775317321001854,0.030775317321001854
nuPlan|n/a|idm|scalar_J,R1_mlp_clf,True,0.0,0.937578840322055,0.937578840322055
nuPlan|n/a|idm|scalar_J,R1_gbm_reg,True,0.0,0.0,0.0
nuPlan|n/a|idm|scalar_J,R1_gbm_clf,True,0.0,0.05920998476215632,0.05920998476215632
