arm,model,target,seq,score
B_uncertainty,gbm,value_task,0003,0.2537711880988667
B_uncertainty,gbm,value_task,0004,0.20363501655624383
B_uncertainty,gbm,value_task,0005,0.2941617918233406
B_uncertainty,gbm,value_task,0006,0.21887534634210395
B_uncertainty,gbm,value_task,0007,0.29305228423256646
B_uncertainty,gbm,value_task,0008,0.15965734701194473
B_uncertainty,gbm,value_task,0009,0.3293698396083282
B_uncertainty,gbm,value_task,0010,0.5003878119579906
B_uncertainty,gbm,value_task,0011,0.15562593085028176
B_uncertainty,gbm,value_task,0012,0.44935686616859144
B_uncertainty,gbm,value_task,0013,0.23032624309316185
B_uncertainty,gbm,value_task,0014,0.21065329312708211
B_uncertainty,gbm,value_task,0015,0.42250607794191525
B_uncertainty,gbm,value_task,0016,0.13903253016425643
B_uncertainty,gbm,value_task,0017,0.27733203673907686
B_uncertainty,gbm,value_task,0018,0.06292650945403162
B_uncertainty,gbm,value_task,0019,0.29694197793659793
B_uncertainty,gbm,value_task,0020,0.36110658618039043
C_complexity,linear,value_task,0000,-0.07959958818952236
C_complexity,linear,value_task,0001,0.3008345691053029
C_complexity,linear,value_task,0002,-0.3592638381440717
C_complexity,linear,value_task,0003,-0.02386998062965408
C_complexity,linear,value_task,0004,-0.32165553490385057
C_complexity,linear,value_task,0005,-0.19806489210900383
C_complexity,linear,value_task,0006,-0.07269941898548361
C_complexity,linear,value_task,0007,0.29547786091610073
C_complexity,linear,value_task,0008,-0.057690965140452376
C_complexity,linear,value_task,0009,0.13889579669210778
C_complexity,linear,value_task,0010,-0.4054635224076887
C_complexity,linear,value_task,0011,0.15702854836490387
C_complexity,linear,value_task,0012,-0.20727466049996857
C_complexity,linear,value_task,0013,0.2560864913276371
C_complexity,linear,value_task,0014,-0.3603142920377488
C_complexity,linear,value_task,0015,0.441909774747563
C_complexity,linear,value_task,0016,0.23013225965112086
C_complexity,linear,value_task,0017,0.552312344583225
C_complexity,linear,value_task,0018,-0.0924517494236459
C_complexity,linear,value_task,0019,0.128771872008965
C_complexity,linear,value_task,0020,0.10912994060348843
C_complexity,tree,value_task,0000,-0.16406106329995748
C_complexity,tree,value_task,0001,0.11303539699451794
C_complexity,tree,value_task,0002,0.11328581489193702
C_complexity,tree,value_task,0003,-0.27924125650914694
C_complexity,tree,value_task,0004,-0.10897922683560893
C_complexity,tree,value_task,0005,0.036228542321345036
C_complexity,tree,value_task,0006,-0.03375757383225022
C_complexity,tree,value_task,0007,0.0832786434129962
C_complexity,tree,value_task,0008,-0.007455235067909685
C_complexity,tree,value_task,0009,0.3667970746172179
C_complexity,tree,value_task,0010,-0.1323485905034501
C_complexity,tree,value_task,0011,0.0550948849740321
C_complexity,tree,value_task,0012,0.20137550370778673
C_complexity,tree,value_task,0013,0.10727053923186092
C_complexity,tree,value_task,0014,-0.3080615127292851
C_complexity,tree,value_task,0015,0.4850699515129955
C_complexity,tree,value_task,0016,0.301650493577003
C_complexity,tree,value_task,0017,-0.07462485122029185
C_complexity,tree,value_task,0018,-0.08994055717302755
C_complexity,tree,value_task,0019,0.07922853452103372
C_complexity,tree,value_task,0020,0.1109711422295721
C_complexity,gbm,value_task,0000,-0.12962750442146226
C_complexity,gbm,value_task,0001,-0.07618148421107243
C_complexity,gbm,value_task,0002,-0.1308862366901376
C_complexity,gbm,value_task,0003,-0.05157756819085615
C_complexity,gbm,value_task,0004,-0.11836038892932797
C_complexity,gbm,value_task,0005,0.1567485251341522
C_complexity,gbm,value_task,0006,0.005759189966134519
C_complexity,gbm,value_task,0007,0.06579428650844035
C_complexity,gbm,value_task,0008,-0.07009113088996885
C_complexity,gbm,value_task,0009,0.3486781058451641
C_complexity,gbm,value_task,0010,-0.34169422768633023
C_complexity,gbm,value_task,0011,0.23970888717179809
C_complexity,gbm,value_task,0012,-0.0014383148153112872
C_complexity,gbm,value_task,0013,0.2301452143096678
C_complexity,gbm,value_task,0014,-0.03932001554992877
C_complexity,gbm,value_task,0015,0.382613883321934
C_complexity,gbm,value_task,0016,0.23124573800068035
C_complexity,gbm,value_task,0017,0.33913089727917695
C_complexity,gbm,value_task,0018,-0.31176305400967136
C_complexity,gbm,value_task,0019,0.06754388403016728
C_complexity,gbm,value_task,0020,0.05503015205758463
D_criticality,linear,value_task,0000,0.24935621283548642
D_criticality,linear,value_task,0001,0.3944863522900114
D_criticality,linear,value_task,0002,0.4259210784924067
D_criticality,linear,value_task,0003,0.3254935161624897
D_criticality,linear,value_task,0004,0.5345199043486566
D_criticality,linear,value_task,0005,0.3938955747970679
D_criticality,linear,value_task,0006,0.22889805942492952
D_criticality,linear,value_task,0007,0.4282259403082223
D_criticality,linear,value_task,0008,0.3420285286868745
D_criticality,linear,value_task,0009,0.3123411987169582
D_criticality,linear,value_task,0010,0.5052299533656247
D_criticality,linear,value_task,0011,0.04870381758071228
D_criticality,linear,value_task,0012,-0.1689537000194692
D_criticality,linear,value_task,0013,0.3344827380697572
D_criticality,linear,value_task,0014,0.3519789988236637
D_criticality,linear,value_task,0015,0.4763235001117992
D_criticality,linear,value_task,0016,0.22685182019548902
D_criticality,linear,value_task,0017,-0.04899506853127648
D_criticality,linear,value_task,0018,0.1854676524523308
D_criticality,linear,value_task,0019,0.3582439284931475
D_criticality,linear,value_task,0020,0.4211600192023082
D_criticality,tree,value_task,0000,0.19668573001752157
D_criticality,tree,value_task,0001,0.39125849412973784
D_criticality,tree,value_task,0002,0.3922826329016943
D_criticality,tree,value_task,0003,0.1591691435997333
D_criticality,tree,value_task,0004,0.4706475645586947
D_criticality,tree,value_task,0005,0.5251239601473094
D_criticality,tree,value_task,0006,0.3035384523388446
D_criticality,tree,value_task,0007,0.4797353193945685
D_criticality,tree,value_task,0008,0.37699392168845736
D_criticality,tree,value_task,0009,0.5297506990756724
D_criticality,tree,value_task,0010,0.5429386779840637
D_criticality,tree,value_task,0011,0.23822210626999382
D_criticality,tree,value_task,0012,0.0571427601362342
D_criticality,tree,value_task,0013,0.3581846152080088
D_criticality,tree,value_task,0014,0.30820784922905636
D_criticality,tree,value_task,0015,0.45401668592099464
D_criticality,tree,value_task,0016,0.2854279415727736
D_criticality,tree,value_task,0017,-0.07754252099620206
D_criticality,tree,value_task,0018,0.2836443609610826
D_criticality,tree,value_task,0019,0.2509417131192693
D_criticality,tree,value_task,0020,0.44807143976096564
D_criticality,gbm,value_task,0000,0.20652407450796084
D_criticality,gbm,value_task,0001,0.4097799037217308
D_criticality,gbm,value_task,0002,0.34051356157023077
D_criticality,gbm,value_task,0003,0.1608271182366805
D_criticality,gbm,value_task,0004,0.4319030201251883
D_criticality,gbm,value_task,0005,0.5083078090241687
D_criticality,gbm,value_task,0006,0.23341222526566757
D_criticality,gbm,value_task,0007,0.4819373396948809
D_criticality,gbm,value_task,0008,0.27999518706174203
D_criticality,gbm,value_task,0009,0.3595536932131229
D_criticality,gbm,value_task,0010,0.5267890651768288
D_criticality,gbm,value_task,0011,0.15915404650313483
D_criticality,gbm,value_task,0012,-0.08557094737437719
D_criticality,gbm,value_task,0013,0.3527441296189783
D_criticality,gbm,value_task,0014,0.25380106057072527
D_criticality,gbm,value_task,0015,0.5096341120097566
D_criticality,gbm,value_task,0016,0.20775766665812653
D_criticality,gbm,value_task,0017,-0.23724539595880986
D_criticality,gbm,value_task,0018,0.3494225892001793
D_criticality,gbm,value_task,0019,0.3042904474262534
D_criticality,gbm,value_task,0020,0.4767847704687451
E_unc_crit,linear,value_task,0000,0.2489400874316335
E_unc_crit,linear,value_task,0001,0.405645333776129
E_unc_crit,linear,value_task,0002,0.5248806666484241
E_unc_crit,linear,value_task,0003,0.2912687862027556
E_unc_crit,linear,value_task,0004,0.42979278878501864
E_unc_crit,linear,value_task,0005,0.3909922110467814
E_unc_crit,linear,value_task,0006,0.10988752500787047
E_unc_crit,linear,value_task,0007,0.41074646526067005
E_unc_crit,linear,value_task,0008,0.40241302849417254
E_unc_crit,linear,value_task,0009,0.35236057172611407
E_unc_crit,linear,value_task,0010,0.5695277934994757
E_unc_crit,linear,value_task,0011,0.06914419168569431
E_unc_crit,linear,value_task,0012,0.3524390117855039
E_unc_crit,linear,value_task,0013,0.29617793974023165
E_unc_crit,linear,value_task,0014,0.21552903503143772
E_unc_crit,linear,value_task,0015,0.5346704935098108
E_unc_crit,linear,value_task,0016,0.3412235432318539
E_unc_crit,linear,value_task,0017,-0.06852688639171776
E_unc_crit,linear,value_task,0018,0.2868139129042777
E_unc_crit,linear,value_task,0019,0.3580373214353385
E_unc_crit,linear,value_task,0020,0.4297025698923124
E_unc_crit,tree,value_task,0000,0.21160936484392762
E_unc_crit,tree,value_task,0001,0.39169684676830374
E_unc_crit,tree,value_task,0002,0.3922826329016943
E_unc_crit,tree,value_task,0003,0.1591691435997333
E_unc_crit,tree,value_task,0004,0.4706475645586947
E_unc_crit,tree,value_task,0005,0.5251239601473094
E_unc_crit,tree,value_task,0006,0.3035384523388446
E_unc_crit,tree,value_task,0007,0.45991570046583197
E_unc_crit,tree,value_task,0008,0.37699392168845736
E_unc_crit,tree,value_task,0009,0.5296037140848009
E_unc_crit,tree,value_task,0010,0.5429386779840637
E_unc_crit,tree,value_task,0011,0.23814088260750246
E_unc_crit,tree,value_task,0012,0.0571427601362342
E_unc_crit,tree,value_task,0013,0.3585478696487876
E_unc_crit,tree,value_task,0014,0.30820784922905636
E_unc_crit,tree,value_task,0015,0.4559628443275289
E_unc_crit,tree,value_task,0016,0.3323920553143406
E_unc_crit,tree,value_task,0017,0.024471407413869814
E_unc_crit,tree,value_task,0018,0.2836443609610826
E_unc_crit,tree,value_task,0019,0.2509417131192693
E_unc_crit,tree,value_task,0020,0.4479839286478649
