arm,model,target,task,n,spearman,r2,pearson,per_seq_median,per_seq_iqr,per_seq_n,per_seq_pos,auc,ap,base_rate
A_conf,linear,value_task,reg,8008,0.11290440499673354,-0.020764696175336717,0.01771578638824682,0.14778606506109168,0.2856879989888681,21,15,,,
A_conf,tree,value_task,reg,8008,0.10529664285860564,-0.033928873296414475,0.022714448600465214,0.15471036619765316,0.19225782757492652,21,16,,,
A_conf,gbm,value_task,reg,8008,0.08147316398769014,-0.04765903514391834,0.01579853707186572,0.11710955389391024,0.1965445724645656,21,16,,,
B_uncertainty,linear,value_task,reg,8008,0.29602342287995065,0.057590811154412114,0.2483107347919726,0.28598813961364283,0.17488810540760072,21,21,,,
B_uncertainty,tree,value_task,reg,8008,0.258625376084989,0.030137871392095117,0.19364301690858124,0.24304095522931618,0.2054720791819586,21,20,,,
B_uncertainty,gbm,value_task,reg,8008,0.2634453822231782,0.04559346655747387,0.2369682635132428,0.2537711880988667,0.1272239898199736,21,21,,,
C_complexity,linear,value_task,reg,8008,0.15311432510798703,0.025920490952601405,0.20147459850361998,-0.02386998062965408,0.4281971517601247,21,10,,,
C_complexity,tree,value_task,reg,8008,0.032299188801400855,-0.043542249194610694,0.04732268130976739,0.0550948849740321,0.2029759541675455,21,12,,,
C_complexity,gbm,value_task,reg,8008,0.09935920043757096,-0.02852765453783279,0.13134809250054247,0.005759189966134519,0.30632669852074024,21,11,,,
D_criticality,linear,value_task,reg,8008,0.32769358505578305,0.15676243205862084,0.3961055870488674,0.3420285286868745,0.1922619597773787,21,19,,,
D_criticality,tree,value_task,reg,8008,0.3685722024399157,0.08883776042160219,0.30494692180983507,0.3581846152080088,0.20307497280172532,21,20,,,
D_criticality,gbm,value_task,reg,8008,0.34817113845416936,0.11067798707818666,0.3392115411432025,0.34051356157023077,0.22414535346706174,21,19,,,
E_unc_crit,linear,value_task,reg,8008,0.34757122491830067,0.15711685304963674,0.39663117442889745,0.3524390117855039,0.12393255235639233,21,20,,,
E_unc_crit,tree,value_task,reg,8008,0.3686967448728607,0.0919797542157853,0.3094888646911463,0.3585478696487876,0.2050211312082596,21,21,,,
E_unc_crit,gbm,value_task,reg,8008,0.34477590190364155,0.13304432738549166,0.36775085324882856,0.3270782447889345,0.20942843994595614,21,20,,,
F_all_visual,linear,value_task,reg,8008,0.2579668513083021,0.06726963240560757,0.27804121874628773,0.25630331004572227,0.17582811249007513,21,20,,,
F_all_visual,tree,value_task,reg,8008,0.219707205390868,-0.00616317249440379,0.15390503877066092,0.2372937074123385,0.20742112338064028,21,19,,,
F_all_visual,gbm,value_task,reg,8008,0.21001130597901743,0.03777418834500845,0.233072369325264,0.20720211927322582,0.1286899202569637,21,19,,,
G_all,linear,value_task,reg,8008,0.3068985458409698,0.15758110178612228,0.39876951633841945,0.34170258871900516,0.16080858373248239,21,20,,,
G_all,tree,value_task,reg,8008,0.35720522151397005,0.14894811987287793,0.38671475251097254,0.36520832155330823,0.18527227047997136,21,21,,,
G_all,gbm,value_task,reg,8008,0.3091709969774107,0.10880960412732155,0.33674381031964257,0.2928440516587015,0.17697137680136563,21,20,,,
H_visual_plus_stakes,linear,value_task,reg,8008,0.25873838800818716,0.08389159734126961,0.3009397327462588,0.24787067619457742,0.12445620664218571,21,20,,,
H_visual_plus_stakes,tree,value_task,reg,8008,0.1902089297186955,0.0004332332737455591,0.17247360148776858,0.2125817477841211,0.23030707175800086,21,19,,,
H_visual_plus_stakes,gbm,value_task,reg,8008,0.21278614545657037,0.048532391580963896,0.24859573387761424,0.1829821477227256,0.1866676473465414,21,20,,,
A_conf,linear,value_task_pos,clf,8008,0.10326606967428555,,,0.6272038227055529,0.2830789668172845,21,14,0.5607836309752494,0.6616136858825578,0.5975274725274725
A_conf,tree,value_task_pos,clf,8008,0.0939787530890907,,,0.5763133263133263,0.16630869904434065,21,14,0.5552854661716614,0.6550998717591705,0.5975274725274725
A_conf,gbm,value_task_pos,clf,8008,0.08619395921740886,,,0.6119172113289759,0.2056291805824516,21,14,0.5507347756184243,0.6506267347659893,0.5975274725274725
B_uncertainty,linear,value_task_pos,clf,8008,0.27047406949557606,,,0.6662498238692405,0.086327723906364,21,18,0.6592162652772279,0.7283263591800067,0.5975274725274725
B_uncertainty,tree,value_task_pos,clf,8008,0.22190502082796,,,0.6116338112305855,0.10875378666763036,21,18,0.6305329931711434,0.6903207364096258,0.5975274725274725
B_uncertainty,gbm,value_task_pos,clf,8008,0.25774436297444203,,,0.6384387351778656,0.08561380193350243,21,18,0.6517227762448,0.7111601386073187,0.5975274725274725
C_complexity,linear,value_task_pos,clf,8008,0.10104517731744872,,,0.5396098003629765,0.19911349725075211,21,12,0.559480951144319,0.649189555207976,0.5975274725274725
C_complexity,tree,value_task_pos,clf,8008,-0.020428170875652026,,,0.47823166303558456,0.15379255564923722,21,10,0.4879815303472851,0.5860121822042622,0.5975274725274725
C_complexity,gbm,value_task_pos,clf,8008,0.09161539152783146,,,0.5762557721219931,0.20048270787707406,21,13,0.5539300372096974,0.6268587891425492,0.5975274725274725
D_criticality,linear,value_task_pos,clf,8008,0.19581860816735225,,,0.5872727913202761,0.152888079464932,21,16,0.6152658643741058,0.7009720733895797,0.5975274725274725
D_criticality,tree,value_task_pos,clf,8008,0.21433830145565397,,,0.6230314960629921,0.12712160390756977,21,17,0.6261131866019152,0.6802555419275875,0.5975274725274725
D_criticality,gbm,value_task_pos,clf,8008,0.2706284009959046,,,0.6400918635170604,0.1474007505256547,21,16,0.6593015651934842,0.7115089755617898,0.5975274725274725
