track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells
nuScenes,oracle,brake,J,random,0.1,14.645041501353262,955.0,True,0.0,none,0.1,0.0410899574908421,-0.1304230682395928,0.0925706231960194,0.0,0.0,0.0,,cell,
nuScenes,oracle,brake,J,oracle,0.1,14.645041501353262,955.0,True,0.0,none,0.1,1.0,1.0,1.0,0.9689788767650592,0.9074293768039804,1.1304230682395928,,cell,
nuScenes,oracle,brake,J,gate_ridge,0.1,14.645041501353262,955.0,True,3.925717499981829,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,gate_gbm,0.1,14.645041501353262,955.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,uncertainty,0.1,14.645041501353262,955.0,True,0.2944104999755836,measured,0.0847859797267502,-0.154638384554283,-0.7342898795004225,0.0828227319193142,-0.2046249530920253,-0.6087647656682168,0.0085156023104103,,cell,
nuScenes,oracle,brake,J,criticality_cheap,0.1,14.645041501353262,955.0,True,1.4709314999947765,measured,0.0239878276646448,0.0646313585207308,-0.078831254527231,0.2909073328649179,0.0219282149308855,-0.1254159289023525,0.3130026870488128,,cell,
nuScenes,oracle,brake,J,gate_gbm_batched,0.1,14.645041501353262,955.0,True,3.5357949274881264,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,R1_mlp_reg,0.1,14.645041501353262,955.0,True,0.6491920000541995,measured,0.0664522146768704,-0.0225442199041286,-0.453518110670669,0.1343233670756383,-0.083728796019475,-0.3219701750750474,0.0681639088840801,,cell,
nuScenes,oracle,brake,J,R1_mlp_clf,0.1,14.645041501353262,955.0,True,0.6491920000541995,measured,0.0664522146768704,-0.0448665803466661,-0.4810307716822029,0.1228072982975258,-0.1091766138680808,-0.3519934095408275,0.0592461700656018,,cell,
nuScenes,oracle,brake,J,R1_gbm_reg,0.1,14.645041501353262,955.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,R1_gbm_clf,0.1,14.645041501353262,955.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,R2_cnn_clf,0.1,14.645041501353262,955.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.0310211232349406,-0.0925706231960194,0.1304230682395928,,cell,
nuScenes,oracle,brake,J,criticality_gt,0.1,14.645041501353262,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,brake,J,dE_exact,0.1,14.645041501353262,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,brake,J,dE_E6_risk_weighted,0.1,14.645041501353262,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,brake,J,PKL,0.1,14.645041501353262,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,brake,J,TIP,0.1,14.645041501353262,955.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,brake,J,random,0.2,16.5801677512718,955.0,True,0.0,none,0.2,0.0826124408500088,-0.2615501248571577,0.1858832969837601,0.0,0.0,0.0,,cell,
nuScenes,oracle,brake,J,oracle,0.2,16.5801677512718,955.0,True,0.0,none,0.2,1.0,1.0,1.0,0.9377961507008415,0.8141167030162398,1.2615501248571577,,cell,
nuScenes,oracle,brake,J,gate_ridge,0.2,16.5801677512718,955.0,True,3.925717499981829,measured,0.0,0.0,0.0,0.0,-0.0622038492991583,-0.1858832969837601,0.2615501248571576,,cell,
nuScenes,oracle,brake,J,gate_gbm,0.2,16.5801677512718,955.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.0622038492991583,-0.1858832969837601,0.2615501248571576,,cell,
