scenario,log,iteration,planner,n_tracks_cheap,shared_cheap,collision_cheap,min_clearance_cheap,log_deviation_mean_cheap,log_deviation_final_cheap,ok_cheap,n_tracks_full,shared_full,collision_full,min_clearance_full,log_deviation_mean_full,log_deviation_final_full,ok_full,n_tracks_cheap_nofp,shared_cheap_nofp,collision_cheap_nofp,min_clearance_cheap_nofp,log_deviation_mean_cheap_nofp,log_deviation_final_cheap_nofp,ok_cheap_nofp,n_tracks_full_nofp,shared_full_nofp,collision_full_nofp,min_clearance_full_nofp,log_deviation_mean_full_nofp,log_deviation_final_full_nofp,ok_full_nofp,n_tracks_full_s1,shared_full_s1,collision_full_s1,min_clearance_full_s1,log_deviation_mean_full_s1,log_deviation_final_full_s1,ok_full_s1,n_tracks_cheap_iou50,shared_cheap_iou50,collision_cheap_iou50,min_clearance_cheap_iou50,log_deviation_mean_cheap_iou50,log_deviation_final_cheap_iou50,ok_cheap_iou50,n_tracks_full_iou50,shared_full_iou50,collision_full_iou50,min_clearance_full_iou50,log_deviation_mean_full_iou50,log_deviation_final_full_iou50,ok_full_iou50,sig_reference,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,sig_identity_equals_reference
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,pdm_closed,124,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,128,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,124,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,126,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,125,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,123,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,128,,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,b9d13c68ffccea3b41cb76a1bdcc2d794d768c8f,150,0.0,0.023314141914175024,1.5264589969399605,1.803802857497331,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,pdm_closed,122,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,126,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,121,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,125,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,121,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,122,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,125,,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,e13a866047855a65d1c9ab67db5d7a86ec7106dc,150,0.0,0.03301438617389385,1.5253919177706212,1.8015378886300861,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,pdm_closed,121,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,124,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,119,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,122,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,121,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,121,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,124,,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,acde2e5ed5abae276555905e970f44ffd13b5ef2,149,0.0,0.034455957388364176,1.5268520456203625,1.8043747545923225,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,pdm_closed,122,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,127,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,122,cheap,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,125,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,122,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,120,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,127,,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,384f7320f75b1ddbdd7aa63b1bd0787af322f067,152,0.0,0.03339886359369733,1.5281138572004092,1.806530706567941,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,pdm_closed,132,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,137,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,129,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,132,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,130,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,131,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,135,,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,7f4e5bfa84371bc23ce06abc7393243c0b4af9c2,159,0.0,0.03119933037461469,1.523119920698517,1.7970251853741186,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,pdm_closed,127,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,133,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,126,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,131,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,126,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,125,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,131,,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,ab15d6c886bb96c9317087d813d6d5d7dbb775e6,155,0.0,0.03042539868248366,1.5270741117775541,1.8010043724932896,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,pdm_closed,126,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,127,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,125,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,126,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,123,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,124,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,126,,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,3e319d904817053a9752f9455d9ca9181ba0cb43,154,0.0,0.028479602282394392,1.5159550407833522,1.7209994332096923,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,pdm_closed,121,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,123,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,120,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,122,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,119,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,119,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,122,,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,25039243308894c2717f57997404ad515b52520e,151,0.0,0.027839332347224147,1.4470993174479387,1.282276167320595,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,pdm_closed,119,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,125,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,118,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,124,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,120,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,118,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,124,,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,60188f7b4c5044aafc2cabc83b9728575dbcbb7a,148,0.0,0.02199245472793775,1.4321658105377457,1.8672425776305275,1,True
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,pdm_closed,124,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,125,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,123,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,125,full,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,123,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,122,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,124,,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,7d1eba1a5bf7f11eaab6a9be217545883e6ffa72,150,0.0,0.012551507703778074,1.8214926033008847,4.366259179518022,1,True
