cost,n_states,idm_responsive,pdm_responsive,both_responsive,strict_n_pairs_strict,strict_disagreement,strict_gamma,strict_disagreement_lo,strict_disagreement_hi,strict_gamma_lo,strict_gamma_hi,spearman_both_responsive,overlap10,overlap10_chance,bc_idm_to_pdm_10,bc_pdm_to_idm_10,resp_idm_top10,resp_pdm_top10,overlap20,overlap20_chance,bc_idm_to_pdm_20,bc_pdm_to_idm_20,resp_idm_top20,resp_pdm_top20,overlap30,overlap30_chance,bc_idm_to_pdm_30,bc_pdm_to_idm_30,resp_idm_top30,resp_pdm_top30,overlap50,overlap50_chance,bc_idm_to_pdm_50,bc_pdm_to_idm_50,resp_idm_top50,resp_pdm_top50
collision,1440,0.013194444444444444,0.024305555555555556,15,21270,0.002444757874941232,0.9951104842501175,0.00014980901663241286,0.007256464486738345,0.9854870710265233,0.9997003819667352,1.0,0.1449652777777778,0.1,1.0,1.0,0.09722222222222222,0.1875,0.2113715277777778,0.2,1.0,1.0,0.04861111111111111,0.09375,0.3055555555555556,0.3,1.0,1.0,0.032407407407407406,0.0625,0.503125,0.5,1.0,1.0,0.019444444444444445,0.0375
clearance_shortfall,1440,0.024305555555555556,0.04861111111111111,21,30620,0.10940561724363161,0.7811887655127367,0.012286340340989538,0.2867872049217213,0.42642559015655745,0.975427319318021,0.6930519071079352,0.1657986111111111,0.1,0.997998596097379,0.9764030347017587,0.16666666666666666,0.3055555555555556,0.21961805555555555,0.2,0.997998596097379,0.9764030347017587,0.08333333333333333,0.1527777777777778,0.31105324074074076,0.3,0.9979985960973791,0.9764030347017587,0.05555555555555555,0.10185185185185185,0.5045138888888889,0.5,0.9979985960973787,0.9764030347017587,0.03333333333333333,0.06111111111111111
log_deviation,1440,0.06666666666666667,0.12152777777777778,72,103524,0.32878366369151113,0.3424326726169777,0.20803157036810388,0.49714525035952406,0.005709499280951877,0.5839368592637924,0.5183613094089653,0.3133680555555555,0.1,0.8325127137849957,0.7718400374580553,0.3888888888888889,0.8472222222222222,0.2764756944444444,0.2,0.8325127137849957,0.7718400374580553,0.19444444444444445,0.4236111111111111,0.33622685185185186,0.3,0.8325127137849958,0.7718400374580554,0.12962962962962962,0.2824074074074074,0.5095486111111112,0.5,0.8325127137849957,0.7718400374580554,0.07777777777777778,0.16944444444444445
safety,1440,0.024305555555555556,0.04861111111111111,21,30620,0.10930764206401045,0.7813847158719791,0.01115935088427749,0.2591421659696117,0.4817156680607766,0.9776812982314451,0.6997545367704877,0.1657986111111111,0.1,0.9997370562273745,0.9970158864149841,0.16666666666666666,0.3055555555555556,0.21961805555555555,0.2,0.9997370562273745,0.9970158864149841,0.08333333333333333,0.1527777777777778,0.31105324074074076,0.3,0.9997370562273746,0.9970158864149841,0.05555555555555555,0.10185185185185185,0.5045138888888889,0.5,0.9997370562273745,0.9970158864149843,0.03333333333333333,0.06111111111111111
scalar_J,1440,0.06666666666666667,0.12152777777777778,72,103524,0.326243189984931,0.3475136200301379,0.20658811150359088,0.43743994637064837,0.1251201072587034,0.5868237769928183,0.5655347610778829,0.32291666666666663,0.1,0.9182498208529994,0.9823468581168672,0.3958333333333333,0.8472222222222222,0.28125,0.2,0.9182498208529994,0.9823468581168672,0.19791666666666666,0.4236111111111111,0.3388310185185185,0.3,0.9182498208529994,0.9823468581168672,0.13194444444444445,0.2824074074074074,0.5102430555555555,0.5,0.9182498208529994,0.9823468581168672,0.07916666666666666,0.16944444444444445
