task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
longitudinal,oracle,random,False,3376,85,0.03903415072764122,0.009770176244813533,-0.09455494694330681,0.13853064171533125,0.0,0.07801386092022654,0.01952672612367717,-0.09430574937082091,0.22982956478773595,0.0,0.1261713305733973,0.031580452341487715,-0.0955235449552192,0.28440474822185147,0.0,0.23916244984292098,0.05986192199775612,-0.11127140448645062,0.3878195724808,0.0,,,,,
longitudinal,oracle,uncertainty,False,3376,85,-0.08281643005465159,-0.020728800358585715,-0.21581322097901898,0.05823479939299198,0.0,-0.06139402703520307,-0.015366812222919026,-0.3096051460707314,0.10916843599111939,0.0,-0.042321690641405306,-0.010593041447990328,-0.2967298214866869,0.18432219124970414,0.0,0.08753635421634852,0.02191018870858965,-0.2827279405032844,0.36896258952593725,0.0,-0.0338218129606913,-0.0274180330970602,0.537739087022996,0.07988165680473373,0.13333333333333333
longitudinal,oracle,criticality,False,3376,85,0.07023153469200108,0.017578824160216357,-0.09278686165620946,0.26156970355124176,0.0,0.16347685963890135,0.04091795775870916,-0.10277035564857603,0.4261193150718447,0.0,0.11543259034251237,0.02889256538231996,-0.15796906955872547,0.41064631385417055,0.0,0.34584990779916996,0.08656559680335561,0.06261601405529245,0.593216177680805,0.0,0.03331860531570408,0.026631222407113568,0.4667028592110025,0.10946745562130178,0.2074074074074074
longitudinal,oracle,perception_oracle_dE,False,3376,85,0.06902162779404218,0.017275986685530292,-0.010004031742211152,0.15700989641397714,0.0,0.14707907743087376,0.03681362298492738,-0.01756155750798776,0.2361700056509239,0.0,0.16321792285937722,0.040853146358305774,-0.03360095709840925,0.5013410782025246,0.0,0.43672222411441064,0.10931077069913711,0.014038167900786262,0.6584998067501524,0.0,0.04625267866603725,0.04184245012503832,0.4447513812154696,0.10946745562130178,0.16148148148148148
longitudinal,oracle,best_dE_metric (E6_risk_weighted),False,3376,85,0.3693321917369718,0.09244316935012079,0.16589394190967327,0.5930114835222097,0.0,0.5624858054996026,0.14078916416760764,0.24737706958514427,0.7482685805355819,0.0,0.5321819539890585,0.13320416578451189,0.218483293635669,0.7065410002165785,0.0,0.441629851785104,0.11053914089274412,0.007689137779541616,0.6789847292417539,0.0,0.06440217156815474,0.05597426335540874,0.43178164279450454,0.1893491124260355,0.2548148148148148
longitudinal,oracle,PKL_gain,False,3376,85,0.19472267825050307,0.04873872877737123,-0.06829721158508835,0.37699426083226045,0.0,0.109253397702624,0.027345924812025368,-0.19304168110203707,0.3440453929386131,0.0,0.18077175778591517,0.045246839004555464,-0.1870075823208319,0.4071856243121046,0.0,0.2504198138122162,0.06267961952624733,-0.16526247509673844,0.526122283172737,0.0,-0.00671848310253209,-0.005650646754853911,0.5097013720742535,0.14497041420118342,0.20148148148148148
longitudinal,oracle,TIP_gain,False,595,15,0.3141765000314333,0.07246488525952488,-0.03370376480512586,0.48370357012006315,0.13333333333333333,0.3141765000314333,0.07246488525952488,-0.26375502589021765,0.4784318404114383,0.13333333333333333,0.22239633289745517,0.05129576764634144,-0.3766607530298662,0.44124491425611073,0.13333333333333333,0.4655606526877249,0.10738167646208464,-0.26325583754176296,0.7634766139222763,0.13333333333333333,0.035239011193523545,0.028793445501663167,0.4536687021420956,0.1,0.2184873949579832
longitudinal,oracle,decision_oracle_dJ,False,3376,85,1.0,0.2502981635999828,1.0,1.0,0.0,1.0,0.2502981635999828,1.0,1.0,0.0,1.0,0.2502981635999828,1.0,1.0,0.0,1.0,0.2502981635999828,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
longitudinal,oracle,uncertainty [scene-z],True,3376,85,-0.016682669006624434,-0.004175641416304446,-0.12450850378731243,0.07713834274753448,0.0,-0.05763234085383834,-0.014425269079684002,-0.24828536783865646,0.08350776338378027,0.0,0.054371929668717046,0.0136091941474673,-0.1222270736309132,0.2863576532141943,0.0,0.18785595614284017,0.04702000084387181,-0.05176007282302914,0.4122369046716432,0.0,0.04087029915256251,0.03283393726957051,0.4598702390964796,0.08579881656804733,0.21333333333333335
longitudinal,oracle,criticality [scene-z],True,3376,85,0.044196484322939385,0.011062298863607158,-0.09334671689717323,0.2206002590309463,0.0,0.15603612501989964,0.03905555554773821,-0.019154615402294243,0.3323118822061516,0.0,0.2251007938688493,0.05634231533027125,-0.01538648589333633,0.45827511152648076,0.0,0.4270915582813889,0.10690023272688667,0.05990527140693658,0.6469722843171285,0.0,0.05527883217140096,0.044502505893711755,0.44070897312859886,0.13609467455621302,0.23555555555555555
