scenario,log,iteration,planner,n_tracks,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,n_tracks_drop_all,collision_drop_all,min_clearance_drop_all,log_deviation_mean_drop_all,log_deviation_final_drop_all,ok_drop_all
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,idm,150,150,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,124,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,156,idm,167,167,0.0,8.848375010500252,52.76566939494609,44.88165401888193,1,140,0.0,8.848375010500252,52.76566939494609,44.88165401888193,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,309,idm,331,331,0.0,6.88186000506342,8.857030031525529,4.583142733396878,1,316,0.0,6.88186000506342,8.857030031525529,4.583142733396878,1
804e245cbd5d514e,2021.08.30.14.54.34_veh-40_00439_00835,4,idm,63,63,0.0,3.2223569384766364,3.6809332436951583,10.077196019201143,1,52,0.0,3.2223569384766364,0.421654311455244,1.0000415768580193,1
804e245cbd5d514e,2021.08.30.14.54.34_veh-40_00439_00835,157,idm,62,62,0.0,0.35318804267542403,1.8757711063658757,6.710105828015049,1,48,0.0,0.2955943877548589,1.279132612033227,2.4951097944548906,1
804e245cbd5d514e,2021.08.30.14.54.34_veh-40_00439_00835,310,idm,100,100,0.0,2.9896906935151115,0.7905792786148782,3.0250028315458435,1,86,0.0,2.9896906946147035,1.421332103017794,3.062727204112564,1
