section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
harm,nuPlan,n/a,idm,scalar_J,all,1440.0,30.0,10.0,0.3333333333333333,0.006944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.1,-0.15503451473466656,-0.1550345147346665,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.2,-0.13605652563722034,-0.1360565256372203,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.3,0.18882250635630615,0.1888225063563061,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.5,0.11891837454734114,0.1189183745473411,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.1,0.28452341117089824,0.2845234111708982,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.2,0.34187952279212275,0.3418795227921227,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.3,0.36099345577817576,0.3609934557781757,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.5,0.34972163380307086,0.3497216338030708,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.1,0.18505438050003967,0.1850543805000396,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.2,0.27223648878311607,0.272236488783116,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.3,0.3875766613178154,0.3875766613178154,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.5,0.6365122112388615,0.6365122112388615,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.1,0.23356401966406243,0.2335640196640624,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.2,0.13926050650796484,0.1392605065079648,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.3,0.1959997500439472,0.1959997500439472,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.5,0.21732929285324717,0.2173292928532471,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.1,0.09397870983857855,0.0939787098385785,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.2,0.12539595019454033,0.1253959501945403,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.3,0.12539595019454033,0.1253959501945403,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.5,0.14926846837999325,0.1492684683799932,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.1,0.0247816855009227,0.0247816855009227,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.2,0.14519911919558093,0.1451991191955809,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.3,0.32646312970357166,0.3264631297035716,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
