scenario,log,iteration,planner,n_tracks,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,n_tracks_cheap,collision_cheap,min_clearance_cheap,log_deviation_mean_cheap,log_deviation_final_cheap,ok_cheap,n_tracks_full,collision_full,min_clearance_full,log_deviation_mean_full,log_deviation_final_full,ok_full
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,idm,150,150,0.0,1.0238498452066251,0.9107430994980588,1.4191131453003691,1,128,0.0,1.0238498452066251,0.9107430994980588,1.4191131453003691,1,141,0.0,1.0238498452066251,0.9107430994980588,1.4191131453003691,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,idm,150,150,0.0,1.0323651928224198,0.9091240307380875,1.4156584001892847,1,127,0.0,1.0323651928224198,0.9091240307380875,1.4156584001892847,1,142,0.0,1.0323651928224198,0.9091240307380875,1.4156584001892847,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,idm,149,149,0.0,1.0349865694110978,0.9109511333073222,1.420086001093175,1,125,0.0,1.0349865694110978,0.9109511333073222,1.420086001093175,1,135,0.0,1.0349865694110978,0.9109511333073222,1.420086001093175,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,idm,152,152,0.0,1.031306790585043,0.9127283042081749,1.4218853060705527,1,126,0.0,1.031306790585043,0.9127283042081749,1.4218853060705527,1,137,0.0,1.031306790585043,0.9127283042081749,1.4218853060705527,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,idm,159,159,0.0,1.027997932475554,0.9064700738544191,1.4096440303367275,1,139,0.0,1.027997932475554,0.9064700738544191,1.4096440303367275,1,146,0.0,1.027997932475554,0.9064700738544191,1.4096440303367275,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,idm,155,155,0.0,1.027407204794301,0.9111856149566091,1.4150568944037152,1,135,0.0,1.027407204794301,0.9111856149566091,1.4150568944037152,1,144,0.0,1.027407204794301,0.9111856149566091,1.4150568944037152,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,idm,154,154,0.0,1.0255904255692443,0.8948337489056082,1.3046825469657204,1,130,0.0,1.0255904255692443,0.8948337489056082,1.3046825469657204,1,137,0.0,1.0255904255692443,0.8948337489056082,1.3046825469657204,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,idm,151,151,0.0,1.0238000921492032,0.7834529769111257,0.561822666787791,1,130,0.0,1.0238000921492032,0.7834529769111257,0.561822666787791,1,144,0.0,1.0238000921492032,0.7834529769111257,0.561822666787791,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,idm,148,148,0.0,1.017778980396596,0.7137987250224298,1.4036848410609646,1,126,0.0,1.017778980396596,0.7137987250224298,1.4036848410609646,1,134,0.0,1.017778980396596,0.7137987250224298,1.4036848410609646,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,idm,150,150,0.0,1.0119295537981579,1.1313923215588089,4.147520572182874,1,130,0.0,1.0119295537981579,1.1313923215588089,4.147520572182874,1,140,0.0,1.0119295537981579,1.1313923215588089,4.147520572182874,1
