contrast,a,b,both_responsive,same_sign_both_responsive,n_pairs_strict,disagreement,gamma,gamma_lo,gamma_hi
"same planner, different objective",IDM-safety,IDM-progress_dev,35,0.8571428571428571,49736,0.14973057744893034,0.7005388451021393,0.44026778121890936,0.891174869977002
"same planner, different objective",PDM-safety,PDM-progress_dev,70,0.7142857142857143,99569,0.2827687332402655,0.4344625335194689,0.19369611067690853,0.684971504969833
"different planner, same objective",IDM-safety,PDM-safety,21,0.9047619047619048,30606,0.10906358230412337,0.7818728353917532,0.4353864721642198,0.975381823639722
"different planner, same objective",IDM-progress_dev,PDM-progress_dev,72,0.6805555555555556,103524,0.32878366369151113,0.3424326726169777,0.08882979149146071,0.5942992563775166
both differ,IDM-safety,PDM-progress_dev,29,0.7931034482758621,42167,0.22045675528256695,0.5590864894348662,0.23423004295890068,0.8355320999234267
both differ,PDM-safety,IDM-progress_dev,33,0.696969696969697,49251,0.31767882885626686,0.3646423422874662,-0.002096497995137469,0.6977195495919111
