task,J_all_cheap,J_all_full,J_oracle_at_20pct,oracle_reduction_frac,all_full_reduction_frac,frames_dJ_nonzero,frames_dJ_pos,frames_dJ_neg,action_changes,n_frames
longitudinal,1475.966585063351,1284.1725003749325,1063.083285819334,0.2797375654858036,0.12994473359312966,486,265,221,299,3376
lateral,255.2137916796172,263.10074490814975,234.17066160572094,0.08245295027124855,-0.030903319043327562,98,46,52,57,3376
plannerC_path_dev,6095.448989318253,6124.655891211749,5487.78606235844,0.0996912496560449,-0.004791591553744248,1878,952,926,-1,3376
plannerC_ade_truth,10235.08877147509,10084.07241493206,9705.950218613263,0.05169848202357767,0.014754767634640228,1531,741,790,-1,2655
