config,task,n,act_diff,improved_same_action,corr_dE_dJ,corr_crit_dJ,eta_E@20,eta_crit@20,eta_unc@20,eta_speed@20,eta_E@20_speedstrat,eta_E@20_nonempty,oracle_gap@20
KITTI 320->640,longitudinal,8008,0.272977022977023,0.66996699669967,0.04116641398007735,-0.150749222288114,0.155092544589673,0.020832505692494604,0.024153154001849492,0.7873982389547349,0.21272008239172938,0.10662462898896499,0.844907455410327
KITTI 320->640,lateral,8008,0.09552947052947053,0.8813714704803813,-0.034026157580016786,0.054658124180751645,-0.2567998003336294,-0.20883006244574884,-0.1428134167740966,-1.3252180130675901,-0.3193520038963845,-0.07116708457390161,1.2567998003336294
KITTI 512->640,longitudinal,8008,0.19068431568431568,0.753721820501914,0.0394466554330195,-0.0250586633128007,0.21329548506148446,0.03826249426484943,0.06667705295799309,0.21380444734962872,0.11633976614429441,0.1612854382392162,0.7867045149385156
KITTI 512->640,lateral,8008,0.032092907092907096,0.9608677158655891,-0.01469787237310294,-0.007217234746221639,-0.12963456097642934,-0.014350443621663479,0.15521791472886282,-0.1479245461997605,-0.10265956545413459,-0.02603037809379839,1.1296345609764293
KITTI 320->640 oracle range,longitudinal,8008,0.1717032967032967,0.7799779977997799,0.14066368863586826,-0.19446219293477884,0.19796790236129846,0.020494076058021424,0.016257256443351745,0.8642133312258609,0.2662582707919776,0.21045642050267027,0.8020320976387015
KITTI 320->640 oracle range,lateral,8008,0.0501998001998002,0.935093509350935,-0.03962627165416571,0.08354017302418953,-0.24311418438032995,0.09124419776852477,0.05992080251050255,-1.3516325581697044,-0.34302765935605084,0.0019648983465758363,1.24311418438033
