config,spearman,top10_overlap,top20_overlap,top30_overlap,eta_long_ranked_by_lat,eta_lat_ranked_by_long
KITTI 320->640,-0.14951273609088703,0.03245942571785269,0.28214731585518105,0.48501248959200666,0.08692708372615827,-1.5435239656782227
KITTI 512->640,0.008964168877514772,0.13108614232209737,0.3882646691635456,0.6136552872606161,0.05969013804650659,-0.07342840758699468
KITTI 320->640 oracle range,-0.1864704835993067,0.031210986267166042,0.5031210986267166,0.6815154038301415,0.12538773369384176,-1.3477867145956155
