track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_reg,2.0,24.0,955.0,62.0,True,0.3,286.0,1.0,14.875042006524573,50.488453014699864,0.2946226536628813,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_reg,2.0,24.0,955.0,62.0,True,0.5,478.0,1.0,26.037690868211097,50.488453014699864,0.515715759019793,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,62.0,True,0.1,96.0,1.0,1.7971084520901603,50.488453014699864,0.035594444764764865,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,62.0,True,0.2,191.0,1.0,6.600078713060534,50.488453014699864,0.13072451855751852,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,62.0,True,0.3,286.0,1.0,7.499939887319182,50.488453014699864,0.14854762702148058,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_mlp_clf,2.0,24.0,955.0,62.0,True,0.5,478.0,1.0,7.368725286586191,50.488453014699864,0.14594872384861474,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,62.0,True,0.1,96.0,1.0,2.4211771965080215,50.488453014699864,0.047955067979664354,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,62.0,True,0.2,191.0,1.0,16.016416582062753,50.488453014699864,0.31722929948753875,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,62.0,True,0.3,286.0,1.0,27.276463139694158,50.488453014699864,0.54025151318763,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_reg,2.0,24.0,955.0,62.0,True,0.5,478.0,1.0,25.309545392047912,50.488453014699864,0.5012937390788932,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_clf,2.0,24.0,955.0,62.0,True,0.1,96.0,1.0,-2.7542334796115724,50.488453014699864,-0.05455175025484875,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_clf,2.0,24.0,955.0,62.0,True,0.2,191.0,1.0,17.915038584227432,50.488453014699864,0.35483437329742334,True,,,,,,,,,,,,,,,,,,,,,,,,,,
